playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Joel Campbell,/joel-campbell/profil/spieler/131248,26,RW,Costa Rica,1500000,1500000,Arsenal FC,/fc-arsenal/startseite/verein/11,Frosinone Calcio,/frosinone-calcio/startseite/verein/8970,out,2018,0,31.0,1.78,left,ESP-La Liga,Betis,Joel Campbell,CRC,"MF,FW",25.0,1992.0,8,2,214,2.4,2,1,3,2,0,0,1,0,1.1,1.1,0.5,1.6,14.0,16.0,26.0,0.84,0.42,1.26,0.84,1.26,0.46,0.22,0.68,0.46,0.68,2018
Joe Hart,/joe-hart/profil/spieler/40204,31,GK,England,1500000,3900000,Manchester City,/manchester-city/startseite/verein/281,Burnley FC,/fc-burnley/startseite/verein/1132,in,2018,-2400000,36.0,1.96,right,ENG-Premier League,West Ham,Joe Hart,ENG,GK,30.0,1987.0,19,19,1710,19.0,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.04,0.04,0.0,0.04,2018
Sam Vokes,/sam-vokes/profil/spieler/48078,29,CF,Wales,275000,8000000,Burnley FC,/fc-burnley/startseite/verein/1132,Stoke City,/stoke-city/startseite/verein/512,out,2018,-7725000,33.0,1.86,right,ENG-Premier League,Burnley,Sam Vokes,WAL,FW,27.0,1989.0,30,7,998,11.1,4,1,5,4,0,0,3,0,2.8,2.8,1.3,4.2,3.0,17.0,62.0,0.36,0.09,0.45,0.36,0.45,0.25,0.12,0.38,0.25,0.38,2018
Yerry Mina,/yerry-mina/profil/spieler/289446,23,CB,Colombia,10000000,30250000,FC Barcelona,/fc-barcelona/startseite/verein/131,Everton FC,/fc-everton/startseite/verein/29,in,2018,-20250000,28.0,1.95,right,ESP-La Liga,Barcelona,Yerry Mina,COL,DF,22.0,1994.0,5,4,371,4.1,0,1,1,0,0,0,2,0,0.3,0.3,0.2,0.5,8.0,12.0,0.0,0.0,0.24,0.24,0.0,0.24,0.07,0.05,0.12,0.07,0.12,2018
Lucas Digne,/lucas-digne/profil/spieler/126664,25,LB,France,15000000,20200000,FC Barcelona,/fc-barcelona/startseite/verein/131,Everton FC,/fc-everton/startseite/verein/29,in,2018,-5200000,29.0,1.78,left,ESP-La Liga,Barcelona,Lucas Digne,FRA,DF,24.0,1993.0,12,8,704,7.8,0,2,2,0,0,0,2,0,0.3,0.3,1.8,2.1,22.0,36.0,77.0,0.0,0.26,0.26,0.0,0.26,0.04,0.23,0.27,0.04,0.27,2018
Davy Klaassen,/davy-klaassen/profil/spieler/182932,25,AM,Netherlands,10000000,13500000,Everton FC,/fc-everton/startseite/verein/29,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86,out,2018,-3500000,30.0,1.79,right,ENG-Premier League,Everton,Davy Klaassen,NED,"MF,FW",24.0,1993.0,7,3,251,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,2018
Ramiro Funes Mori,/ramiro-funes-mori/profil/spieler/11111,27,CB,Argentina,1000000,9000000,Everton FC,/fc-everton/startseite/verein/29,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2018,-8000000,32.0,1.87,left,ENG-Premier League,Everton,Ramiro Funes Mori,ARG,DF,26.0,1991.0,4,1,121,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,2018
Rachid Ghezzal,/rachid-ghezzal/profil/spieler/118287,26,RW,Algeria,5000000,14000000,AS Monaco,/as-monaco/startseite/verein/162,Leicester City,/leicester-city/startseite/verein/1003,in,2018,-9000000,31.0,1.82,left,FRA-Ligue 1,Monaco,Rachid Ghezzal,ALG,"FW,MF",25.0,1992.0,26,7,1006,11.2,2,3,5,2,0,0,2,1,2.6,2.6,2.7,5.3,39.0,57.0,127.0,0.18,0.27,0.45,0.18,0.45,0.24,0.24,0.48,0.24,0.48,2018
Jonny Evans,/jonny-evans/profil/spieler/42412,30,CB,Northern Ireland,2000000,4000000,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,Leicester City,/leicester-city/startseite/verein/1003,in,2018,-2000000,35.0,1.88,both,ENG-Premier League,West Brom,Jonny Evans,NIR,DF,29.0,1988.0,28,26,2270,25.2,2,2,4,2,0,0,7,0,2.1,2.1,0.9,3.0,21.0,56.0,9.0,0.08,0.08,0.16,0.08,0.16,0.08,0.03,0.12,0.08,0.12,2018
Riyad Mahrez,/riyad-mahrez/profil/spieler/171424,27,RW,Algeria,20000000,67800000,Leicester City,/leicester-city/startseite/verein/1003,Manchester City,/manchester-city/startseite/verein/281,out,2018,-47800000,32.0,1.79,left,ENG-Premier League,Leicester City,Riyad Mahrez,ALG,"MF,FW",26.0,1991.0,36,34,2950,32.8,12,10,22,12,0,0,2,0,6.5,6.5,7.2,13.8,121.0,190.0,191.0,0.37,0.31,0.67,0.37,0.67,0.2,0.22,0.42,0.2,0.42,2018
