playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation
Frédéric Fouret,/frederic-fouret/profil/spieler/57523,27,CF,France,0,280000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,AS Nancy-Lorraine,/as-nancy-lorraine/startseite/verein/1159,out,2001,-280000
Jacek Bak,/jacek-bak/profil/spieler/5472,28,CB,Poland,0,4300000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,RC Lens,/rc-lens/startseite/verein/826,in,2001,-4300000
Papa Bouba Diop,/papa-bouba-diop/profil/spieler/5485,23,DM,Senegal,0,1800000,Grasshopper Club Zurich,/grasshopper-club-zurich/startseite/verein/504,RC Lens,/rc-lens/startseite/verein/826,in,2001,-1800000
Pape Sarr,/pape-sarr/profil/spieler/3906,23,DM,Senegal,0,750000,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618,RC Lens,/rc-lens/startseite/verein/826,in,2001,-750000
Hugo Leal,/hugo-leal/profil/spieler/5562,21,CM,Portugal,0,9500000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2001,-9500000
Ronaldinho,/ronaldinho/profil/spieler/3373,21,LW,Brazil,0,5000000,Grêmio Foot-Ball Porto Alegrense,/gremio-porto-alegre/startseite/verein/210,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2001,-5000000
Gabriel Heinze,/gabriel-heinze/profil/spieler/5555,23,CB,Argentina,0,3500000,Real Valladolid CF,/real-valladolid/startseite/verein/366,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2001,-3500000
Aloisio Chulapa,/aloisio-chulapa/profil/spieler/5569,26,CF,Brazil,0,1000000,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,in,2001,-1000000
Laurent Robert,/laurent-robert/profil/spieler/3316,26,LW,France,0,14330000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,Newcastle United,/newcastle-united/startseite/verein/762,out,2001,-14330000
Igor Yanovski,/igor-yanovski/profil/spieler/15377,26,CM,Russia,0,950000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,CSKA Moscow,/zska-moskau/startseite/verein/2410,out,2001,-950000
Adékambi Olufadé,/adekambi-olufade/profil/spieler/5655,21,RW,Togo,0,1800000,KSC Lokeren (- 2020),/ksc-lokeren/startseite/verein/498,LOSC Lille,/losc-lille/startseite/verein/1082,in,2001,-1800000
Eduardo Costa,/eduardo-costa/profil/spieler/5374,18,DM,Brazil,0,5000000,Grêmio Foot-Ball Porto Alegrense,/gremio-porto-alegre/startseite/verein/210,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2001,-5000000
Bruno Basto,/bruno-basto/profil/spieler/5368,23,LB,Portugal,0,2280000,SL Benfica,/benfica-lissabon/startseite/verein/294,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,in,2001,-2280000
Lilian Laslandes,/lilian-laslandes/profil/spieler/1450,29,CF,France,0,6000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Sunderland AFC,/afc-sunderland/startseite/verein/289,out,2001,-6000000
Sylvain Legwinski,/sylvain-legwinski/profil/spieler/3815,28,LM,France,0,5250000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Fulham FC,/fc-fulham/startseite/verein/931,out,2001,-5250000
François Grenet,/francois-grenet/profil/spieler/8506,26,RB,France,0,4190000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Derby County,/derby-county/startseite/verein/22,out,2001,-4190000
