playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Bernardo Silva,/bernardo-silva/profil/spieler/241641,22,AM,Portugal,80000000,50000000,AS Monaco,/as-monaco/startseite/verein/162,Manchester City,/manchester-city/startseite/verein/281,in,2017,30000000,28.0,1.73,left,ENG-Premier League,Manchester City,POR,"FW,MF",22.0,1994.0,17.0,836.0,1000.0,83.6,12111.0,2087.0,487.0,531.0,91.7,276.0,328.0,84.1,33.0,64.0,51.6,4,2.8,2.6,1.2,31.0,31.0,28.0,5.0,80.0,2018
Ederson,/ederson/profil/spieler/238223,23,GK,Brazil,40000000,40000000,SL Benfica,/benfica-lissabon/startseite/verein/294,Manchester City,/manchester-city/startseite/verein/281,in,2017,0,29.0,1.88,left,ENG-Premier League,Manchester City,BRA,GK,23.0,1993.0,35.5,955.0,1098.0,87.0,23400.0,15983.0,200.0,201.0,99.5,530.0,536.0,98.9,224.0,357.0,62.7,0,0.1,0.0,-0.1,1.0,9.0,0.0,0.0,0.0,2018
Danilo,/danilo/profil/spieler/145707,26,CB,Brazil,15000000,30000000,Real Madrid,/real-madrid/startseite/verein/418,Manchester City,/manchester-city/startseite/verein/281,in,2017,-15000000,31.0,1.84,right,ENG-Premier League,Manchester City,BRA,DF,26.0,1991.0,15.0,1106.0,1255.0,88.1,17501.0,4137.0,581.0,613.0,94.8,437.0,484.0,90.3,62.0,102.0,60.8,2,0.2,0.8,1.8,5.0,79.0,14.0,1.0,89.0,2018
Douglas Luiz,/douglas-luiz/profil/spieler/447661,19,CM,Brazil,40000000,12000000,Clube de Regatas Vasco da Gama,/vasco-da-gama-rio-de-janeiro/startseite/verein/978,Manchester City,/manchester-city/startseite/verein/281,in,2017,28000000,25.0,1.77,right,ESP-La Liga,Girona,BRA,"MF,FW",19.0,1998.0,3.4,107.0,144.0,74.3,1776.0,502.0,54.0,65.0,83.1,42.0,52.0,80.8,9.0,18.0,50.0,0,0.7,0.8,-0.7,3.0,11.0,0.0,0.0,18.0,2018
Olarenwaju Kayode,/olarenwaju-kayode/profil/spieler/131694,24,CF,Nigeria,1300000,3800000,Austria Vienna,/fk-austria-wien/startseite/verein/14,Manchester City,/manchester-city/startseite/verein/281,in,2017,-2500000,30.0,1.76,right,ESP-La Liga,Girona,NGA,"FW,MF",24.0,1993.0,4.3,36.0,58.0,62.1,574.0,50.0,19.0,29.0,65.5,7.0,14.0,50.0,6.0,6.0,100.0,0,1.0,0.4,-1.0,5.0,0.0,1.0,0.0,2.0,2018
Enes Ünal,/enes-unal/profil/spieler/251106,20,CF,Turkey,25000000,14000000,Manchester City,/manchester-city/startseite/verein/281,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2017,11000000,26.0,1.87,right,ESP-La Liga,Levante,TUR,FW,20.0,1997.0,6.6,104.0,140.0,74.3,1173.0,195.0,71.0,94.0,75.5,24.0,34.0,70.6,0.0,1.0,0.0,1,0.5,0.2,0.5,5.0,7.0,1.0,0.0,9.0,2018
Enes Ünal,/enes-unal/profil/spieler/251106,20,CF,Turkey,25000000,14000000,Manchester City,/manchester-city/startseite/verein/281,Villarreal CF,/fc-villarreal/startseite/verein/1050,out,2017,11000000,26.0,1.87,right,ESP-La Liga,Villarreal,TUR,FW,20.0,1997.0,12.5,205.0,286.0,71.7,2352.0,582.0,146.0,179.0,81.6,43.0,65.0,66.2,3.0,5.0,60.0,2,1.7,1.6,0.3,9.0,12.0,3.0,0.0,19.0,2018
Nolito,/nolito/profil/spieler/70934,30,LW,Spain,300000,7000000,Manchester City,/manchester-city/startseite/verein/281,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2017,-6700000,36.0,1.75,right,ESP-La Liga,Sevilla,ESP,"FW,MF",30.0,1986.0,17.8,461.0,654.0,70.5,7015.0,2553.0,271.0,320.0,84.7,148.0,200.0,74.0,31.0,72.0,43.1,5,4.0,4.1,1.0,32.0,38.0,42.0,3.0,94.0,2018
Aleksandar Kolarov,/aleksandar-kolarov/profil/spieler/46156,31,LB,Serbia,0,5000000,Manchester City,/manchester-city/startseite/verein/281,AS Roma,/as-rom/startseite/verein/12,out,2017,-5000000,37.0,1.87,left,ITA-Serie A,Roma,SRB,DF,31.0,1985.0,34.0,1996.0,2624.0,76.1,33119.0,11754.0,1005.0,1130.0,88.9,734.0,907.0,80.9,189.0,425.0,44.5,6,9.0,6.6,-3.0,80.0,140.0,60.0,26.0,178.0,2018
Rubén Sobrino,/ruben-sobrino/profil/spieler/85383,25,CF,Spain,2000000,2000000,Manchester City,/manchester-city/startseite/verein/281,Deportivo Alavés,/deportivo-alaves/startseite/verein/1108,out,2017,0,31.0,1.85,right,ESP-La Liga,Alavés,ESP,"FW,MF",25.0,1992.0,16.3,290.0,407.0,71.3,3622.0,774.0,193.0,239.0,80.8,62.0,93.0,66.7,11.0,21.0,52.4,2,1.2,0.9,0.8,21.0,19.0,8.0,3.0,29.0,2018
