playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Ludovic Ajorque,/ludovic-ajorque/profil/spieler/283994,28,CF,France,9000000,6000000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3000000,29.0,1.96,left,FRA-Ligue 1,Strasbourg,FRA,FW,28.0,1994.0,13,9,771,8.6,1,0,1,0,1,1,1,0,3.4,2.6,0.9,3.5,2.0,13.0,55.0,0.12,0.0,0.12,0.0,0.0,0.39,0.1,0.5,0.3,0.4,2023
Ludovic Ajorque,/ludovic-ajorque/profil/spieler/283994,28,CF,France,9000000,6000000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3000000,29.0,1.96,left,GER-Bundesliga,Mainz 05,FRA,"FW,MF",28.0,1994.0,17,15,1211,13.5,6,1,7,6,0,0,5,0,4.6,4.6,1.7,6.4,5.0,31.0,85.0,0.45,0.07,0.52,0.45,0.52,0.34,0.13,0.47,0.34,0.47,2023
Angelo Fulgini,/angelo-fulgini/profil/spieler/250013,25,AM,France,9000000,6000000,Angers SCO,/sco-angers/startseite/verein/1420,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3000000,26.0,1.82,right,FRA-Ligue 1,Lens,FRA,"MF,FW",25.0,1996.0,17,12,858,9.5,1,1,2,1,0,0,0,0,1.3,1.3,2.8,4.1,20.0,43.0,70.0,0.1,0.1,0.21,0.1,0.21,0.13,0.29,0.43,0.13,0.43,2023
Angelo Fulgini,/angelo-fulgini/profil/spieler/250013,25,AM,France,9000000,6000000,Angers SCO,/sco-angers/startseite/verein/1420,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3000000,26.0,1.82,right,GER-Bundesliga,Mainz 05,FRA,MF,25.0,1996.0,16,5,525,5.8,0,1,1,0,0,0,1,0,0.6,0.6,0.8,1.4,3.0,29.0,43.0,0.0,0.17,0.17,0.0,0.17,0.1,0.13,0.23,0.1,0.23,2023
Andreas Hanche-Olsen,/andreas-hanche-olsen/profil/spieler/370683,25,CB,Norway,7500000,2500000,KAA Gent,/kaa-gent/startseite/verein/157,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,5000000,26.0,1.85,right,GER-Bundesliga,Mainz 05,NOR,DF,25.0,1997.0,17,17,1497,16.6,1,3,4,1,0,0,5,0,0.4,0.4,1.2,1.6,6.0,43.0,10.0,0.06,0.18,0.24,0.06,0.24,0.03,0.07,0.1,0.03,0.1,2023
Marcus Ingvartsen,/marcus-ingvartsen/profil/spieler/269878,26,CF,Denmark,5500000,2300000,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3200000,27.0,1.87,left,GER-Bundesliga,Mainz 05,DEN,"FW,MF",26.0,1996.0,28,16,1314,14.6,10,0,10,6,4,4,2,0,8.4,5.2,0.7,5.9,16.0,30.0,81.0,0.68,0.0,0.68,0.41,0.41,0.57,0.05,0.62,0.36,0.41,2023
Delano Burgzorg,/delano-burgzorg/profil/spieler/436585,23,LW,Netherlands,1500000,2000000,Heracles Almelo,/heracles-almelo/startseite/verein/1304,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,-500000,24.0,1.86,right,GER-Bundesliga,Mainz 05,NED,"FW,MF",23.0,1998.0,13,0,244,2.7,0,1,1,0,0,0,2,0,0.2,0.2,0.1,0.2,4.0,4.0,24.0,0.0,0.37,0.37,0.0,0.37,0.06,0.02,0.08,0.06,0.08,2023
Luca Kilian,/luca-kilian/profil/spieler/384553,22,CB,Germany,3500000,2000000,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,1.FC Köln,/1-fc-koln/startseite/verein/3,out,2022,1500000,23.0,1.92,right,GER-Bundesliga,Köln,GER,DF,22.0,1999.0,16,13,1123,12.5,1,0,1,1,0,0,5,2,1.1,1.1,0.2,1.3,14.0,53.0,4.0,0.08,0.0,0.08,0.08,0.08,0.09,0.01,0.1,0.09,0.1,2023
Muhammed Damar,/muhammed-damar/profil/spieler/789898,18,AM,Germany,1000000,500000,Eintracht Frankfurt U19,/eintracht-frankfurt-u19/startseite/verein/5372,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,in,2022,500000,19.0,1.85,both,GER-Bundesliga,Hoffenheim,GER,MF,18.0,2004.0,6,1,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15,2023
Georginio Rutter,/georginio-rutter/profil/spieler/538977,20,CF,France,18000000,28000000,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,Leeds United,/leeds-united/startseite/verein/399,out,2022,-10000000,21.0,1.82,left,ENG-Premier League,Leeds United,FRA,"FW,MF",20.0,2002.0,11,1,273,3.0,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,5.0,6.0,21.0,0.0,0.33,0.33,0.0,0.33,0.13,0.1,0.22,0.13,0.22,2023
