playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Kevin Trapp,/kevin-trapp/profil/spieler/45672,29,GK,Germany,8500000,7000000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,in,2019,1500000,32.0,1.89,right,GER-Bundesliga,Eint Frankfurt,GER,GK,29,1990,22,22,1980.0,22.0,38.0,1.73,105.0,69.0,64.8,11.0,3.0,8.0,4.0,18.2,1.0,1.0,0.0,0.0,0.0,2020
Lennart Grill,/lennart-grill/profil/spieler/309397,21,GK,Germany,1000000,2000000,1.FC Kaiserslautern,/1-fc-kaiserslautern/startseite/verein/2,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,in,2020,-1000000,24.0,1.92,right,GER-Bundesliga,Leverkusen,GER,GK,21,1999,4,4,360.0,4.0,7.0,1.75,21.0,14.0,66.7,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,,2021
Alexander Schwolow,/alexander-schwolow/profil/spieler/93763,28,GK,Germany,900000,7000000,SC Freiburg,/sc-freiburg/startseite/verein/60,Hertha BSC,/hertha-bsc/startseite/verein/44,in,2020,-6100000,31.0,1.9,right,GER-Bundesliga,Hertha BSC,GER,GK,28,1992,26,26,2340.0,26.0,39.0,1.5,108.0,69.0,69.4,6.0,10.0,10.0,8.0,30.8,6.0,6.0,0.0,0.0,0.0,2021
Gregor Kobel,/gregor-kobel/profil/spieler/257814,22,GK,Switzerland,35000000,7200000,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2020,27800000,25.0,1.94,right,GER-Bundesliga,Stuttgart,SUI,GK,22,1997,33,33,2970.0,33.0,54.0,1.64,157.0,102.0,68.8,11.0,9.0,13.0,5.0,15.2,7.0,5.0,2.0,0.0,28.6,2021
Diant Ramaj,/diant-ramaj/profil/spieler/448705,19,GK,Germany,750000,100000,1.FC Heidenheim 1846,/1-fc-heidenheim-1846/startseite/verein/2036,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,in,2021,650000,21.0,1.89,both,GER-Bundesliga,Eint Frankfurt,GER,GK,19,2001,1,1,90.0,1.0,1.0,1.0,4.0,3.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022
Gregor Kobel,/gregor-kobel/profil/spieler/257814,23,GK,Switzerland,35000000,15000000,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2021,20000000,25.0,1.94,right,GER-Bundesliga,Dortmund,SUI,GK,23,1997,29,29,2565.0,28.5,39.0,1.37,110.0,73.0,67.3,20.0,3.0,6.0,7.0,24.1,3.0,3.0,0.0,0.0,0.0,2022
Jens Grahl,/jens-grahl/profil/spieler/40034,32,GK,Germany,200000,250000,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,out,2021,-50000,34.0,1.92,right,GER-Bundesliga,Eint Frankfurt,GER,GK,32,1988,1,1,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022
Florian Müller,/florian-muller/profil/spieler/284769,23,GK,Germany,1500000,5000000,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,out,2021,-3500000,25.0,1.9,left,GER-Bundesliga,Stuttgart,GER,GK,23,1997,30,30,2700.0,30.0,52.0,1.73,139.0,88.0,65.5,7.0,10.0,13.0,4.0,13.3,4.0,4.0,0.0,0.0,0.0,2022
Stefanos Kapino,/stefanos-kapino/profil/spieler/68410,27,GK,Greece,350000,300000,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86,Arminia Bielefeld,/arminia-bielefeld/startseite/verein/10,in,2021,50000,29.0,1.96,right,GER-Bundesliga,Arminia,GRE,GK,27,1994,1,1,90.0,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,2022
Jonas Omlin,/jonas-omlin/profil/spieler/247915,29,GK,Switzerland,9000000,9000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,in,2022,0,29.0,1.9,right,FRA-Ligue 1,Montpellier,SUI,GK,28,1994,14,14,1166.0,13.0,26.0,2.01,73.0,48.0,68.5,5.0,1.0,8.0,2.0,14.3,4.0,3.0,1.0,0.0,25.0,2023
Jonas Omlin,/jonas-omlin/profil/spieler/247915,29,GK,Switzerland,9000000,9000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,in,2022,0,29.0,1.9,right,GER-Bundesliga,M'Gladbach,SUI,GK,28,1994,15,15,1290.0,14.3,18.0,1.26,56.0,38.0,71.4,5.0,4.0,6.0,5.0,33.3,2.0,2.0,0.0,0.0,0.0,2023
Yann Sommer,/yann-sommer/profil/spieler/42205,34,GK,Switzerland,5000000,9000000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,out,2022,-4000000,34.0,1.83,right,GER-Bundesliga,Bayern Munich,SUI,GK,33,1988,19,19,1710.0,19.0,25.0,1.32,55.0,30.0,67.3,11.0,4.0,4.0,5.0,26.3,7.0,7.0,0.0,0.0,0.0,2023
Yann Sommer,/yann-sommer/profil/spieler/42205,34,GK,Switzerland,5000000,9000000,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,out,2022,-4000000,34.0,1.83,right,GER-Bundesliga,M'Gladbach,SUI,GK,33,1988,10,10,900.0,10.0,14.0,1.4,60.0,47.0,80.0,4.0,4.0,2.0,3.0,30.0,2.0,2.0,0.0,0.0,0.0,2023
