playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Salih Özcan,/salih-ozcan/profil/spieler/244940,24,DM,Turkey,13000000,5000000,1.FC Köln,/1-fc-koln/startseite/verein/3,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,out,2022,8000000,25.0,1.83,right,GER-Bundesliga,Dortmund,TUR,MF,24.0,1998.0,26,1576.0,61.0,51.5,17.5,17,80.0,10.0,9,24.0,5,2.15,37.0,22.0,15.0,0.86,-0.6,34.2,23.4,10.8,0.61,-0.42,2023
Kingsley Ehizibue,/kingsley-ehizibue/profil/spieler/272812,27,RB,Netherlands,2500000,1500000,1.FC Köln,/1-fc-koln/startseite/verein/3,Udinese Calcio,/udinese-calcio/startseite/verein/410,out,2022,1000000,28.0,1.89,right,GER-Bundesliga,Köln,NED,DF,27.0,1995.0,1,61.0,61.0,2.0,0.7,1,61.0,0.0,0,,1,1.0,1.0,2.0,-1.0,-1.48,-1.36,1.1,0.8,0.3,0.44,0.29,2023
Kingsley Ehizibue,/kingsley-ehizibue/profil/spieler/272812,27,RB,Netherlands,2500000,1500000,1.FC Köln,/1-fc-koln/startseite/verein/3,Udinese Calcio,/udinese-calcio/startseite/verein/410,out,2022,1000000,28.0,1.89,right,ITA-Serie A,Udinese,NED,DF,27.0,1995.0,27,1535.0,57.0,44.9,17.1,16,83.0,7.0,11,19.0,2,1.3,24.0,24.0,0.0,0.0,0.05,22.4,24.0,-1.6,-0.1,0.06,2023
Ludovic Ajorque,/ludovic-ajorque/profil/spieler/283994,28,CF,France,9000000,6000000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3000000,29.0,1.96,left,FRA-Ligue 1,Strasbourg,FRA,FW,28.0,1994.0,13,771.0,59.0,22.5,8.6,9,77.0,4.0,4,20.0,1,0.62,12.0,18.0,-6.0,-0.7,-0.63,10.8,13.6,-2.8,-0.33,-0.19,2023
Ludovic Ajorque,/ludovic-ajorque/profil/spieler/283994,28,CF,France,9000000,6000000,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3000000,29.0,1.96,left,GER-Bundesliga,Mainz 05,FRA,"FW,MF",28.0,1994.0,17,1211.0,71.0,39.6,13.5,15,79.0,3.0,2,15.0,0,1.47,23.0,22.0,1.0,0.07,0.17,18.8,20.7,-1.9,-0.14,0.08,2023
Angelo Fulgini,/angelo-fulgini/profil/spieler/250013,25,AM,France,9000000,6000000,Angers SCO,/sco-angers/startseite/verein/1420,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3000000,26.0,1.82,right,FRA-Ligue 1,Lens,FRA,"MF,FW",25.0,1996.0,17,858.0,50.0,25.1,9.5,12,65.0,0.0,5,15.0,0,2.29,22.0,6.0,16.0,1.68,0.87,17.1,7.6,9.5,0.99,0.49,2023
Angelo Fulgini,/angelo-fulgini/profil/spieler/250013,25,AM,France,9000000,6000000,Angers SCO,/sco-angers/startseite/verein/1420,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3000000,26.0,1.82,right,GER-Bundesliga,Mainz 05,FRA,MF,25.0,1996.0,16,525.0,33.0,17.2,5.8,5,56.0,0.0,11,22.0,2,1.19,5.0,11.0,-6.0,-1.03,-1.21,6.4,10.2,-3.7,-0.64,-0.54,2023
Andreas Hanche-Olsen,/andreas-hanche-olsen/profil/spieler/370683,25,CB,Norway,7500000,2500000,KAA Gent,/kaa-gent/startseite/verein/157,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,5000000,26.0,1.85,right,GER-Bundesliga,Mainz 05,NOR,DF,25.0,1997.0,17,1497.0,88.0,48.9,16.6,17,88.0,16.0,0,,1,1.53,31.0,26.0,5.0,0.3,0.65,25.3,28.3,-3.0,-0.18,0.02,2023
Marcus Ingvartsen,/marcus-ingvartsen/profil/spieler/269878,26,CF,Denmark,5500000,2300000,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,3200000,27.0,1.87,left,GER-Bundesliga,Mainz 05,DEN,"FW,MF",26.0,1996.0,28,1314.0,47.0,42.9,14.6,16,67.0,1.0,12,20.0,2,1.32,25.0,18.0,7.0,0.48,0.89,19.2,19.8,-0.6,-0.04,0.26,2023
Delano Burgzorg,/delano-burgzorg/profil/spieler/436585,23,LW,Netherlands,1500000,2000000,Heracles Almelo,/heracles-almelo/startseite/verein/1304,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,in,2022,-500000,24.0,1.86,right,GER-Bundesliga,Mainz 05,NED,"FW,MF",23.0,1998.0,13,244.0,19.0,8.0,2.7,0,,0.0,13,19.0,11,1.08,3.0,5.0,-2.0,-0.74,-0.77,3.5,5.1,-1.6,-0.57,-0.42,2023
Luca Kilian,/luca-kilian/profil/spieler/384553,22,CB,Germany,3500000,2000000,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,1.FC Köln,/1-fc-koln/startseite/verein/3,out,2022,1500000,23.0,1.92,right,GER-Bundesliga,Köln,GER,DF,22.0,1999.0,16,1123.0,70.0,36.7,12.5,13,84.0,11.0,3,9.0,6,1.5,21.0,24.0,-3.0,-0.24,-0.15,20.3,18.3,2.0,0.16,0.01,2023
Muhammed Damar,/muhammed-damar/profil/spieler/789898,18,AM,Germany,1000000,500000,Eintracht Frankfurt U19,/eintracht-frankfurt-u19/startseite/verein/5372,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,in,2022,500000,19.0,1.85,both,GER-Bundesliga,Hoffenheim,GER,MF,18.0,2004.0,6,159.0,27.0,5.2,1.8,1,45.0,0.0,5,23.0,9,0.33,2.0,5.0,-3.0,-1.7,-1.51,2.9,2.4,0.5,0.28,0.39,2023
Georginio Rutter,/georginio-rutter/profil/spieler/538977,20,CF,France,18000000,28000000,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533,Leeds United,/leeds-united/startseite/verein/399,out,2022,-10000000,21.0,1.82,left,ENG-Premier League,Leeds United,FRA,"FW,MF",20.0,2002.0,11,273.0,25.0,8.0,3.0,1,67.0,0.0,10,21.0,9,0.45,3.0,9.0,-6.0,-1.98,-1.29,2.5,5.6,-3.1,-1.03,-0.56,2023
