playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Bernd Leno,/bernd-leno/profil/spieler/72476,26,GK,Germany,12000000,25000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2018,-13000000,31.0,1.9,right,GER-Bundesliga,Leverkusen,Bernd Leno,GER,GK,25.0,1992.0,33.0,875.0,1245.0,70.3,25960.0,18891.0,109.0,109.0,100.0,446.0,452.0,98.7,317.0,679.0,46.7,0,0.2,0.1,-0.2,3.0,20.0,0.0,0.0,0.0,2018
Benjamin Henrichs,/benjamin-henrichs/profil/spieler/202591,21,RB,Germany,15000000,20000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,AS Monaco,/as-monaco/startseite/verein/162,out,2018,-5000000,26.0,1.85,right,GER-Bundesliga,Leverkusen,Benjamin Henrichs,GER,DF,20.0,1997.0,14.1,586.0,823.0,71.2,9456.0,4166.0,319.0,377.0,84.6,211.0,292.0,72.3,48.0,106.0,45.3,1,1.3,1.5,-0.3,11.0,52.0,18.0,7.0,71.0,2018
Nordi Mukiele,/nordi-mukiele/profil/spieler/348026,20,RB,France,18000000,16000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2018,2000000,25.0,1.87,right,FRA-Ligue 1,Montpellier,Nordi Mukiele,FRA,DF,19.0,1997.0,31.0,1320.0,1766.0,74.7,24084.0,12350.0,619.0,704.0,87.9,522.0,676.0,77.2,161.0,299.0,53.8,1,2.7,2.5,-1.7,35.0,169.0,34.0,19.0,200.0,2018
Naby Keïta,/naby-keita/profil/spieler/302215,23,CM,Guinea,12000000,60000000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Liverpool FC,/fc-liverpool/startseite/verein/31,out,2018,-48000000,28.0,1.72,right,GER-Bundesliga,RB Leipzig,Naby Keïta,GUI,MF,22.0,1995.0,21.8,995.0,1242.0,80.1,14152.0,4723.0,572.0,659.0,86.8,295.0,364.0,81.0,63.0,97.0,64.9,5,4.2,3.4,0.8,38.0,101.0,39.0,5.0,148.0,2018
Bernardo,/bernardo/profil/spieler/364258,23,CB,Brazil,2500000,10000000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2018,-7500000,28.0,1.86,left,GER-Bundesliga,RB Leipzig,Bernardo,BRA,DF,22.0,1995.0,15.0,651.0,887.0,73.4,10103.0,4218.0,371.0,425.0,87.3,222.0,308.0,72.1,46.0,108.0,42.6,1,0.7,1.1,0.3,6.0,54.0,13.0,5.0,71.0,2018
Benno Schmitz,/benno-schmitz/profil/spieler/160968,23,RB,Germany,3000000,200000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,1.FC Köln,/1-fc-koln/startseite/verein/3,out,2018,2800000,28.0,1.82,right,GER-Bundesliga,RB Leipzig,Benno Schmitz,GER,DF,22.0,1994.0,0.9,44.0,55.0,80.0,599.0,195.0,28.0,31.0,90.3,12.0,16.0,75.0,2.0,6.0,33.3,0,0.1,0.0,-0.1,2.0,1.0,0.0,0.0,0.0,2018
Pablo Maffeo,/pablo-maffeo/profil/spieler/251876,20,RB,Spain,8000000,9000000,Manchester City,/manchester-city/startseite/verein/281,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2018,-1000000,25.0,1.72,right,ESP-La Liga,Girona,Pablo Maffeo,ESP,DF,20.0,1997.0,29.4,879.0,1240.0,70.9,14966.0,4211.0,440.0,511.0,86.1,322.0,445.0,72.4,92.0,221.0,41.6,1,3.1,2.6,-2.1,28.0,55.0,31.0,21.0,70.0,2018
Gonzalo Castro,/gonzalo-castro/profil/spieler/28947,31,CM,Germany,0,5000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79,in,2018,-5000000,36.0,1.72,right,GER-Bundesliga,Dortmund,Gonzalo Castro,GER,MF,30.0,1987.0,13.4,693.0,842.0,82.3,11452.0,3094.0,325.0,359.0,90.5,289.0,339.0,85.3,57.0,102.0,55.9,2,3.0,2.6,-1.0,36.0,88.0,20.0,5.0,97.0,2018
Carlos Salcedo,/carlos-salcedo/profil/spieler/256866,24,CB,Mexico,4000000,5000000,Deportivo Guadalajara,/deportivo-guadalajara/startseite/verein/6711,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,in,2018,-1000000,29.0,1.85,right,GER-Bundesliga,Eint Frankfurt,Carlos Salcedo,MEX,DF,23.0,1993.0,17.9,778.0,973.0,80.0,16683.0,6223.0,214.0,245.0,87.3,423.0,476.0,88.9,134.0,222.0,60.4,0,0.0,0.2,0.0,1.0,50.0,1.0,0.0,65.0,2018
Carlos Salcedo,/carlos-salcedo/profil/spieler/256866,25,CB,Mexico,4000000,8800000,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,Tigres UANL,/tigres-uanl/startseite/verein/7055,out,2018,-4800000,29.0,1.85,right,GER-Bundesliga,Eint Frankfurt,Carlos Salcedo,MEX,DF,23.0,1993.0,17.9,778.0,973.0,80.0,16683.0,6223.0,214.0,245.0,87.3,423.0,476.0,88.9,134.0,222.0,60.4,0,0.0,0.2,0.0,1.0,50.0,1.0,0.0,65.0,2018
