playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
Sébastien Corchia,/sebastien-corchia/profil/spieler/102744,26,RB,France,1000000,5000000,LOSC Lille,/losc-lille/startseite/verein/1082,Sevilla FC,/fc-sevilla/startseite/verein/368,in,2017,-4000000,32.0,1.76,right,ESP-La Liga,Sevilla,FRA,DF,26.0,1990.0,9.1,14.0,1.53,12.0,0.0,0.0,0.0,2.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,2018
Vitolo,/vitolo/profil/spieler/67082,27,LW,Spain,500000,35600000,Sevilla FC,/fc-sevilla/startseite/verein/368,Atlético de Madrid,/atletico-madrid/startseite/verein/13,out,2017,-35100000,33.0,1.84,right,ESP-La Liga,Atlético Madrid,ESP,"MF,FW",27.0,1989.0,6.9,14.0,2.04,7.0,0.0,3.0,0.0,4.0,0.0,2.0,0.29,2.0,0.0,0.0,0.0,0.0,0.0,2018
Vitolo,/vitolo/profil/spieler/67082,27,LW,Spain,500000,35600000,Sevilla FC,/fc-sevilla/startseite/verein/368,Atlético de Madrid,/atletico-madrid/startseite/verein/13,out,2017,-35100000,33.0,1.84,right,ESP-La Liga,Las Palmas,ESP,"FW,MF",27.0,1989.0,7.7,29.0,3.79,20.0,0.0,6.0,0.0,3.0,0.0,2.0,0.26,1.0,0.0,1.0,0.0,0.0,0.0,2018
Vicente Iborra,/vicente-iborra/profil/spieler/65467,29,DM,Spain,1200000,15000000,Sevilla FC,/fc-sevilla/startseite/verein/368,Leicester City,/leicester-city/startseite/verein/1003,out,2017,-13800000,35.0,1.9,right,ENG-Premier League,Leicester City,ESP,MF,29.0,1988.0,15.7,22.0,1.4,19.0,0.0,1.0,2.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,2018
Adil Rami,/adil-rami/profil/spieler/51118,31,CB,France,250000,6000000,Sevilla FC,/fc-sevilla/startseite/verein/368,Olympique Marseille,/olympique-marseille/startseite/verein/244,out,2017,-5750000,37.0,1.91,right,FRA-Ligue 1,Marseille,FRA,DF,31.0,1985.0,32.8,29.0,0.88,26.0,1.0,1.0,1.0,0.0,0.0,7.0,0.21,5.0,1.0,1.0,0.0,0.0,0.0,2018
Walter Montoya,/walter-montoya/profil/spieler/267420,24,RW,Argentina,800000,5500000,Sevilla FC,/fc-sevilla/startseite/verein/368,CD Cruz Azul,/cd-cruz-azul/startseite/verein/3711,out,2017,-4700000,29.0,1.73,right,ESP-La Liga,Sevilla,ARG,FW,24.0,1993.0,0.8,2.0,2.37,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Mariano,/mariano/profil/spieler/54155,31,RB,Brazil,300000,4500000,Sevilla FC,/fc-sevilla/startseite/verein/368,Galatasaray,/galatasaray-istanbul/startseite/verein/141,out,2017,-4200000,37.0,1.77,right,FRA-Ligue 1,Lyon,DOM,FW,23.0,1993.0,27.9,67.0,2.41,43.0,1.0,9.0,10.0,2.0,2.0,11.0,0.39,6.0,0.0,3.0,1.0,1.0,0.0,2018
Sebastián Cristóforo,/sebastian-cristoforo/profil/spieler/188157,23,CM,Uruguay,1000000,2500000,Sevilla FC,/fc-sevilla/startseite/verein/368,ACF Fiorentina,/ac-florenz/startseite/verein/430,out,2017,-1500000,29.0,1.75,right,ITA-Serie A,Fiorentina,URU,MF,23.0,1993.0,3.0,7.0,2.35,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Enes Ünal,/enes-unal/profil/spieler/251106,20,CF,Turkey,25000000,14000000,Manchester City,/manchester-city/startseite/verein/281,Villarreal CF,/fc-villarreal/startseite/verein/1050,in,2017,11000000,26.0,1.87,right,ESP-La Liga,Levante,TUR,FW,20.0,1997.0,6.6,15.0,2.27,12.0,0.0,0.0,1.0,2.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,2018
Enes Ünal,/enes-unal/profil/spieler/251106,20,CF,Turkey,25000000,14000000,Manchester City,/manchester-city/startseite/verein/281,Villarreal CF,/fc-villarreal/startseite/verein/1050,in,2017,11000000,26.0,1.87,right,ESP-La Liga,Villarreal,TUR,FW,20.0,1997.0,12.5,33.0,2.64,19.0,0.0,3.0,6.0,4.0,1.0,5.0,0.4,3.0,0.0,0.0,2.0,0.0,0.0,2018
