playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Boulaye Dia,/boulaye-dia/profil/spieler/626913,24,CF,Senegal,25000000,12000000,Stade Reims,/stade-reims/startseite/verein/1421,Villarreal CF,/fc-villarreal/startseite/verein/1050,in,2021,13000000,26.0,1.8,right,ESP-La Liga,Villarreal,SEN,FW,24.0,1996.0,14.1,189.0,253.0,74.7,2470.0,375.0,108.0,135.0,80.0,60.0,76.0,78.9,5.0,7.0,71.4,5,2.4,1.5,2.6,17.0,5.0,4.0,0.0,16.0,2022
Manu Morlanes,/manu-morlanes/profil/spieler/335225,22,CM,Spain,4000000,4000000,UD Almería,/ud-almeria/startseite/verein/3302,Villarreal CF,/fc-villarreal/startseite/verein/1050,in,2021,0,24.0,1.78,right,ESP-La Liga,Espanyol,ESP,MF,22.0,1999.0,12.7,561.0,657.0,85.4,9098.0,3026.0,263.0,284.0,92.6,225.0,252.0,89.3,47.0,71.0,66.2,0,0.3,0.5,-0.3,6.0,67.0,4.0,2.0,81.0,2022
Manu Morlanes,/manu-morlanes/profil/spieler/335225,22,CM,Spain,4000000,3000000,Villarreal CF,/fc-villarreal/startseite/verein/1050,UD Almería,/ud-almeria/startseite/verein/3302,out,2021,1000000,24.0,1.78,right,ESP-La Liga,Espanyol,ESP,MF,22.0,1999.0,12.7,561.0,657.0,85.4,9098.0,3026.0,263.0,284.0,92.6,225.0,252.0,89.3,47.0,71.0,66.2,0,0.3,0.5,-0.3,6.0,67.0,4.0,2.0,81.0,2022
Germán Pezzella,/german-pezzella/profil/spieler/113133,30,CB,Argentina,5000000,3250000,ACF Fiorentina,/ac-florenz/startseite/verein/430,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,in,2021,1750000,32.0,1.87,right,ESP-La Liga,Betis,ARG,DF,30.0,1991.0,22.1,898.0,1032.0,87.0,16554.0,5563.0,300.0,330.0,90.9,530.0,567.0,93.5,60.0,112.0,53.6,0,0.0,0.2,0.0,0.0,20.0,3.0,0.0,22.0,2022
Luís Maximiano,/luis-maximiano/profil/spieler/367464,22,GK,Portugal,6000000,5500000,Sporting CP,/sporting-lissabon/startseite/verein/336,Granada CF,/fc-granada/startseite/verein/16795,in,2021,500000,24.0,1.9,both,ESP-La Liga,Granada,POR,GK,22.0,1999.0,34.8,641.0,1177.0,54.5,22171.0,18032.0,89.0,89.0,100.0,250.0,258.0,96.9,301.0,826.0,36.4,0,0.0,0.1,0.0,0.0,33.0,1.0,0.0,1.0,2022
Myrto Uzuni,/myrto-uzuni/profil/spieler/315289,26,LW,Albania,9000000,4000000,Ferencvárosi TC,/ferencvaros-budapest/startseite/verein/279,Granada CF,/fc-granada/startseite/verein/16795,in,2021,5000000,28.0,1.78,right,ESP-La Liga,Granada,ALB,"FW,MF",26.0,1995.0,9.5,145.0,214.0,67.8,2104.0,608.0,74.0,97.0,76.3,47.0,69.0,68.1,10.0,20.0,50.0,1,0.9,1.1,0.1,7.0,2.0,4.0,2.0,12.0,2022
Monchu,/monchu/profil/spieler/282727,21,CM,Spain,5000000,750000,FC Barcelona,/fc-barcelona/startseite/verein/131,Granada CF,/fc-granada/startseite/verein/16795,in,2021,4250000,23.0,1.73,right,ESP-La Liga,Granada,ESP,MF,21.0,1999.0,7.4,271.0,340.0,79.7,4558.0,1124.0,144.0,167.0,86.2,92.0,116.0,79.3,29.0,43.0,67.4,0,0.8,0.5,-0.8,3.0,26.0,5.0,2.0,33.0,2022
Franco Cervi,/franco-cervi/profil/spieler/341110,27,LW,Argentina,3000000,5000000,SL Benfica,/benfica-lissabon/startseite/verein/294,Celta de Vigo,/celta-vigo/startseite/verein/940,in,2021,-2000000,29.0,1.66,left,ESP-La Liga,Celta Vigo,ARG,MF,27.0,1994.0,20.0,560.0,763.0,73.4,8070.0,1975.0,320.0,371.0,86.3,167.0,220.0,75.9,39.0,85.0,45.9,3,1.1,1.4,1.9,12.0,39.0,11.0,3.0,61.0,2022
Javi Galán,/javi-galan/profil/spieler/448628,26,LB,Spain,12000000,4000000,SD Huesca,/sd-huesca/startseite/verein/5358,Celta de Vigo,/celta-vigo/startseite/verein/940,in,2021,8000000,28.0,1.72,left,ESP-La Liga,Celta Vigo,ESP,DF,26.0,1994.0,36.6,1697.0,2182.0,77.8,27626.0,8103.0,831.0,941.0,88.3,679.0,834.0,81.4,124.0,260.0,47.7,3,2.4,3.1,0.6,23.0,73.0,38.0,26.0,104.0,2022
Santiago Arzamendia,/santiago-arzamendia/profil/spieler/520947,23,LB,Paraguay,1200000,2100000,Club Cerro Porteño,/club-cerro-porteno/startseite/verein/1214,Cádiz CF,/fc-cadiz/startseite/verein/2687,in,2021,-900000,25.0,1.72,left,ESP-La Liga,Cádiz,PAR,MF,23.0,1998.0,5.2,105.0,170.0,61.8,1588.0,457.0,59.0,71.0,83.1,32.0,43.0,74.4,8.0,38.0,21.1,0,0.0,0.2,0.0,1.0,4.0,4.0,3.0,3.0,2022
