playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Héctor Moreno,/hector-moreno/profil/spieler/51046,30,CB,Mexico,1200000,6000000,AS Roma,/as-rom/startseite/verein/12,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,in,2017,-4800000,35.0,1.84,left,ITA-Serie A,Roma,MEX,DF,29.0,1988.0,5,230.0,46.0,6.7,2.6,2,,2.0,3,,17,3.0,2.0,1.0,1.0,0.39,-0.51,4.6,1.8,2.8,1.1,0.44,2018
Yuri Berchiche,/yuri-berchiche/profil/spieler/61812,27,LB,Spain,2000000,16000000,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,out,2017,-14000000,33.0,1.81,left,FRA-Ligue 1,Paris S-G,ESP,DF,27.0,1990.0,22,1716.0,78.0,50.2,19.1,19,88.0,18.0,3,17.0,13,2.55,60.0,15.0,45.0,2.36,0.56,47.0,16.8,30.1,1.58,0.44,2018
Carlos Vela,/carlos-vela/profil/spieler/35773,28,RW,Mexico,2500000,5000000,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,Los Angeles FC,/los-angeles-fc/startseite/verein/51828,out,2017,-2500000,34.0,1.77,left,ESP-La Liga,Real Sociedad,MEX,FW,28.0,1989.0,13,382.0,29.0,11.2,4.2,2,74.0,1.0,11,21.0,0,1.46,6.0,8.0,-2.0,-0.47,-0.74,6.8,7.5,-0.7,-0.16,-0.27,2018
Iñigo Martínez,/inigo-martinez/profil/spieler/158863,26,CB,Spain,10000000,32000000,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,in,2017,-22000000,32.0,1.82,left,ESP-La Liga,Athletic Club,ESP,DF,26.0,1991.0,16,1440.0,90.0,42.1,16.0,16,90.0,16.0,0,,0,1.0,17.0,25.0,-8.0,-0.5,-0.5,18.4,19.6,-1.2,-0.08,-0.1,2018
Iñigo Martínez,/inigo-martinez/profil/spieler/158863,26,CB,Spain,10000000,32000000,Real Sociedad,/real-sociedad-san-sebastian/startseite/verein/681,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,in,2017,-22000000,32.0,1.82,left,ESP-La Liga,Real Sociedad,ESP,DF,26.0,1991.0,12,1055.0,88.0,30.8,11.7,12,88.0,11.0,0,,0,1.08,16.0,19.0,-3.0,-0.26,-0.64,17.0,16.5,0.5,0.05,-0.05,2018
Aymeric Laporte,/aymeric-laporte/profil/spieler/176553,23,CB,Spain,25000000,65000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Manchester City,/manchester-city/startseite/verein/281,out,2017,-40000000,29.0,1.89,left,ENG-Premier League,Manchester City,ESP,DF,23.0,1994.0,9,806.0,90.0,23.6,9.0,9,,8.0,0,,5,3.0,28.0,5.0,23.0,2.57,0.64,18.0,4.0,14.0,1.56,0.16,2018
Aymeric Laporte,/aymeric-laporte/profil/spieler/176553,23,CB,Spain,25000000,65000000,Athletic Bilbao,/athletic-bilbao/startseite/verein/621,Manchester City,/manchester-city/startseite/verein/281,out,2017,-40000000,29.0,1.89,left,ESP-La Liga,Athletic Club,ESP,DF,23.0,1994.0,19,1710.0,90.0,50.0,19.0,19,90.0,19.0,0,,0,1.32,23.0,22.0,1.0,0.05,0.53,27.7,27.7,0.0,0.0,0.03,2018
Mario Hermoso,/mario-hermoso/profil/spieler/281769,22,CB,Spain,20000000,12500000,Real Madrid Castilla,/real-madrid-b-castilla-/startseite/verein/6767,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2017,7500000,28.0,1.84,left,ESP-La Liga,Espanyol,ESP,DF,22.0,1995.0,22,1928.0,88.0,56.4,21.4,22,88.0,21.0,0,,7,1.09,18.0,28.0,-10.0,-0.47,-0.71,21.9,30.0,-8.1,-0.38,-0.2,2018
Naldo,/naldo/profil/spieler/148666,28,CB,Brazil,450000,2500000,FK Krasnodar,/fk-krasnodar/startseite/verein/16704,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2017,-2050000,34.0,1.88,right,ESP-La Liga,Espanyol,BRA,DF,28.0,1988.0,11,921.0,84.0,26.9,10.2,10,88.0,9.0,1,45.0,18,1.45,13.0,9.0,4.0,0.39,0.75,12.2,14.5,-2.3,-0.22,0.09,2018
Naldo,/naldo/profil/spieler/148666,28,CB,Brazil,450000,2500000,FK Krasnodar,/fk-krasnodar/startseite/verein/16704,RCD Espanyol Barcelona,/espanyol-barcelona/startseite/verein/714,in,2017,-2050000,34.0,1.88,right,GER-Bundesliga,Schalke 04,BRA,DF,34.0,1982.0,34,3060.0,90.0,100.0,34.0,34,,34.0,0,,0,1.85,53.0,37.0,16.0,0.47,,46.7,40.2,6.6,0.19,,2018
