playerLink,currAge,height,foot,currClub,playerPos,playerCountry,playerMarketValue,playerName
/matt-phillips/profil/spieler/77274,32.0,1.83,right,West Bromwich Albion,RW,Scotland,800000,Matt Phillips
/mauro-boselli/profil/spieler/40822,38.0,1.85,right,Club Estudiantes de La Plata,CF,Argentina,250000,Mauro Boselli
/james-mcarthur/profil/spieler/41416,35.0,1.78,both,Crystal Palace,CM,Scotland,400000,James McArthur
/bebe/profil/spieler/153427,32.0,1.9,right,Real Zaragoza,LW,Cape Verde,800000,Bebé
/chris-smalling/profil/spieler/103427,33.0,1.94,right,AS Roma,CB,England,8000000,Chris Smalling
/chicharito/profil/spieler/50935,35.0,1.75,right,Los Angeles Galaxy,CF,Mexico,2000000,Chicharito
/gabriel-tamas/profil/spieler/6893,39.0,1.88,right,Concordia Chiajna,CB,Romania,100000,Gabriel Tamas
/craig-dawson/profil/spieler/121477,33.0,1.88,right,Wolverhampton Wanderers,CB,England,2000000,Craig Dawson
/hatem-ben-arfa/profil/spieler/18900,36.0,1.79,left,Without Club,AM,France,500000,Hatem Ben Arfa
/james-perch/profil/spieler/49409,37.0,1.8,right,Mansfield Town,DM,England,75000,James Perch
/andy-carroll/profil/spieler/48066,34.0,1.93,left,Reading FC,CF,England,300000,Andy Carroll
/david-luiz/profil/spieler/46741,36.0,1.89,right,CR Flamengo,CB,Brazil,600000,David Luiz
/tomas-kalas/profil/spieler/148657,30.0,1.84,right,Bristol City,CB,Czech Republic,900000,Tomas Kalas
/matej-delac/profil/spieler/60220,30.0,1.9,right,AC Horsens,GK,Croatia,350000,Matej Delac
/scott-sinclair/profil/spieler/31552,34.0,1.77,right,Bristol Rovers,LW,England,175000,Scott Sinclair
/adlene-guedioura/profil/spieler/74768,37.0,1.78,right,Al-Wakrah SC,CM,Algeria,100000,Adlène Guédioura
/matt-doherty/profil/spieler/171679,31.0,1.85,right,Atlético de Madrid,RB,Ireland,5000000,Matt Doherty
/wellington-silva/profil/spieler/121990,30.0,1.7,right,Cuiabá Esporte Clube (MT),RW,Brazil,450000,Wellington Silva
/pablo-barrera/profil/spieler/51079,36.0,1.75,right,Querétaro FC,RW,Mexico,800000,Pablo Barrera
/marcos-alonso/profil/spieler/112515,32.0,1.88,left,FC Barcelona,LB,Spain,5000000,Marcos Alonso
/tom-eaves/profil/spieler/135136,31.0,1.91,right,Rotherham United,CF,England,350000,Tom Eaves
/stephane-sessegnon/profil/spieler/37157,39.0,1.72,right,Sirens FC,AM,Benin,50000,Stéphane Sessègnon
/simon-mignolet/profil/spieler/50219,35.0,1.93,right,Club Brugge KV,GK,Belgium,3200000,Simon Mignolet
/martyn-waghorn/profil/spieler/61674,33.0,1.77,left,Coventry City,CF,England,250000,Martyn Waghorn
/edin-dzeko/profil/spieler/28396,37.0,1.93,right,Inter Milan,CF,Bosnia-Herzegovina,4000000,Edin Dzeko
/mario-balotelli/profil/spieler/45146,32.0,1.89,right,FC Sion,CF,Italy,1500000,Mario Balotelli
/david-silva/profil/spieler/35518,37.0,1.7,left,Real Sociedad,AM,Spain,4000000,David Silva
/jerome-boateng/profil/spieler/26485,34.0,1.92,right,Olympique Lyon,CB,Germany,1000000,Jérôme Boateng
/ruben-rochina/profil/spieler/67548,32.0,1.82,left,Granada CF,RW,Spain,1000000,Rubén Rochina
/sandro/profil/spieler/74590,34.0,1.87,right,Without Club,DM,Brazil,200000,Sandro
/luis-suarez/profil/spieler/44352,36.0,1.82,right,Grêmio Foot-Ball Porto Alegrense,CF,Uruguay,4000000,Luis Suárez
/brad-jones/profil/spieler/4042,41.0,1.94,left,Perth Glory,GK,Australia,100000,Brad Jones
/danny-wilson/profil/spieler/103819,31.0,1.87,left,Colorado Rapids,CB,Scotland,800000,Danny Wilson
/jonjo-shelvey/profil/spieler/71292,31.0,1.84,right,Nottingham Forest,CM,England,5000000,Jonjo Shelvey
/magaye-gueye/profil/spieler/91956,32.0,1.83,left,Without Club,CF,Senegal,75000,Magaye Gueye
/tolis-vellios/profil/spieler/124495,31.0,1.91,right,PEC Zwolle,CF,Greece,200000,Tolis Vellios
/alex-oxlade-chamberlain/profil/spieler/143424,29.0,1.75,right,Liverpool FC,CM,England,7000000,Alex Oxlade-Chamberlain
/gervinho/profil/spieler/33481,36.0,1.79,right,Aris Thessaloniki,LW,Cote d'Ivoire,300000,Gervinho
/chu-young-park/profil/spieler/30982,37.0,1.82,right,Ulsan Hyundai,CF,"Korea, South",100000,Chu-young Park
/carl-jenkinson/profil/spieler/126321,31.0,1.85,right,Newcastle United Jets,RB,England,450000,Carl Jenkinson
/joel-campbell/profil/spieler/131248,30.0,1.78,left,Club León FC,RW,Costa Rica,2000000,Joel Campbell
/thomas-eisfeld/profil/spieler/86643,30.0,1.77,right,Rot-Weiss Essen,CM,Germany,250000,Thomas Eisfeld
/cesc-fabregas/profil/spieler/8806,36.0,1.79,right,Como 1907,CM,Spain,1000000,Cesc Fàbregas
/jay-emmanuel-thomas/profil/spieler/27969,32.0,1.91,left,Jamshedpur FC,AM,England,250000,Jay Emmanuel-Thomas
/juan-mata/profil/spieler/44068,35.0,1.7,left,Galatasaray,AM,Spain,1000000,Juan Mata
/romelu-lukaku/profil/spieler/96341,30.0,1.91,left,Inter Milan,CF,Belgium,40000000,Romelu Lukaku
/thibaut-courtois/profil/spieler/108390,31.0,2.0,left,Real Madrid,GK,Belgium,45000000,Thibaut Courtois
/kevin-de-bruyne/profil/spieler/88755,31.0,1.81,right,Manchester City,AM,Belgium,70000000,Kevin De Bruyne
/lucas-piazon/profil/spieler/176485,29.0,1.82,right,Botafogo de Futebol e Regatas,AM,Brazil,2000000,Lucas Piazon
/oriol-romeu/profil/spieler/66100,31.0,1.83,right,Girona FC,DM,Spain,5000000,Oriol Romeu
/ulises-davila/profil/spieler/108820,32.0,1.72,left,Macarthur FC,AM,Mexico,700000,Ulises Dávila
/patrick-bamford/profil/spieler/183334,29.0,1.85,left,Leeds United,CF,England,9000000,Patrick Bamford
/michael-mancienne/profil/spieler/38100,35.0,1.84,right,Burton Albion,CB,Seychelles,75000,Michael Mancienne
/fabio-borini/profil/spieler/96754,32.0,1.8,right,Fatih Karagümrük,LW,Italy,2800000,Fabio Borini
/papiss-cisse/profil/spieler/33952,38.0,1.8,right,Amiens SC,CF,Senegal,200000,Papiss Cissé
/kazenga-lualua/profil/spieler/52576,32.0,1.8,right,APO Levadiakos,LW,DR Congo,200000,Kazenga LuaLua
/pajtim-kasami/profil/spieler/130108,31.0,1.88,left,Olympiacos Piraeus,CM,Switzerland,700000,Pajtim Kasami
/ryan-williams/profil/spieler/192239,29.0,1.73,right,Perth Glory,RM,Australia,350000,Ryan Williams
/shane-long/profil/spieler/37304,36.0,1.8,both,Reading FC,CF,Ireland,250000,Shane Long
/scott-allan/profil/spieler/60904,31.0,1.75,right,Arbroath FC,AM,Scotland,300000,Scott Allan
/david-de-gea/profil/spieler/59377,32.0,1.89,right,Manchester United,GK,Spain,13000000,David de Gea
/phil-jones/profil/spieler/117996,31.0,1.85,right,Manchester United,CB,England,1500000,Phil Jones
/ryan-bennett/profil/spieler/67252,33.0,1.88,right,Cambridge United,CB,England,250000,Ryan Bennett
/jonathan-howson/profil/spieler/45395,35.0,1.8,right,Middlesbrough FC,CM,England,250000,Jonathan Howson
/daniel-ayala/profil/spieler/78966,32.0,1.9,right,Blackburn Rovers,CB,Spain,700000,Daniel Ayala
/eggert-gunnthor-jonsson/profil/spieler/45298,34.0,1.88,right,FH Hafnarfjördur,DM,Iceland,100000,Eggert Gunnthór Jónsson
/scott-malone/profil/spieler/101682,32.0,1.89,left,Millwall FC,LB,England,700000,Scott Malone
/cameron-jerome/profil/spieler/35855,36.0,1.85,right,Bolton Wanderers,CF,Grenada,75000,Cameron Jerome
/jordan-henderson/profil/spieler/61651,33.0,1.87,right,Liverpool FC,CM,England,10000000,Jordan Henderson
/sebastian-coates/profil/spieler/102427,32.0,1.96,right,Sporting CP,CB,Uruguay,5000000,Sebastián Coates
/danny-ward/profil/spieler/203026,30.0,1.91,right,Leicester City,GK,Wales,6000000,Danny Ward
/emiliano-insua/profil/spieler/45599,34.0,1.79,left,Racing Club,CB,Argentina,750000,Emiliano Insúa
/iago-falque/profil/spieler/59340,33.0,,left,CD América de Cali,RW,Spain,500000,Iago Falque
/paul-jose-mpoku/profil/spieler/73846,31.0,1.74,right,Incheon United,AM,DR Congo,900000,Paul-José Mpoku
