playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation
Kurt Zouma,/kurt-zouma/profil/spieler/157509,26,CB,France,22000000,35000000,Chelsea FC,/fc-chelsea/startseite/verein/631,West Ham United,/west-ham-united/startseite/verein/379,in,2021,-13000000
Fikayo Tomori,/fikayo-tomori/profil/spieler/303254,23,CB,England,40000000,31600000,Chelsea FC,/fc-chelsea/startseite/verein/631,AC Milan,/ac-mailand/startseite/verein/5,in,2021,8400000
Marc Guéhi,/marc-guehi/profil/spieler/392757,21,CB,England,35000000,23340000,Chelsea FC,/fc-chelsea/startseite/verein/631,Crystal Palace,/crystal-palace/startseite/verein/873,in,2021,11660000
Davide Zappacosta,/davide-zappacosta/profil/spieler/173859,29,RB,Italy,7000000,6000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Atalanta BC,/atalanta-bergamo/startseite/verein/800,in,2021,1000000
Victor Moses,/victor-moses/profil/spieler/59866,30,RM,Nigeria,2000000,5000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Spartak Moscow,/spartak-moskau/startseite/verein/232,in,2021,-3000000
Olivier Giroud,/olivier-giroud/profil/spieler/82442,34,CF,France,4000000,2850000,Chelsea FC,/fc-chelsea/startseite/verein/631,AC Milan,/ac-mailand/startseite/verein/5,in,2021,1150000
Joachim Andersen,/joachim-andersen/profil/spieler/260827,25,CB,Denmark,30000000,17500000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Crystal Palace,/crystal-palace/startseite/verein/873,out,2021,12500000
Odsonne Edouard,/odsonne-edouard/profil/spieler/344152,23,CF,France,15000000,16300000,Celtic FC,/celtic-glasgow/startseite/verein/371,Crystal Palace,/crystal-palace/startseite/verein/873,out,2021,-1300000
Jean-Philippe Mateta,/jean-philippe-mateta/profil/spieler/420002,24,CF,France,7000000,11000000,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,Crystal Palace,/crystal-palace/startseite/verein/873,out,2021,-4000000
Michael Olise,/michael-olise/profil/spieler/566723,19,RW,France,38000000,9300000,Reading FC,/fc-reading/startseite/verein/1032,Crystal Palace,/crystal-palace/startseite/verein/873,out,2021,28700000
Will Hughes,/will-hughes/profil/spieler/207014,26,CM,England,5000000,7000000,Watford FC,/fc-watford/startseite/verein/1010,Crystal Palace,/crystal-palace/startseite/verein/873,out,2021,-2000000
Luke Plange,/luke-plange/profil/spieler/586986,19,CF,England,1000000,1180000,Derby County,/derby-county/startseite/verein/22,Crystal Palace,/crystal-palace/startseite/verein/873,out,2021,-180000
Vitaliy Mykolenko,/vitaliy-mykolenko/profil/spieler/404842,22,LB,Ukraine,25000000,23500000,Dynamo Kyiv,/dynamo-kiew/startseite/verein/338,Everton FC,/fc-everton/startseite/verein/29,out,2021,1500000
Nathan Patterson,/nathan-patterson/profil/spieler/424015,20,RB,Scotland,16000000,14000000,Rangers FC,/glasgow-rangers/startseite/verein/124,Everton FC,/fc-everton/startseite/verein/29,out,2021,2000000
Demarai Gray,/demarai-gray/profil/spieler/292417,25,LW,Jamaica,20000000,2000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,Everton FC,/fc-everton/startseite/verein/29,out,2021,18000000
James Rodríguez,/james-rodriguez/profil/spieler/88103,30,AM,Colombia,6000000,8000000,Everton FC,/fc-everton/startseite/verein/29,Al-Rayyan SC,/al-rayyan-sc/startseite/verein/3229,in,2021,-2000000
Bernard,/bernard/profil/spieler/175169,28,LW,Brazil,3000000,1000000,Everton FC,/fc-everton/startseite/verein/29,Sharjah FC,/sharjah-cultural-sports-club/startseite/verein/13613,in,2021,2000000
Daniel James,/daniel-james/profil/spieler/319301,23,RW,Wales,12000000,29100000,Manchester United,/manchester-united/startseite/verein/985,Leeds United,/leeds-united/startseite/verein/399,out,2021,-17100000
Junior Firpo,/junior-firpo/profil/spieler/374139,24,LB,Dominican Republic,10000000,15000000,FC Barcelona,/fc-barcelona/startseite/verein/131,Leeds United,/leeds-united/startseite/verein/399,out,2021,-5000000
Jack Harrison,/jack-harrison/profil/spieler/417346,24,LW,England,22000000,12800000,Manchester City,/manchester-city/startseite/verein/281,Leeds United,/leeds-united/startseite/verein/399,out,2021,9200000
Kristoffer Klaesson,/kristoffer-klaesson/profil/spieler/418561,20,GK,Norway,1800000,2400000,Vålerenga Fotball,/valerenga-fotball/startseite/verein/76,Leeds United,/leeds-united/startseite/verein/399,out,2021,-600000
Patson Daka,/patson-daka/profil/spieler/365172,22,CF,Zambia,18000000,30000000,Red Bull Salzburg,/red-bull-salzburg/startseite/verein/409,Leicester City,/leicester-city/startseite/verein/1003,out,2021,-12000000
Boubakary Soumaré,/boubakary-soumare/profil/spieler/344605,22,DM,France,20000000,20000000,LOSC Lille,/losc-lille/startseite/verein/1082,Leicester City,/leicester-city/startseite/verein/1003,out,2021,0
Jannik Vestergaard,/jannik-vestergaard/profil/spieler/99331,29,CB,Denmark,4000000,17600000,Southampton FC,/fc-southampton/startseite/verein/180,Leicester City,/leicester-city/startseite/verein/1003,out,2021,-13600000
Rachid Ghezzal,/rachid-ghezzal/profil/spieler/118287,29,RW,Algeria,5000000,3000000,Leicester City,/leicester-city/startseite/verein/1003,Besiktas JK,/besiktas-istanbul/startseite/verein/114,in,2021,2000000
Luis Díaz,/luis-diaz/profil/spieler/480692,25,LW,Colombia,75000000,47000000,FC Porto,/fc-porto/startseite/verein/720,Liverpool FC,/fc-liverpool/startseite/verein/31,out,2021,28000000
Ibrahima Konaté,/ibrahima-konate/profil/spieler/357119,22,CB,France,38000000,40000000,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,Liverpool FC,/fc-liverpool/startseite/verein/31,out,2021,-2000000
Harry Wilson,/harry-wilson/profil/spieler/279455,24,RW,Wales,16000000,14000000,Liverpool FC,/fc-liverpool/startseite/verein/31,Fulham FC,/fc-fulham/startseite/verein/931,in,2021,2000000
Taiwo Awoniyi,/taiwo-awoniyi/profil/spieler/295313,23,CF,Nigeria,25000000,8550000,Liverpool FC,/fc-liverpool/startseite/verein/31,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,in,2021,16450000
Xherdan Shaqiri,/xherdan-shaqiri/profil/spieler/86792,29,AM,Switzerland,4000000,6000000,Liverpool FC,/fc-liverpool/startseite/verein/31,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2021,-2000000
Julián Álvarez,/julian-alvarez/profil/spieler/576024,22,CF,Argentina,60000000,21400000,CA River Plate,/club-atletico-river-plate/startseite/verein/209,Manchester City,/manchester-city/startseite/verein/281,out,2021,38600000
Ferran Torres,/ferran-torres/profil/spieler/398184,21,LW,Spain,30000000,55000000,Manchester City,/manchester-city/startseite/verein/281,FC Barcelona,/fc-barcelona/startseite/verein/131,in,2021,-25000000
Angeliño,/angelino/profil/spieler/277179,24,LB,Spain,12000000,18000000,Manchester City,/manchester-city/startseite/verein/281,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,in,2021,-6000000
Lukas Nmecha,/lukas-nmecha/profil/spieler/314288,22,CF,Germany,12000000,8000000,Manchester City,/manchester-city/startseite/verein/281,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,in,2021,4000000
Jadon Sancho,/jadon-sancho/profil/spieler/401173,21,LW,England,45000000,85000000,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,Manchester United,/manchester-united/startseite/verein/985,out,2021,-40000000
Raphaël Varane,/raphael-varane/profil/spieler/164770,28,CB,France,35000000,40000000,Real Madrid,/real-madrid/startseite/verein/418,Manchester United,/manchester-united/startseite/verein/985,out,2021,-5000000
Cristiano Ronaldo,/cristiano-ronaldo/profil/spieler/8198,36,CF,Portugal,15000000,17000000,Juventus FC,/juventus-turin/startseite/verein/506,Manchester United,/manchester-united/startseite/verein/985,out,2021,-2000000
Bruno Guimarães,/bruno-guimaraes/profil/spieler/520624,24,DM,Brazil,70000000,42100000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Newcastle United,/newcastle-united/startseite/verein/762,out,2021,27900000
Kieran Trippier,/kieran-trippier/profil/spieler/95810,31,RB,England,11000000,14000000,Atlético de Madrid,/atletico-madrid/startseite/verein/13,Newcastle United,/newcastle-united/startseite/verein/762,out,2021,-3000000
Milot Rashica,/milot-rashica/profil/spieler/291739,25,RW,Kosovo,8500000,11000000,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86,Norwich City,/norwich-city/startseite/verein/1123,out,2021,-2500000
Christos Tzolis,/christos-tzolis/profil/spieler/451677,19,LW,Greece,5000000,11000000,PAOK Thessaloniki,/paok-thessaloniki/startseite/verein/1091,Norwich City,/norwich-city/startseite/verein/1123,out,2021,-6000000
Josh Sargent,/josh-sargent/profil/spieler/393325,21,CF,United States,12000000,9500000,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86,Norwich City,/norwich-city/startseite/verein/1123,out,2021,2500000
Dimitrios Giannoulis,/dimitrios-giannoulis/profil/spieler/295630,25,LB,Greece,3500000,7500000,PAOK Thessaloniki,/paok-thessaloniki/startseite/verein/1091,Norwich City,/norwich-city/startseite/verein/1123,out,2021,-4000000
Angus Gunn,/angus-gunn/profil/spieler/201574,25,GK,Scotland,2500000,5850000,Southampton FC,/fc-southampton/startseite/verein/180,Norwich City,/norwich-city/startseite/verein/1123,out,2021,-3350000
Pierre Lees-Melou,/pierre-lees-melou/profil/spieler/377393,28,DM,France,4000000,3900000,OGC Nice,/ogc-nizza/startseite/verein/417,Norwich City,/norwich-city/startseite/verein/1123,out,2021,100000
Adam Armstrong,/adam-armstrong/profil/spieler/250426,24,CF,England,10000000,17700000,Blackburn Rovers,/blackburn-rovers/startseite/verein/164,Southampton FC,/fc-southampton/startseite/verein/180,out,2021,-7700000
Romain Perraud,/romain-perraud/profil/spieler/318523,23,LB,France,12000000,12000000,Stade Brestois 29,/stade-brest-29/startseite/verein/3911,Southampton FC,/fc-southampton/startseite/verein/180,out,2021,0
Lyanco,/lyanco/profil/spieler/379807,24,CB,Brazil,3500000,7500000,Torino FC,/fc-turin/startseite/verein/416,Southampton FC,/fc-southampton/startseite/verein/180,out,2021,-4000000
Tino Livramento,/tino-livramento/profil/spieler/503981,18,RB,England,25000000,5900000,Chelsea FC U23,/fc-chelsea-u23/startseite/verein/9250,Southampton FC,/fc-southampton/startseite/verein/180,out,2021,19100000
Mario Lemina,/mario-lemina/profil/spieler/170934,27,DM,Gabon,10000000,5500000,Southampton FC,/fc-southampton/startseite/verein/180,OGC Nice,/ogc-nizza/startseite/verein/417,in,2021,4500000
Michael Obafemi,/michael-obafemi/profil/spieler/444208,21,CF,Ireland,5000000,2000000,Southampton FC,/fc-southampton/startseite/verein/180,Swansea City,/swansea-city/startseite/verein/2288,in,2021,3000000
Bryan Gil,/bryan-gil/profil/spieler/537382,20,LW,Spain,15000000,25000000,Sevilla FC,/fc-sevilla/startseite/verein/368,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,out,2021,-10000000
Emerson Royal,/emerson-royal/profil/spieler/476344,22,RB,Brazil,20000000,25000000,FC Barcelona,/fc-barcelona/startseite/verein/131,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,out,2021,-5000000
Rodrigo Bentancur,/rodrigo-bentancur/profil/spieler/354362,24,CM,Uruguay,40000000,19000000,Juventus FC,/juventus-turin/startseite/verein/506,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,out,2021,21000000
Pape Matar Sarr,/pape-matar-sarr/profil/spieler/568693,18,CM,Senegal,15000000,16900000,FC Metz,/fc-metz/startseite/verein/347,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,out,2021,-1900000
Juan Foyth,/juan-foyth/profil/spieler/480763,23,RB,Argentina,25000000,15000000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,Villarreal CF,/fc-villarreal/startseite/verein/1050,in,2021,10000000
Toby Alderweireld,/toby-alderweireld/profil/spieler/42710,32,CB,Belgium,3500000,13000000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,Al-Duhail SC,/al-duhail-sc/startseite/verein/26091,in,2021,-9500000
Moussa Sissoko,/moussa-sissoko/profil/spieler/46001,32,CM,France,3500000,3500000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,Watford FC,/fc-watford/startseite/verein/1010,in,2021,0
Joe Hart,/joe-hart/profil/spieler/40204,34,GK,England,1700000,1200000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,Celtic FC,/celtic-glasgow/startseite/verein/371,in,2021,500000
