playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Ricardo Centurión,/ricardo-centurion/profil/spieler/230058,24,LW,Argentina,250000,3800000,São Paulo Futebol Clube,/fc-sao-paulo/startseite/verein/585,Genoa CFC,/genua-cfc/startseite/verein/252,in,2017,-3550000,30.0,1.74,right,ITA-Serie A,Genoa,ARG,"MF,FW",24.0,1993.0,0.6,13.0,21.0,61.9,153.0,67.0,9.0,12.0,75.0,3.0,4.0,75.0,0.0,1.0,0.0,0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,3.0,2018
Ricardo Centurión,/ricardo-centurion/profil/spieler/230058,24,LW,Argentina,250000,3500000,Genoa CFC,/genua-cfc/startseite/verein/252,Racing Club,/racing-club/startseite/verein/1444,out,2017,-3250000,30.0,1.74,right,ITA-Serie A,Genoa,ARG,"MF,FW",24.0,1993.0,0.6,13.0,21.0,61.9,153.0,67.0,9.0,12.0,75.0,3.0,4.0,75.0,0.0,1.0,0.0,0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,3.0,2018
Oscar Hiljemark,/oscar-hiljemark/profil/spieler/158810,25,CM,Sweden,0,2500000,US Palermo,/palermo-fc/startseite/verein/458,Genoa CFC,/genua-cfc/startseite/verein/252,in,2017,-2500000,31.0,1.84,right,ITA-Serie A,Genoa,SWE,MF,25.0,1992.0,14.2,523.0,677.0,77.3,8066.0,2753.0,290.0,327.0,88.7,165.0,202.0,81.7,41.0,99.0,41.4,3,5.6,4.4,-2.6,36.0,52.0,22.0,11.0,73.0,2018
Petar Brlek,/petar-brlek/profil/spieler/160471,23,CM,Croatia,250000,2200000,Wisla Kraków,/wisla-krakau/startseite/verein/422,Genoa CFC,/genua-cfc/startseite/verein/252,in,2017,-1950000,29.0,1.8,right,ITA-Serie A,Genoa,CRO,MF,23.0,1994.0,2.6,94.0,116.0,81.0,1749.0,428.0,33.0,38.0,86.8,51.0,63.0,81.0,10.0,12.0,83.3,0,0.1,0.1,-0.1,1.0,7.0,1.0,0.0,10.0,2018
Jawad El Yamiq,/jawad-el-yamiq/profil/spieler/235412,25,CB,Morocco,2000000,650000,Raja Club Athletic,/raja-casablanca/startseite/verein/2068,Genoa CFC,/genua-cfc/startseite/verein/252,in,2017,1350000,31.0,1.93,right,ITA-Serie A,Genoa,MAR,DF,25.0,1992.0,4.0,140.0,172.0,81.4,2632.0,1144.0,57.0,68.0,83.8,67.0,74.0,90.5,16.0,29.0,55.2,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,2018
Stephane Omeonga,/stephane-omeonga/profil/spieler/342472,21,CM,Belgium,400000,600000,US Avellino 1912,/us-avellino-1912/startseite/verein/2331,Genoa CFC,/genua-cfc/startseite/verein/252,in,2017,-200000,27.0,1.77,right,ITA-Serie A,Genoa,BEL,"MF,DF",21.0,1996.0,8.9,283.0,343.0,82.5,4831.0,1300.0,128.0,154.0,83.1,127.0,140.0,90.7,24.0,33.0,72.7,0,0.5,0.5,-0.5,9.0,43.0,3.0,1.0,35.0,2018
Pietro Pellegri,/pietro-pellegri/profil/spieler/364133,16,CF,Italy,3500000,20900000,Genoa CFC,/genua-cfc/startseite/verein/252,AS Monaco,/as-monaco/startseite/verein/162,out,2017,-17400000,22.0,1.88,right,FRA-Ligue 1,Monaco,ITA,FW,16.0,2001.0,0.3,3.0,7.0,42.9,25.0,1.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Pietro Pellegri,/pietro-pellegri/profil/spieler/364133,16,CF,Italy,3500000,20900000,Genoa CFC,/genua-cfc/startseite/verein/252,AS Monaco,/as-monaco/startseite/verein/162,out,2017,-17400000,22.0,1.88,right,ITA-Serie A,Genoa,ITA,FW,16.0,2001.0,3.1,36.0,47.0,76.6,587.0,65.0,12.0,14.0,85.7,19.0,22.0,86.4,3.0,5.0,60.0,0,0.1,0.1,-0.1,4.0,1.0,2.0,1.0,3.0,2018
Giovanni Simeone,/giovanni-simeone/profil/spieler/282388,22,CF,Argentina,15000000,17000000,Genoa CFC,/genua-cfc/startseite/verein/252,ACF Fiorentina,/ac-florenz/startseite/verein/430,out,2017,-2000000,27.0,1.8,right,ITA-Serie A,Fiorentina,ARG,FW,22.0,1995.0,33.3,383.0,561.0,68.3,4452.0,786.0,240.0,303.0,79.2,69.0,123.0,56.1,15.0,33.0,45.5,4,2.9,2.1,1.1,37.0,24.0,14.0,0.0,32.0,2018
Ezequiel Muñoz,/ezequiel-munoz/profil/spieler/75127,26,CB,Argentina,150000,2500000,Genoa CFC,/genua-cfc/startseite/verein/252,CD Leganés,/cd-leganes/startseite/verein/1244,out,2017,-2350000,32.0,1.86,,ESP-La Liga,Leganés,ARG,DF,26.0,1990.0,15.6,381.0,497.0,76.7,7123.0,2342.0,143.0,174.0,82.2,186.0,222.0,83.8,47.0,91.0,51.6,1,0.7,0.4,0.3,5.0,6.0,1.0,0.0,10.0,2018
Raffaele Palladino,/raffaele-palladino/profil/spieler/28855,33,LW,Italy,0,250000,Genoa CFC,/genua-cfc/startseite/verein/252,Spezia Calcio,/spezia-calcio/startseite/verein/3522,out,2017,-250000,39.0,1.82,right,ITA-Serie A,Genoa,ITA,"MF,FW",33.0,1984.0,2.6,71.0,96.0,74.0,1318.0,322.0,25.0,31.0,80.6,42.0,49.0,85.7,4.0,12.0,33.3,0,0.7,0.6,-0.7,8.0,3.0,5.0,3.0,9.0,2018
Bruno Zuculini,/bruno-zuculini/profil/spieler/115507,24,DM,Argentina,1800000,1250000,Manchester City,/manchester-city/startseite/verein/281,Hellas Verona,/hellas-verona/startseite/verein/276,in,2017,550000,30.0,1.82,right,ITA-Serie A,Hellas Verona,ARG,MF,24.0,1993.0,13.5,518.0,635.0,81.6,9247.0,3037.0,236.0,275.0,85.8,204.0,241.0,84.6,67.0,95.0,70.5,0,0.0,0.1,0.0,2.0,45.0,1.0,0.0,58.0,2018
Bruno Zuculini,/bruno-zuculini/profil/spieler/115507,24,DM,Argentina,1800000,3250000,Hellas Verona,/hellas-verona/startseite/verein/276,CA River Plate,/club-atletico-river-plate/startseite/verein/209,out,2017,-1450000,30.0,1.82,right,ITA-Serie A,Hellas Verona,ARG,MF,24.0,1993.0,13.5,518.0,635.0,81.6,9247.0,3037.0,236.0,275.0,85.8,204.0,241.0,84.6,67.0,95.0,70.5,0,0.0,0.1,0.0,2.0,45.0,1.0,0.0,58.0,2018
Marco Fossati,/marco-fossati/profil/spieler/110931,24,DM,Italy,800000,300000,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,Hellas Verona,/hellas-verona/startseite/verein/276,in,2017,500000,30.0,1.8,right,ITA-Serie A,Hellas Verona,ITA,MF,24.0,1992.0,12.2,580.0,708.0,81.9,11059.0,3369.0,240.0,262.0,91.6,234.0,271.0,86.3,87.0,136.0,64.0,0,0.6,0.6,-0.6,6.0,58.0,5.0,0.0,73.0,2018
Filip Helander,/filip-helander/profil/spieler/198067,24,CB,Sweden,2000000,2000000,Hellas Verona,/hellas-verona/startseite/verein/276,Bologna FC 1909,/fc-bologna/startseite/verein/1025,out,2017,0,30.0,1.92,left,ITA-Serie A,Bologna,SWE,DF,24.0,1993.0,27.8,1007.0,1242.0,81.1,20541.0,7490.0,303.0,338.0,89.6,572.0,638.0,89.7,123.0,224.0,54.9,0,0.0,0.4,0.0,1.0,65.0,2.0,0.0,87.0,2018
Alessandro Bastoni,/alessandro-bastoni/profil/spieler/315853,18,CB,Italy,60000000,31100000,Atalanta BC,/atalanta-bergamo/startseite/verein/800,Inter Milan,/inter-mailand/startseite/verein/46,in,2017,28900000,24.0,1.9,left,ITA-Serie A,Atalanta,ITA,DF,18.0,1999.0,1.0,70.0,86.0,81.4,1223.0,262.0,32.0,38.0,84.2,32.0,38.0,84.2,4.0,5.0,80.0,0,0.1,0.1,-0.1,2.0,4.0,0.0,0.0,6.0,2018
