playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,nextSeason
Abdou Harroui,/abdou-harroui/profil/spieler/416386,24,CM,Morocco,2700000,1000000,Sparta Rotterdam,/sparta-rotterdam/startseite/verein/468,US Sassuolo,/us-sassuolo/startseite/verein/6574,in,2022,1700000,25.0,1.82,both,ITA-Serie A,Sassuolo,Abdou Harroui,NED,MF,23.0,1998.0,5.0,2,0,0.0,13,2.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,38.0,6.0,9.0,40.0,2022
Gianluca Scamacca,/gianluca-scamacca/profil/spieler/315867,23,CF,Italy,22000000,36000000,US Sassuolo,/us-sassuolo/startseite/verein/6574,West Ham United,/west-ham-united/startseite/verein/379,out,2022,-14000000,24.0,1.95,right,ITA-Serie A,Sassuolo,Gianluca Scamacca,ITA,FW,22.0,1999.0,23.8,7,0,0.0,49,20.0,10.0,11.0,5.0,14.0,0.0,0.0,0.0,46.0,51.0,39.0,56.7,2022
Hassane Kamara,/hassane-kamara/profil/spieler/290017,28,LB,Cote d'Ivoire,8000000,19000000,Watford FC,/fc-watford/startseite/verein/1010,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2022,-11000000,29.0,1.7,left,ENG-Premier League,Watford,Hassane Kamara,CIV,DF,27.0,1994.0,18.0,5,1,1.0,24,16.0,0.0,23.0,69.0,34.0,0.0,1.0,0.0,153.0,30.0,15.0,66.7,2022
Hassane Kamara,/hassane-kamara/profil/spieler/290017,28,LB,Cote d'Ivoire,8000000,19000000,Watford FC,/fc-watford/startseite/verein/1010,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2022,-11000000,29.0,1.7,left,FRA-Ligue 1,Nice,Hassane Kamara,CIV,"MF,DF",27.0,1994.0,6.0,2,0,0.0,8,4.0,3.0,16.0,9.0,10.0,0.0,0.0,0.0,41.0,2.0,13.0,13.3,2022
Beto,/beto/profil/spieler/595809,24,CF,Portugal,25000000,7000000,Portimonense SC,/portimonense-sc/startseite/verein/7378,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2022,18000000,25.0,1.94,right,ITA-Serie A,Udinese,Beto,GNB,FW,23.0,1998.0,24.1,1,0,0.0,52,24.0,13.0,2.0,5.0,6.0,0.0,0.0,0.0,54.0,73.0,123.0,37.2,2022
Adam Masina,/adam-masina/profil/spieler/286949,28,LB,Morocco,2500000,5000000,Watford FC,/fc-watford/startseite/verein/1010,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2022,-2500000,29.0,1.91,left,ENG-Premier League,Watford,Adam Masina,MAR,DF,27.0,1994.0,12.0,0,0,0.0,14,4.0,0.0,30.0,18.0,13.0,0.0,1.0,0.0,70.0,29.0,17.0,63.0,2022
Enzo Ebosse,/enzo-ebosse/profil/spieler/342877,23,CB,Cameroon,4500000,4000000,Angers SCO,/sco-angers/startseite/verein/1420,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2022,500000,24.0,1.85,left,FRA-Ligue 1,Angers,Enzo Ebosse,CMR,DF,22.0,1999.0,21.0,1,0,0.0,14,21.0,0.0,16.0,15.0,14.0,0.0,1.0,0.0,112.0,22.0,22.0,50.0,2022
Kingsley Ehizibue,/kingsley-ehizibue/profil/spieler/272812,27,RB,Netherlands,2500000,1500000,1.FC Köln,/1-fc-koln/startseite/verein/3,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2022,1000000,28.0,1.89,right,GER-Bundesliga,Köln,Kingsley Ehizibue,NED,DF,26.0,1995.0,7.6,2,0,0.0,15,16.0,0.0,17.0,9.0,18.0,0.0,0.0,0.0,45.0,13.0,5.0,72.2,2022
Nahuel Molina,/nahuel-molina/profil/spieler/424042,24,RB,Argentina,35000000,20000000,Udinese Calcio,/udinese-calcio/startseite/verein/410,Atlético de Madrid,/atletico-madrid/startseite/verein/13,out,2022,15000000,25.0,1.75,right,ITA-Serie A,Udinese,Nahuel Molina,ARG,DF,23.0,1998.0,29.3,7,1,1.0,31,16.0,1.0,117.0,22.0,24.0,0.0,0.0,0.0,158.0,10.0,19.0,34.5,2022
Jean-Victor Makengo,/jean-victor-makengo/profil/spieler/322305,24,CM,France,10000000,11000000,Udinese Calcio,/udinese-calcio/startseite/verein/410,FC Lorient,/fc-lorient/startseite/verein/1158,out,2022,-1000000,25.0,1.77,left,ITA-Serie A,Udinese,Jean-Victor Makengo,FRA,MF,23.0,1998.0,26.1,7,1,1.0,27,38.0,1.0,8.0,19.0,21.0,0.0,0.0,0.0,150.0,10.0,24.0,29.4,2022
