playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Jeroen Zoet,/jeroen-zoet/profil/spieler/79045,29,GK,Netherlands,400000,1500000,PSV Eindhoven,/psv-eindhoven/startseite/verein/383,Spezia Calcio,/spezia-calcio/startseite/verein/3522,in,2020,-1100000,32.0,1.89,right,ITA-Serie A,Spezia,NED,GK,29,1991,7,7,603.0,6.7,12.0,1.79,29.0,17.0,69.0,3.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2021
Mike Maignan,/mike-maignan/profil/spieler/182906,25,GK,France,45000000,15400000,LOSC Lille,/losc-lille/startseite/verein/1082,AC Milan,/ac-mailand/startseite/verein/5,in,2021,29600000,27.0,1.91,right,ITA-Serie A,Milan,FRA,GK,26,1995,32,32,2880.0,32.0,21.0,0.66,101.0,81.0,81.2,22.0,7.0,3.0,17.0,53.1,2.0,2.0,0.0,0.0,0.0,2022
Rui Patrício,/rui-patricio/profil/spieler/45026,33,GK,Portugal,5000000,11800000,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,AS Roma,/as-rom/startseite/verein/12,in,2021,-6800000,35.0,1.9,left,ITA-Serie A,Roma,POR,GK,33,1988,38,38,3420.0,38.0,43.0,1.13,146.0,104.0,74.0,18.0,9.0,11.0,15.0,39.5,6.0,5.0,1.0,0.0,16.7,2022
Marco Silvestri,/marco-silvestri/profil/spieler/85528,30,GK,Italy,5000000,2200000,Hellas Verona,/hellas-verona/startseite/verein/276,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2021,2800000,32.0,1.91,right,ITA-Serie A,Udinese,ITA,GK,30,1991,35,35,3150.0,35.0,50.0,1.43,141.0,92.0,68.1,10.0,14.0,11.0,7.0,20.0,7.0,5.0,0.0,2.0,0.0,2022
Juan Musso,/juan-musso/profil/spieler/242359,27,GK,Argentina,8000000,20500000,Udinese Calcio,/udinese-calcio/startseite/verein/410,Atalanta BC,/atalanta-bergamo/startseite/verein/800,out,2021,-12500000,29.0,1.91,right,ITA-Serie A,Atalanta,ARG,GK,27,1994,33,33,2932.0,32.6,42.0,1.29,119.0,80.0,67.2,16.0,8.0,9.0,8.0,24.2,4.0,3.0,0.0,1.0,0.0,2022
Alban Lafont,/alban-lafont/profil/spieler/357117,22,GK,France,16000000,7500000,ACF Fiorentina,/ac-florenz/startseite/verein/430,FC Nantes,/fc-nantes/startseite/verein/995,out,2021,8500000,24.0,1.96,right,FRA-Ligue 1,Nantes,FRA,GK,22,1999,38,38,3420.0,38.0,48.0,1.26,155.0,105.0,71.6,15.0,10.0,13.0,8.0,21.1,7.0,4.0,3.0,0.0,42.9,2022
Boris Radunović,/boris-radunovi%C4%87/profil/spieler/258482,25,GK,Serbia,1500000,500000,Atalanta BC,/atalanta-bergamo/startseite/verein/800,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,in,2021,1000000,27.0,1.94,right,ITA-Serie A,Cagliari,SRB,GK,25,1996,3,3,270.0,3.0,5.0,1.67,17.0,11.0,76.5,0.0,2.0,1.0,1.0,33.3,2.0,1.0,1.0,0.0,50.0,2022
Vincenzo Fiorillo,/vincenzo-fiorillo/profil/spieler/55000,31,GK,Italy,200000,600000,Delfino Pescara 1936,/delfino-pescara-1936/startseite/verein/2921,US Salernitana 1919,/us-salernitana-1919/startseite/verein/380,in,2021,-400000,33.0,1.9,left,ITA-Serie A,Salernitana,ITA,GK,31,1990,1,1,90.0,1.0,5.0,5.0,8.0,3.0,37.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022
Luís Maximiano,/luis-maximiano/profil/spieler/367464,23,GK,Portugal,6000000,10260000,Granada CF,/fc-granada/startseite/verein/16795,SS Lazio,/lazio-rom/startseite/verein/398,in,2022,-4260000,24.0,1.9,both,ITA-Serie A,Lazio,POR,GK,23,1999,1,1,5.0,0.1,,,,,,1.0,,,,,,,,,,2023
Pau López,/pau-lopez/profil/spieler/286415,27,GK,Spain,14000000,12000000,AS Roma,/as-rom/startseite/verein/12,Olympique Marseille,/olympique-marseille/startseite/verein/244,out,2022,2000000,28.0,1.89,left,FRA-Ligue 1,Marseille,ESP,GK,27,1994,33,32,2925.0,32.5,34.0,1.05,123.0,90.0,76.4,21.0,4.0,7.0,10.0,31.3,5.0,5.0,0.0,0.0,0.0,2023
Robin Olsen,/robin-olsen/profil/spieler/75458,32,GK,Sweden,1500000,3500000,AS Roma,/as-rom/startseite/verein/12,Aston Villa,/aston-villa/startseite/verein/405,out,2022,-2000000,33.0,1.96,right,ENG-Premier League,Aston Villa,SWE,GK,32,1990,4,2,281.0,3.1,8.0,2.56,19.0,11.0,63.2,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,2023
Lorenzo Montipò,/lorenzo-montipo/profil/spieler/241923,26,GK,Italy,4000000,1100000,Benevento Calcio,/benevento-calcio/startseite/verein/4171,Hellas Verona,/hellas-verona/startseite/verein/276,in,2022,2900000,27.0,1.91,right,ITA-Serie A,Hellas Verona,ITA,GK,26,1996,37,37,3330.0,37.0,59.0,1.59,181.0,124.0,68.0,7.0,9.0,21.0,5.0,13.5,2.0,1.0,1.0,0.0,50.0,2023
Guglielmo Vicario,/guglielmo-vicario/profil/spieler/286047,25,GK,Italy,16000000,8500000,Cagliari Calcio,/cagliari-calcio/startseite/verein/1390,FC Empoli,/fc-empoli/startseite/verein/749,in,2022,7500000,26.0,1.94,right,ITA-Serie A,Empoli,ITA,GK,25,1996,31,31,2783.0,30.9,39.0,1.26,134.0,95.0,73.9,9.0,12.0,10.0,7.0,22.6,6.0,4.0,1.0,1.0,20.0,2023
Ivan Provedel,/ivan-provedel/profil/spieler/197929,28,GK,Italy,12000000,2380000,Spezia Calcio,/spezia-calcio/startseite/verein/3522,SS Lazio,/lazio-rom/startseite/verein/398,out,2022,9620000,29.0,1.94,right,ITA-Serie A,Lazio,ITA,GK,28,1994,38,37,3413.0,37.9,30.0,0.79,128.0,99.0,77.3,21.0,8.0,8.0,21.0,56.8,2.0,1.0,0.0,1.0,0.0,2023
Michele Di Gregorio,/michele-di-gregorio/profil/spieler/301238,24,GK,Italy,8000000,4150000,Inter Milan,/inter-mailand/startseite/verein/46,AC Monza,/ac-monza/startseite/verein/2919,in,2022,3850000,25.0,1.87,right,ITA-Serie A,Monza,ITA,GK,25,1997,37,37,3330.0,37.0,49.0,1.32,167.0,119.0,72.5,14.0,10.0,13.0,10.0,27.0,3.0,3.0,0.0,0.0,0.0,2023
