playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Denso Kasius,/denso-kasius/profil/spieler/577394,19,RB,Netherlands,1700000,3280000,FC Utrecht U21,/fc-utrecht-ii/startseite/verein/17596,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2021,-1580000,20.0,1.83,right,ITA-Serie A,Bologna,NED,"DF,FW",18.0,2002.0,2.0,161.0,4.0,40.0,73.0,48.0,2.0,161.0,8.0,3.0,37.5,5.0,62.5,89.0,619.0,271.0,6.0,4.0,2.0,6.0,0.0,97.0,20.0,2022
Adama Soumaoro,/adama-soumaoro/profil/spieler/126673,29,CB,France,3000000,2100000,LOSC Lille,/losc-lille/startseite/verein/1082,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2021,900000,31.0,1.86,right,ITA-Serie A,Bologna,FRA,DF,29.0,1992.0,25.2,1253.0,136.0,563.0,616.0,80.0,17.0,1253.0,10.0,8.0,80.0,2.0,20.0,628.0,3045.0,1642.0,16.0,20.0,1.0,13.0,5.0,766.0,10.0,2022
Sydney van Hooijdonk,/sydney-van-hooijdonk/profil/spieler/439292,21,CF,Netherlands,6000000,735000,NAC Breda,/nac-breda/startseite/verein/132,Bologna FC 1909,/fc-bologna/startseite/verein/1025,in,2021,5265000,23.0,1.9,right,ITA-Serie A,Bologna,NED,"FW,MF",21.0,2000.0,0.4,23.0,0.0,0.0,11.0,13.0,1.0,23.0,1.0,1.0,100.0,0.0,0.0,13.0,62.0,7.0,0.0,1.0,0.0,2.0,1.0,20.0,3.0,2022
Takehiro Tomiyasu,/takehiro-tomiyasu/profil/spieler/331560,22,RB,Japan,25000000,18600000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2021,6400000,24.0,1.88,right,ENG-Premier League,Arsenal,JPN,DF,22.0,1998.0,18.7,1310.0,73.0,402.0,632.0,285.0,20.0,1310.0,15.0,9.0,60.0,6.0,40.0,633.0,3064.0,1472.0,32.0,26.0,4.0,27.0,12.0,743.0,41.0,2022
Takehiro Tomiyasu,/takehiro-tomiyasu/profil/spieler/331560,22,RB,Japan,25000000,18600000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2021,6400000,24.0,1.88,right,ITA-Serie A,Bologna,JPN,DF,22.0,1998.0,0.1,5.0,0.0,2.0,1.0,2.0,0.0,5.0,1.0,1.0,100.0,0.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2022
Andreas Skov Olsen,/andreas-skov-olsen/profil/spieler/432982,22,RW,Denmark,14000000,6400000,Bologna FC 1909,/fc-bologna/startseite/verein/1025,Club Brugge KV,/fc-brugge/startseite/verein/2282,out,2021,7600000,23.0,1.87,left,ITA-Serie A,Bologna,DEN,"FW,DF",21.0,1999.0,8.3,491.0,12.0,90.0,203.0,202.0,19.0,491.0,15.0,5.0,33.3,10.0,66.7,253.0,1832.0,823.0,29.0,24.0,8.0,19.0,5.0,325.0,52.0,2022
Marco Silvestri,/marco-silvestri/profil/spieler/85528,30,GK,Italy,5000000,2200000,Hellas Verona,/hellas-verona/startseite/verein/276,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2021,2800000,32.0,1.91,right,ITA-Serie A,Udinese,ITA,GK,30.0,1991.0,35.0,1021.0,914.0,1018.0,3.0,0.0,0.0,1021.0,0.0,0.0,,0.0,,486.0,2632.0,1798.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,2022
Brandon Soppy,/brandon-soppy/profil/spieler/546880,19,RB,France,9000000,2000000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2021,7000000,21.0,1.81,right,ITA-Serie A,Udinese,FRA,"DF,MF",19.0,2002.0,8.6,356.0,18.0,87.0,146.0,131.0,22.0,356.0,38.0,18.0,47.4,20.0,52.6,205.0,1405.0,748.0,25.0,20.0,9.0,16.0,8.0,203.0,50.0,2022
Isaac Success,/isaac-success/profil/spieler/295331,25,CF,Nigeria,4000000,1800000,Watford FC,/fc-watford/startseite/verein/1010,Udinese Calcio,/udinese-calcio/startseite/verein/410,in,2021,2200000,27.0,1.82,right,ITA-Serie A,Udinese,NGA,"FW,MF",25.0,1996.0,10.1,399.0,8.0,24.0,156.0,225.0,53.0,399.0,29.0,19.0,65.5,10.0,34.5,282.0,1262.0,575.0,16.0,12.0,7.0,37.0,27.0,355.0,84.0,2022
Juan Musso,/juan-musso/profil/spieler/242359,27,GK,Argentina,8000000,20500000,Udinese Calcio,/udinese-calcio/startseite/verein/410,Atalanta BC,/atalanta-bergamo/startseite/verein/800,out,2021,-12500000,29.0,1.91,right,ITA-Serie A,Atalanta,ARG,GK,27.0,1994.0,32.6,1019.0,831.0,1010.0,10.0,0.0,0.0,1019.0,1.0,1.0,100.0,0.0,0.0,589.0,3258.0,2006.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,2022
