league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
ENG-Premier League,2011,Sunderland,Simon Mignolet,BEL,GK,23,1988,29,29,2571,28.6,33,1.16,139,106,76.3,9,8,11,11,37.9,,,,,,2012
ENG-Premier League,2011,Swansea City,Gerhard Tremmel,GER,GK,32,1978,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,,,,,,2012
ENG-Premier League,2011,Swansea City,Michel Vorm,NED,GK,27,1983,37,37,3330,37.0,49,1.32,194,145,74.7,12,11,14,14,37.8,,,,,,2012
ENG-Premier League,2011,Tottenham,Brad Friedel,USA,GK,40,1971,38,38,3420,38.0,41,1.08,163,122,74.8,20,9,9,14,36.8,,,,,,2012
ENG-Premier League,2011,West Brom,Ben Foster,ENG,GK,28,1983,37,37,3330,37.0,49,1.32,166,117,70.5,13,8,16,10,27.0,,,,,,2012
ENG-Premier League,2011,West Brom,Márton Fülöp,HUN,GK,28,1983,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,,,,,,2012
ENG-Premier League,2011,Wigan Athletic,Ali Al-Habsi,OMA,GK,29,1981,38,38,3420,38.0,62,1.63,200,138,69.0,11,10,17,8,21.1,,,,,,2012
ENG-Premier League,2011,Wolves,Carl Ikeme,NGA,GK,25,1986,1,0,40,0.4,1,2.25,5,4,80.0,0,0,0,0,,,,,,,2012
ENG-Premier League,2011,Wolves,Dorus de Vries,NED,GK,30,1980,4,4,320,3.6,8,2.25,20,12,60.0,0,2,2,1,25.0,,,,,,2012
ENG-Premier League,2011,Wolves,Wayne Hennessey,WAL,GK,24,1987,34,34,3060,34.0,73,2.15,246,173,70.3,5,8,21,3,8.8,,,,,,2012
ENG-Premier League,2012,Arsenal,Vito Mannone,ITA,GK,24,1988,9,9,810,9.0,10,1.11,34,24,70.6,3,3,3,3,33.3,,,,,,2013
ENG-Premier League,2012,Arsenal,Wojciech Szczęsny,POL,GK,22,1990,25,25,2250,25.0,24,0.96,99,75,75.8,14,7,4,10,40.0,,,,,,2013
ENG-Premier League,2012,Arsenal,Łukasz Fabiański,POL,GK,27,1985,4,4,360,4.0,3,0.75,9,6,66.7,4,0,0,1,25.0,,,,,,2013
ENG-Premier League,2012,Aston Villa,Brad Guzan,USA,GK,27,1984,36,36,3240,36.0,65,1.81,185,120,64.9,10,11,15,5,13.9,,,,,,2013
ENG-Premier League,2012,Aston Villa,Shay Given,IRL,GK,36,1976,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,,,,,,2013
