league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
FRA-Ligue 1,2006,Nice,Lionel Letizi,FRA,GK,33,1973,1,1,90,1.0,3,3.00,8,5,62.5,0,1,0,0,0.0,,,,,,2007
FRA-Ligue 1,2006,Paris S-G,Mickaël Landreau,FRA,GK,27,1979,38,38,3420,38.0,42,1.11,171,129,75.4,12,12,14,12,31.6,,,,,,2007
FRA-Ligue 1,2006,Rennes,Simon Pouplin,FRA,GK,21,1985,38,38,3420,38.0,30,0.79,156,126,80.8,14,15,9,16,42.1,,,,,,2007
FRA-Ligue 1,2006,Saint-Étienne,Jody Viviani,FRA,GK,24,1982,2,2,180,2.0,2,1.00,6,4,66.7,0,1,1,0,0.0,,,,,,2007
FRA-Ligue 1,2006,Saint-Étienne,Jérémie Janot,FRA,GK,28,1977,36,36,3240,36.0,48,1.33,178,130,73.0,14,6,16,9,25.0,,,,,,2007
FRA-Ligue 1,2006,Sedan,Patrick Regnault,FRA,GK,32,1974,29,29,2591,28.8,49,1.70,171,122,71.3,3,11,15,2,6.9,,,,,,2007
FRA-Ligue 1,2006,Sedan,Stéphane Trévisan,FRA,GK,32,1974,9,9,810,9.0,9,1.00,45,36,80.0,4,3,2,4,44.4,,,,,,2007
FRA-Ligue 1,2006,Sochaux,Teddy Richert,FRA,GK,31,1974,38,38,3410,37.9,48,1.27,163,115,70.6,15,12,11,12,31.6,,,,,,2007
FRA-Ligue 1,2006,Toulouse,Benoît Benvegnu,FRA,GK,21,1985,2,2,180,2.0,1,0.50,7,6,85.7,1,1,0,1,50.0,,,,,,2007
FRA-Ligue 1,2006,Toulouse,Nicolas Douchez,FRA,GK,26,1980,36,36,3240,36.0,42,1.17,171,129,75.4,15,7,14,14,38.9,,,,,,2007
FRA-Ligue 1,2006,Troyes,Kévin Grau,FRA,GK,26,1980,2,2,180,2.0,5,2.50,12,7,58.3,0,0,2,0,0.0,,,,,,2007
FRA-Ligue 1,2006,Troyes,Quentin Westberg,USA,GK,20,1986,2,1,132,1.5,3,2.05,10,7,70.0,1,0,1,0,0.0,,,,,,2007
FRA-Ligue 1,2006,Troyes,Ronan Le Crom,FRA,GK,32,1974,35,35,3108,34.5,48,1.39,166,118,71.1,8,12,14,9,25.7,,,,,,2007
FRA-Ligue 1,2006,Valenciennes,Nicolas Penneteau,FRA,GK,25,1981,31,31,2790,31.0,38,1.23,147,109,74.1,9,8,14,9,29.0,,,,,,2007
FRA-Ligue 1,2006,Valenciennes,Willy Grondin,FRA,GK,31,1974,7,7,630,7.0,10,1.43,37,27,73.0,2,2,3,2,28.6,,,,,,2007
FRA-Ligue 1,2007,Auxerre,Olivier Sorin,FRA,GK,26,1981,19,19,1710,19.0,23,1.21,89,66,74.2,6,5,8,8,42.1,,,,,,2008
FRA-Ligue 1,2007,Auxerre,Rémy Riou,FRA,GK,19,1987,19,19,1710,19.0,29,1.53,94,65,69.1,6,3,10,6,31.6,,,,,,2008
FRA-Ligue 1,2007,Bordeaux,Mathieu Valverde,FRA,GK,24,1983,5,2,298,3.3,0,0.00,8,8,100.0,2,1,1,2,100.0,,,,,,2008
FRA-Ligue 1,2007,Bordeaux,Ulrich Ramé,FRA,GK,34,1972,36,36,3122,34.7,38,1.10,125,87,69.6,20,8,6,15,41.7,,,,,,2008
FRA-Ligue 1,2007,Caen,Alexis Thébaux,FRA,GK,22,1985,2,2,180,2.0,1,0.50,6,5,83.3,0,2,0,1,50.0,,,,,,2008
FRA-Ligue 1,2007,Caen,Benoît Costil,FRA,GK,20,1987,5,5,420,4.7,15,3.21,34,19,55.9,1,1,3,1,20.0,,,,,,2008
FRA-Ligue 1,2007,Caen,Vincent Planté,FRA,GK,26,1980,31,31,2790,31.0,37,1.19,152,115,75.7,12,9,10,11,35.5,,,,,,2008
FRA-Ligue 1,2007,Le Mans,Rodolphe Roche,FRA,GK,28,1979,9,7,687,7.6,10,1.31,32,22,68.8,3,1,3,2,28.6,,,,,,2008
FRA-Ligue 1,2007,Le Mans,Yohann Pelé,FRA,GK,24,1982,31,31,2733,30.4,39,1.28,135,96,71.1,11,10,10,10,32.3,,,,,,2008
FRA-Ligue 1,2007,Lens,Vedran Runje,CRO,GK,31,1976,38,38,3420,38.0,52,1.37,172,120,69.8,9,13,16,9,23.7,,,,,,2008
FRA-Ligue 1,2007,Lille,Grégory Malicki,FRA,GK,33,1973,8,8,720,8.0,5,0.62,21,16,76.2,2,6,0,3,37.5,,,,,,2008
FRA-Ligue 1,2007,Lille,Tony Sylva,SEN,GK,32,1975,30,30,2700,30.0,27,0.90,118,91,77.1,11,12,7,9,30.0,,,,,,2008
FRA-Ligue 1,2007,Lorient,Fabien Audard,FRA,GK,29,1978,38,38,3420,38.0,35,0.92,155,120,77.4,12,16,10,16,42.1,,,,,,2008
FRA-Ligue 1,2007,Lyon,Grégory Coupet,FRA,GK,34,1972,19,19,1710,19.0,21,1.11,71,50,70.4,12,4,3,6,31.6,,,,,,2008
FRA-Ligue 1,2007,Lyon,Rémy Vercoutre,FRA,GK,27,1980,19,19,1710,19.0,16,0.84,66,50,75.8,12,3,4,7,36.8,,,,,,2008
FRA-Ligue 1,2007,Marseille,Cédric Carrasso,FRA,GK,25,1981,4,4,360,4.0,4,1.00,17,13,76.5,0,3,1,1,25.0,,,,,,2008
FRA-Ligue 1,2007,Marseille,Steve Mandanda,FRA,GK,22,1985,34,34,3060,34.0,41,1.21,156,115,73.7,17,8,9,8,23.5,,,,,,2008
FRA-Ligue 1,2007,Metz,Christophe Marichez,FRA,GK,32,1974,36,36,3238,36.0,61,1.70,186,125,67.2,5,9,22,6,16.7,,,,,,2008
FRA-Ligue 1,2007,Metz,Pierre Ebéde,CMR,GK,27,1980,1,0,2,0.0,0,0.00,0,0,,0,0,0,0,,,,,,,2008
FRA-Ligue 1,2007,Metz,Richard Trivino,FRA,GK,30,1977,2,2,180,2.0,3,1.50,10,7,70.0,0,0,2,0,0.0,,,,,,2008
FRA-Ligue 1,2007,Monaco,Flavio Roma,ITA,GK,33,1974,29,29,2576,28.6,36,1.26,114,78,68.4,9,7,13,12,41.4,,,,,,2008
FRA-Ligue 1,2007,Monaco,Stéphane Ruffier,FRA,GK,20,1986,10,9,844,9.4,12,1.28,50,38,76.0,4,1,4,4,44.4,,,,,,2008
FRA-Ligue 1,2007,Nancy,Gennaro Bracigliano,FRA,GK,27,1980,38,38,3420,38.0,30,0.79,125,95,76.0,15,15,8,17,44.7,,,,,,2008
FRA-Ligue 1,2007,Nice,Hugo Lloris,FRA,GK,20,1986,30,30,2637,29.3,24,0.82,116,92,79.3,9,13,8,13,43.3,,,,,,2008
FRA-Ligue 1,2007,Nice,Lionel Letizi,FRA,GK,34,1973,10,8,783,8.7,6,0.69,40,34,85.0,4,3,1,3,37.5,,,,,,2008
FRA-Ligue 1,2007,Paris S-G,Mickaël Landreau,FRA,GK,28,1979,38,38,3420,38.0,45,1.18,164,119,72.6,10,13,15,13,34.2,,,,,,2008
FRA-Ligue 1,2007,Rennes,Patrice Luzi,FRA,GK,27,1980,19,19,1710,19.0,19,1.00,83,64,77.1,11,4,4,6,31.6,,,,,,2008
FRA-Ligue 1,2007,Rennes,Simon Pouplin,FRA,GK,22,1985,19,19,1710,19.0,25,1.32,89,64,71.9,5,6,8,6,31.6,,,,,,2008
FRA-Ligue 1,2007,Saint-Étienne,Jody Viviani,FRA,GK,25,1982,17,17,1524,16.9,12,0.71,63,51,81.0,8,6,3,8,47.1,,,,,,2008
FRA-Ligue 1,2007,Saint-Étienne,Jérémie Janot,FRA,GK,29,1977,22,21,1896,21.1,22,1.04,89,67,75.3,8,4,9,9,42.9,,,,,,2008
FRA-Ligue 1,2007,Sochaux,Teddy Richert,FRA,GK,32,1974,38,38,3420,38.0,43,1.13,161,118,73.3,10,14,14,12,31.6,,,,,,2008
FRA-Ligue 1,2007,Strasbourg,Nicolas Puydebois,FRA,GK,26,1981,1,0,45,0.5,1,2.00,3,2,66.7,0,0,1,0,,,,,,,2008
FRA-Ligue 1,2007,Strasbourg,Stéphane Cassard,FRA,GK,34,1972,38,38,3375,37.5,54,1.44,168,114,67.9,9,8,20,11,28.9,,,,,,2008
FRA-Ligue 1,2007,Toulouse,Nicolas Douchez,FRA,GK,27,1980,36,36,3197,35.5,40,1.13,167,127,76.0,8,15,13,11,30.6,,,,,,2008
FRA-Ligue 1,2007,Toulouse,Rudy Riou,FRA,GK,27,1980,3,2,223,2.5,2,0.81,13,11,84.6,1,0,1,1,50.0,,,,,,2008
FRA-Ligue 1,2007,Valenciennes,Nicolas Penneteau,FRA,GK,26,1981,37,37,3330,37.0,40,1.08,150,110,73.3,11,9,17,13,35.1,,,,,,2008
FRA-Ligue 1,2007,Valenciennes,Willy Grondin,FRA,GK,32,1974,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,,,,,,2008
FRA-Ligue 1,2008,Auxerre,Olivier Sorin,FRA,GK,27,1981,18,18,1620,18.0,14,0.78,54,40,74.1,11,2,5,9,50.0,,,,,,2009
FRA-Ligue 1,2008,Auxerre,Rémy Riou,FRA,GK,20,1987,20,20,1800,20.0,21,1.05,65,44,67.7,5,5,10,8,40.0,,,,,,2009
FRA-Ligue 1,2008,Bordeaux,Kévin Olimpa,FRA,GK,20,1988,1,0,46,0.5,0,0.00,2,2,100.0,1,0,0,1,,,,,,,2009
FRA-Ligue 1,2008,Bordeaux,Mathieu Valverde,FRA,GK,25,1983,15,12,1168,13.0,11,0.85,42,31,73.8,7,3,2,4,33.3,,,,,,2009
FRA-Ligue 1,2008,Bordeaux,Ulrich Ramé,FRA,GK,35,1972,26,26,2206,24.5,23,0.94,74,51,68.9,16,5,4,9,34.6,,,,,,2009
FRA-Ligue 1,2008,Caen,Alexis Thébaux,FRA,GK,23,1985,2,2,180,2.0,4,2.00,14,10,71.4,0,1,1,0,0.0,,,,,,2009
FRA-Ligue 1,2008,Caen,Vincent Planté,FRA,GK,27,1980,36,36,3240,36.0,45,1.25,158,113,71.5,8,12,16,6,16.7,,,,,,2009
FRA-Ligue 1,2008,Grenoble,Grégory Wimbée,FRA,GK,36,1971,37,37,3330,37.0,36,0.97,151,115,76.2,9,14,14,15,40.5,,,,,,2009
FRA-Ligue 1,2008,Grenoble,Ronan Le Crom,FRA,GK,34,1974,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,,,,,,2009
FRA-Ligue 1,2008,Le Havre,Christophe Revault,FRA,GK,36,1972,33,33,2970,33.0,60,1.82,180,120,66.7,6,3,24,5,15.2,,,,,,2009
FRA-Ligue 1,2008,Le Havre,Johny Placide,HAI,GK,20,1988,4,4,360,4.0,7,1.75,15,8,53.3,1,1,2,0,0.0,,,,,,2009
FRA-Ligue 1,2008,Le Havre,Mike Vanhamel,BEL,GK,18,1989,1,1,90,1.0,0,0.00,7,7,100.0,0,1,0,1,100.0,,,,,,2009
FRA-Ligue 1,2008,Le Mans,Rodolphe Roche,FRA,GK,29,1979,6,6,540,6.0,6,1.00,17,11,64.7,2,1,3,2,33.3,,,,,,2009
FRA-Ligue 1,2008,Le Mans,Yohann Pelé,FRA,GK,25,1982,32,32,2880,32.0,48,1.50,133,85,63.9,8,9,15,7,21.9,,,,,,2009
FRA-Ligue 1,2008,Lille,Grégory Malicki,FRA,GK,34,1973,34,34,3060,34.0,36,1.06,128,92,71.9,15,11,8,13,38.2,,,,,,2009
FRA-Ligue 1,2008,Lille,Ludovic Butelle,FRA,GK,25,1983,4,4,360,4.0,3,0.75,14,11,78.6,2,2,0,2,50.0,,,,,,2009
FRA-Ligue 1,2008,Lorient,Alban Joinel,,GK,28,1979,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,,,,,,2009
FRA-Ligue 1,2008,Lorient,Fabien Audard,FRA,GK,30,1978,28,28,2410,26.8,33,1.23,114,81,71.1,6,10,10,4,14.3,,,,,,2009
FRA-Ligue 1,2008,Lorient,Lionel Cappone,FRA,GK,29,1979,11,9,920,10.2,13,1.27,35,22,62.9,4,5,2,2,22.2,,,,,,2009
FRA-Ligue 1,2008,Lyon,Hugo Lloris,FRA,GK,21,1986,35,35,3150,35.0,27,0.77,112,85,75.9,19,10,6,16,45.7,,,,,,2009
FRA-Ligue 1,2008,Lyon,Rémy Vercoutre,FRA,GK,28,1980,3,3,270,3.0,2,0.67,11,9,81.8,1,1,1,2,66.7,,,,,,2009
FRA-Ligue 1,2008,Marseille,Rudy Riou,FRA,GK,28,1980,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,,,,,,2009
FRA-Ligue 1,2008,Marseille,Steve Mandanda,FRA,GK,23,1985,38,38,3375,37.5,35,0.93,147,112,76.2,22,11,5,17,44.7,,,,,,2009
FRA-Ligue 1,2008,Monaco,Flavio Roma,ITA,GK,34,1974,4,4,306,3.4,3,0.88,13,10,76.9,2,1,1,1,25.0,,,,,,2009
FRA-Ligue 1,2008,Monaco,Stéphane Ruffier,FRA,GK,21,1986,32,32,2880,32.0,39,1.22,146,107,73.3,9,9,14,9,28.1,,,,,,2009
FRA-Ligue 1,2008,Monaco,Yohann Thuram-Ulien,FRA,GK,19,1988,3,2,234,2.6,3,1.15,9,6,66.7,0,2,0,1,50.0,,,,,,2009
FRA-Ligue 1,2008,Nancy,Damien Gregorini,FRA,GK,29,1979,11,10,935,10.4,10,0.96,35,25,71.4,3,3,4,4,40.0,,,,,,2009
FRA-Ligue 1,2008,Nancy,Gennaro Bracigliano,FRA,GK,28,1980,28,28,2486,27.6,37,1.34,123,86,69.9,7,9,12,8,28.6,,,,,,2009
FRA-Ligue 1,2008,Nantes,Guy N'dy Assembé,CMR,GK,22,1986,6,4,412,4.6,4,0.87,11,7,63.6,2,1,1,1,25.0,,,,,,2009
FRA-Ligue 1,2008,Nantes,Jérôme Alonzo,FRA,GK,35,1972,27,27,2372,26.4,38,1.44,112,74,66.1,7,6,14,5,18.5,,,,,,2009
FRA-Ligue 1,2008,Nantes,Tony Heurtebis,FRA,GK,33,1975,8,7,636,7.1,12,1.70,40,28,70.0,0,3,4,1,14.3,,,,,,2009
FRA-Ligue 1,2008,Nice,David Ospina,COL,GK,19,1988,25,25,2250,25.0,30,1.20,116,86,74.1,6,8,11,6,24.0,,,,,,2009
FRA-Ligue 1,2008,Nice,Lionel Letizi,FRA,GK,35,1973,13,13,1170,13.0,11,0.85,46,35,76.1,7,3,3,5,38.5,,,,,,2009
FRA-Ligue 1,2008,Paris S-G,Mickaël Landreau,FRA,GK,29,1979,38,38,3420,38.0,38,1.00,155,117,75.5,19,7,12,13,34.2,,,,,,2009
FRA-Ligue 1,2008,Rennes,Cheick N'Diaye,SEN,GK,23,1985,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,,,,,,2009
FRA-Ligue 1,2008,Rennes,Nicolas Douchez,FRA,GK,28,1980,37,37,3330,37.0,31,0.84,151,120,79.5,15,16,6,18,48.6,,,,,,2009
FRA-Ligue 1,2008,Saint-Étienne,Abdoulaye Coulibaly,SEN,GK,20,1988,1,0,27,0.3,1,3.33,3,2,66.7,1,0,0,0,,,,,,,2009
FRA-Ligue 1,2008,Saint-Étienne,Jody Viviani,FRA,GK,26,1982,12,12,1080,12.0,17,1.42,58,41,70.7,3,1,8,2,16.7,,,,,,2009
FRA-Ligue 1,2008,Saint-Étienne,Jérémie Janot,FRA,GK,30,1977,26,26,2313,25.7,38,1.48,123,85,69.1,7,6,12,4,15.4,,,,,,2009
FRA-Ligue 1,2008,Sochaux,Jérémy Gavanon,FRA,GK,24,1983,5,4,397,4.4,6,1.36,17,11,64.7,2,0,2,1,25.0,,,,,,2009
FRA-Ligue 1,2008,Sochaux,Matthieu Dreyer,FRA,GK,19,1989,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,,,,,,2009
FRA-Ligue 1,2008,Sochaux,Teddy Richert,FRA,GK,33,1974,33,33,2933,32.6,42,1.29,148,106,71.6,7,12,14,5,15.2,,,,,,2009
FRA-Ligue 1,2008,Toulouse,Cédric Carrasso,FRA,GK,26,1981,37,37,3330,37.0,26,0.70,125,99,79.2,15,16,6,19,51.4,,,,,,2009
FRA-Ligue 1,2008,Toulouse,Olivier Blondel,FRA,GK,29,1979,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,,,,,,2009
FRA-Ligue 1,2008,Valenciennes,Nicolas Penneteau,FRA,GK,27,1981,37,37,3330,37.0,41,1.11,164,123,75.0,10,14,13,13,35.1,,,,,,2009
FRA-Ligue 1,2008,Valenciennes,Willy Grondin,FRA,GK,33,1974,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,,,,,,2009
FRA-Ligue 1,2009,Auxerre,Olivier Sorin,FRA,GK,28,1981,35,35,3150,35.0,29,0.83,122,93,76.2,18,10,7,17,48.6,,,,,,2010
FRA-Ligue 1,2009,Auxerre,Rémy Riou,FRA,GK,21,1987,3,3,270,3.0,0,0.00,8,8,100.0,2,1,0,3,100.0,,,,,,2010
FRA-Ligue 1,2009,Bordeaux,Cédric Carrasso,FRA,GK,27,1981,29,29,2578,28.6,29,1.01,100,71,71.0,16,4,9,12,41.4,,,,,,2010
FRA-Ligue 1,2009,Bordeaux,Ulrich Ramé,FRA,GK,36,1972,10,9,782,8.7,11,1.27,33,22,66.7,3,3,3,3,33.3,,,,,,2010
FRA-Ligue 1,2009,Boulogne,Florian Bague,FRA,GK,25,1984,1,1,90,1.0,0,0.00,5,5,100.0,1,0,0,1,100.0,,,,,,2010
FRA-Ligue 1,2009,Boulogne,Ibrahim Koné,GUI,GK,19,1989,3,3,270,3.0,10,3.33,24,14,58.3,0,0,3,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Boulogne,Jean-François Bédénik,FRA,GK,30,1978,25,25,2250,25.0,40,1.60,129,89,69.0,4,7,14,6,24.0,,,,,,2010
FRA-Ligue 1,2009,Boulogne,Mathieu Valverde,FRA,GK,26,1983,9,9,810,9.0,12,1.33,41,29,70.7,2,3,4,4,44.4,,,,,,2010
FRA-Ligue 1,2009,Grenoble,Brice Maubleu,FRA,GK,19,1989,2,2,180,2.0,4,2.00,15,11,73.3,0,0,2,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Grenoble,Jody Viviani,FRA,GK,27,1982,21,21,1880,20.9,34,1.63,86,52,60.5,3,4,14,4,19.0,,,,,,2010
FRA-Ligue 1,2009,Grenoble,Ronan Le Crom,FRA,GK,35,1974,16,15,1360,15.1,23,1.52,78,55,70.5,2,4,9,4,26.7,,,,,,2010
FRA-Ligue 1,2009,Le Mans,Didier Ovono,GAB,GK,26,1983,32,32,2880,32.0,46,1.44,156,110,70.5,8,6,18,5,15.6,,,,,,2010
FRA-Ligue 1,2009,Le Mans,Giorgi Makaridze,GEO,GK,19,1990,2,2,180,2.0,3,1.50,10,7,70.0,0,1,1,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Le Mans,Rodolphe Roche,FRA,GK,30,1979,4,4,360,4.0,10,2.50,22,12,54.5,0,1,3,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Lens,Hamdi Kasraoui,TUN,GK,26,1983,6,6,540,6.0,6,1.00,25,19,76.0,2,4,0,2,33.3,,,,,,2010
FRA-Ligue 1,2009,Lens,Vedran Runje,CRO,GK,33,1976,32,32,2880,32.0,38,1.19,136,98,72.1,10,8,14,8,25.0,,,,,,2010
FRA-Ligue 1,2009,Lille,Ludovic Butelle,FRA,GK,26,1983,10,10,900,10.0,14,1.40,39,25,64.1,2,4,4,2,20.0,,,,,,2010
FRA-Ligue 1,2009,Lille,Mickaël Landreau,FRA,GK,30,1979,28,28,2520,28.0,26,0.93,94,68,72.3,19,3,6,11,39.3,,,,,,2010
FRA-Ligue 1,2009,Lorient,Fabien Audard,FRA,GK,31,1978,35,35,3146,35.0,39,1.12,166,127,76.5,15,9,11,11,31.4,,,,,,2010
FRA-Ligue 1,2009,Lorient,Lionel Cappone,FRA,GK,30,1979,3,3,270,3.0,3,1.00,19,16,84.2,1,1,1,1,33.3,,,,,,2010
FRA-Ligue 1,2009,Lyon,Hugo Lloris,FRA,GK,22,1986,36,36,3240,36.0,33,0.92,151,118,78.1,19,12,5,16,44.4,,,,,,2010
FRA-Ligue 1,2009,Lyon,Rémy Vercoutre,FRA,GK,29,1980,2,2,180,2.0,5,2.50,12,7,58.3,1,0,1,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Marseille,Elinton Andrade,BRA,GK,30,1979,3,2,245,2.7,1,0.37,11,10,90.9,2,0,1,1,50.0,,,,,,2010
FRA-Ligue 1,2009,Marseille,Steve Mandanda,FRA,GK,24,1985,36,36,3175,35.3,35,0.99,114,79,69.3,21,9,5,13,36.1,,,,,,2010
FRA-Ligue 1,2009,Monaco,Stéphane Ruffier,FRA,GK,22,1986,37,37,3330,37.0,44,1.19,170,126,74.1,15,9,13,15,40.5,,,,,,2010
FRA-Ligue 1,2009,Monaco,Yohann Thuram-Ulien,FRA,GK,20,1988,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Montpellier,Geoffrey Jourdren,FRA,GK,23,1986,38,38,3420,38.0,40,1.05,123,83,67.5,20,9,9,14,36.8,,,,,,2010
FRA-Ligue 1,2009,Nancy,Damien Gregorini,FRA,GK,30,1979,6,6,540,6.0,10,1.67,30,20,66.7,3,0,3,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Nancy,Gennaro Bracigliano,FRA,GK,29,1980,32,32,2880,32.0,43,1.34,138,95,68.8,10,9,13,10,31.3,,,,,,2010
FRA-Ligue 1,2009,Nice,David Ospina,COL,GK,20,1988,37,37,3274,36.4,55,1.51,182,127,69.8,11,10,16,10,27.0,,,,,,2010
FRA-Ligue 1,2009,Nice,Lionel Letizi,FRA,GK,36,1973,2,1,146,1.6,2,1.23,10,8,80.0,0,1,0,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Paris S-G,Apoula Edel,ARM,GK,23,1986,23,22,1986,22.1,25,1.13,82,57,69.5,7,7,8,6,27.3,,,,,,2010
FRA-Ligue 1,2009,Paris S-G,Grégory Coupet,FRA,GK,36,1972,16,16,1434,15.9,21,1.32,68,47,69.1,5,4,7,2,12.5,,,,,,2010
FRA-Ligue 1,2009,Rennes,Abdoulaye Diallo,SEN,GK,17,1992,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Rennes,Nicolas Douchez,FRA,GK,29,1980,37,37,3330,37.0,40,1.08,145,105,72.4,14,10,13,12,32.4,,,,,,2010
FRA-Ligue 1,2009,Saint-Étienne,Jérémie Janot,FRA,GK,31,1977,38,38,3420,38.0,45,1.18,187,142,75.9,10,10,18,12,31.6,,,,,,2010
FRA-Ligue 1,2009,Sochaux,Matthieu Dreyer,FRA,GK,20,1989,8,7,685,7.6,14,1.84,45,31,68.9,0,3,5,2,28.6,,,,,,2010
FRA-Ligue 1,2009,Sochaux,Teddy Richert,FRA,GK,34,1974,31,31,2735,30.4,38,1.25,149,111,74.5,11,5,14,12,38.7,,,,,,2010
FRA-Ligue 1,2009,Toulouse,Anthony Loustallot,FRA,GK,17,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,,,,,,2010
FRA-Ligue 1,2009,Toulouse,Marc Vidal,FRA,GK,18,1991,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Toulouse,Mathieu Valverde,FRA,GK,26,1983,8,7,675,7.5,8,1.07,26,18,69.2,0,0,0,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Toulouse,Olivier Blondel,FRA,GK,30,1979,13,11,1072,11.9,15,1.26,54,39,72.2,2,4,6,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Toulouse,Yohann Pelé,FRA,GK,26,1982,18,18,1492,16.6,13,0.78,64,51,79.7,7,3,7,9,50.0,,,,,,2010
FRA-Ligue 1,2009,Valenciennes,Grégory Wimbée,FRA,GK,37,1971,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Valenciennes,Guy N'dy Assembé,CMR,GK,23,1986,17,17,1530,17.0,22,1.29,82,60,73.2,8,4,5,7,41.2,,,,,,2010
FRA-Ligue 1,2009,Valenciennes,Jean-Louis Leca,FRA,GK,23,1985,1,1,90,1.0,1,1.00,8,7,87.5,0,0,1,0,0.0,,,,,,2010
FRA-Ligue 1,2009,Valenciennes,Nicolas Penneteau,FRA,GK,28,1981,19,19,1710,19.0,24,1.26,85,61,71.8,6,6,7,6,31.6,,,,,,2010
FRA-Ligue 1,2010,Arles-Avignon,Cyrille Merville,FRA,GK,28,1982,19,19,1681,18.7,33,1.77,84,51,60.7,1,6,11,5,26.3,,,,,,2011
FRA-Ligue 1,2010,Arles-Avignon,Naby Yattara,GUI,GK,26,1984,2,2,180,2.0,3,1.50,10,7,70.0,1,0,1,0,0.0,,,,,,2011
FRA-Ligue 1,2010,Arles-Avignon,Vincent Planté,FRA,GK,29,1980,18,17,1559,17.3,34,1.96,88,54,61.4,1,5,12,3,17.6,,,,,,2011
FRA-Ligue 1,2010,Auxerre,Olivier Sorin,FRA,GK,29,1981,38,38,3420,38.0,41,1.08,136,95,69.9,10,19,9,8,21.1,,,,,,2011
FRA-Ligue 1,2010,Bordeaux,Cédric Carrasso,FRA,GK,28,1981,35,34,3096,34.4,40,1.16,126,86,68.3,11,11,13,14,41.2,,,,,,2011
FRA-Ligue 1,2010,Bordeaux,Kévin Olimpa,FRA,GK,22,1988,2,2,180,2.0,3,1.50,8,5,62.5,0,0,2,0,0.0,,,,,,2011
FRA-Ligue 1,2010,Bordeaux,Ulrich Ramé,FRA,GK,37,1972,3,2,145,1.6,0,0.00,4,4,100.0,1,0,0,1,50.0,,,,,,2011
FRA-Ligue 1,2010,Brest,Steeve Elana,GUI,GK,30,1980,38,38,3420,38.0,43,1.13,152,109,71.7,11,13,14,15,39.5,,,,,,2011
FRA-Ligue 1,2010,Caen,Alexis Thébaux,FRA,GK,25,1985,35,35,3150,35.0,46,1.31,155,109,70.3,10,13,12,11,31.4,,,,,,2011
FRA-Ligue 1,2010,Caen,Thomas Bosmel,FRA,GK,22,1988,3,3,270,3.0,5,1.67,13,8,61.5,1,0,2,1,33.3,,,,,,2011
FRA-Ligue 1,2010,Lens,Hamdi Kasraoui,TUN,GK,27,1983,7,6,550,6.1,9,1.47,30,21,70.0,1,2,3,1,16.7,,,,,,2011
FRA-Ligue 1,2010,Lens,Vedran Runje,CRO,GK,34,1976,32,32,2870,31.9,49,1.54,131,82,62.6,6,12,14,7,21.9,,,,,,2011
FRA-Ligue 1,2010,Lille,Mickaël Landreau,FRA,GK,31,1979,38,38,3420,38.0,36,0.95,142,106,74.6,21,13,4,11,28.9,,,,,,2011
FRA-Ligue 1,2010,Lorient,Benjamin Lecomte,FRA,GK,19,1991,2,0,55,0.6,1,1.64,3,2,66.7,0,0,1,0,,,,,,,2011
FRA-Ligue 1,2010,Lorient,Fabien Audard,FRA,GK,32,1978,29,29,2531,28.1,31,1.10,104,73,70.2,10,11,6,11,37.9,,,,,,2011
FRA-Ligue 1,2010,Lorient,Lionel Cappone,FRA,GK,31,1979,11,9,834,9.3,16,1.73,48,32,66.7,2,2,6,2,22.2,,,,,,2011
