league,season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
FRA-Ligue 1,2017,Lyon,Bertrand Traoré,BFA,FW,21,1995,25.4,93,3.66,59,0,13,14,7,0,14,0.55,9,0,1,1,3,0,2018
FRA-Ligue 1,2017,Lyon,Christopher Martins,LUX,MF,20,1997,0.8,2,2.61,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Clément Grenier,FRA,FW,26,1991,0.1,1,18.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Ferland Mendy,FRA,DF,22,1995,23.6,68,2.88,50,0,8,5,5,0,15,0.64,10,0,1,3,1,0,2018
FRA-Ligue 1,2017,Lyon,Fernando Marçal,BRA,DF,28,1989,14.4,32,2.23,26,2,1,0,2,1,5,0.35,5,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Houssem Aouar,ALG,"MF,FW",19,1998,27.0,97,3.59,71,0,9,5,8,4,15,0.55,12,0,1,1,0,1,2018
FRA-Ligue 1,2017,Lyon,Jordan Ferri,FRA,MF,25,1992,7.1,26,3.66,22,1,2,0,0,1,4,0.56,4,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Jérémy Morel,MAD,DF,33,1984,32.4,13,0.40,11,2,0,0,0,0,1,0.03,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Kenny Tete,NED,DF,21,1995,17.9,30,1.68,27,1,0,0,2,0,5,0.28,4,0,0,0,1,0,2018
FRA-Ligue 1,2017,Lyon,Lucas Tousart,FRA,MF,20,1997,34.8,46,1.32,38,0,3,3,0,2,7,0.20,7,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Mapou Yanga-Mbiwa,FRA,DF,28,1989,1.4,2,1.41,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Marcelo,BRA,DF,30,1987,34.5,24,0.70,19,2,0,2,0,1,3,0.09,3,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Mariano,DOM,FW,23,1993,27.9,67,2.41,43,1,9,10,2,2,11,0.39,6,0,3,1,1,0,2018
FRA-Ligue 1,2017,Lyon,Mathieu Gorgelin,FRA,GK,26,1990,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Maxwel Cornet,CIV,FW,20,1996,14.1,48,3.40,33,4,2,5,4,0,7,0.50,6,0,1,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Memphis,NED,FW,23,1994,28.4,143,5.04,74,31,15,12,8,3,18,0.63,9,3,1,2,1,2,2018
FRA-Ligue 1,2017,Lyon,Mouctar Diakhaby,GUI,DF,20,1996,8.1,1,0.12,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Myziane Maolida,FRA,"FW,MF",18,1999,3.7,20,5.44,15,0,3,2,0,0,2,0.54,1,0,0,1,0,0,2018
FRA-Ligue 1,2017,Lyon,Nabil Fekir,FRA,"MF,FW",24,1993,27.5,150,5.45,69,26,20,9,21,5,26,0.94,14,2,5,1,3,1,2018
FRA-Ligue 1,2017,Lyon,Pape Cheikh Diop,SEN,MF,19,1997,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Rafael,BRA,DF,27,1990,20.1,48,2.38,34,3,7,2,1,1,4,0.20,4,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Sergi Darder,ESP,MF,23,1993,2.3,3,1.29,1,0,0,0,0,2,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Lyon,Tanguy Ndombele,FRA,MF,20,1996,26.1,109,4.17,77,0,15,0,11,6,12,0.46,9,0,1,0,1,1,2018
FRA-Ligue 1,2017,Lyon,Willem Geubbels,FRA,"FW,MF",15,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Adil Rami,FRA,DF,31,1985,32.8,29,0.88,26,1,1,1,0,0,7,0.21,5,1,1,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Andre-Frank Zambo Anguissa,CMR,MF,21,1995,27.1,73,2.69,50,0,6,6,8,3,5,0.18,4,0,0,1,0,0,2018
FRA-Ligue 1,2017,Marseille,Aymen Abdennour,TUN,DF,27,1989,5.5,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Boubacar Kamara,FRA,"DF,MF",17,1999,5.1,3,0.59,2,0,1,0,0,0,2,0.40,1,0,1,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Bouna Sarr,SEN,"DF,FW",25,1992,19.9,67,3.37,46,10,3,5,2,1,6,0.30,4,0,1,0,1,0,2018
FRA-Ligue 1,2017,Marseille,Clinton N'Jie,CMR,FW,23,1993,9.7,30,3.09,19,1,8,1,0,1,8,0.82,4,0,4,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Dimitri Payet,FRA,"MF,FW",30,1987,26.1,209,8.01,119,56,14,4,14,2,24,0.92,14,4,2,0,3,1,2018
FRA-Ligue 1,2017,Marseille,Dória,BRA,DF,22,1994,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Florian Thauvin,FRA,FW,24,1993,32.8,195,5.95,120,11,36,14,13,1,27,0.82,14,1,4,5,2,1,2018
FRA-Ligue 1,2017,Marseille,Grégory Sertic,FRA,"DF,MF",27,1989,3.9,5,1.29,2,0,1,1,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Henri Bedimo,CMR,"DF,FW",33,1984,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Hiroki Sakai,JPN,DF,27,1990,28.0,42,1.50,34,7,1,0,0,0,2,0.07,2,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Jordan Amavi,FRA,DF,23,1994,24.4,53,2.18,35,4,7,5,2,0,8,0.33,6,1,0,1,0,0,2018
FRA-Ligue 1,2017,Marseille,Kostas Mitroglou,GRE,FW,29,1988,9.7,26,2.67,19,1,1,5,0,0,4,0.41,3,0,0,1,0,0,2018
FRA-Ligue 1,2017,Marseille,Lucas Ocampos,ARG,FW,23,1994,22.6,71,3.14,44,1,10,7,7,2,9,0.40,7,0,0,2,0,0,2018
FRA-Ligue 1,2017,Marseille,Luiz Gustavo,BRA,"MF,DF",30,1987,33.5,62,1.85,50,0,3,4,2,3,9,0.27,6,0,0,2,0,1,2018
FRA-Ligue 1,2017,Marseille,Maxime Lopez,FRA,"MF,FW",19,1997,15.3,72,4.71,62,6,1,1,2,0,3,0.20,3,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Morgan Sanson,FRA,MF,22,1994,24.1,80,3.32,58,1,6,8,7,0,9,0.37,6,0,2,1,0,0,2018
FRA-Ligue 1,2017,Marseille,Patrice Evra,FRA,DF,36,1981,3.9,4,1.03,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Rolando,POR,DF,31,1985,27.9,15,0.54,12,0,1,2,0,0,3,0.11,3,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Rémy Cabella,FRA,"FW,MF",27,1990,0.7,2,2.81,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Steve Mandanda,FRA,GK,32,1985,30.0,5,0.17,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Tomáš Hubočan,SVK,DF,31,1985,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Valère Germain,FRA,FW,27,1990,24.1,57,2.37,43,0,0,12,2,0,10,0.42,6,0,0,3,1,0,2018
FRA-Ligue 1,2017,Marseille,Yohann Pelé,FRA,GK,34,1982,8.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Marseille,Yusuf Sari,TUR,FW,18,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Ablie Jallow,GAM,FW,18,1998,1.4,4,2.79,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Benoît Assou-Ekotto,CMR,DF,33,1984,11.7,14,1.20,9,3,1,0,0,1,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Brian Fernández,ARG,FW,22,1994,1.4,8,5.63,2,2,2,1,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Cafú,POR,MF,24,1993,7.6,9,1.19,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Chris Philipps,LUX,"MF,DF",23,1994,9.4,16,1.70,13,0,0,1,1,1,1,0.11,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Danijel Milićević,BIH,"MF,FW",31,1986,7.9,39,4.93,21,13,0,1,3,1,6,0.76,3,1,0,0,1,1,2018
FRA-Ligue 1,2017,Metz,Dylan Lempereur,FRA,DF,18,1998,1.6,1,0.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Eiji Kawashima,JPN,GK,34,1983,28.5,3,0.11,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Emmanuel Rivière,FRA,FW,27,1990,22.3,49,2.20,39,0,3,5,2,0,4,0.18,3,0,0,1,0,0,2018
FRA-Ligue 1,2017,Metz,Fallou Diagne,SEN,"DF,MF",27,1989,24.9,24,0.97,19,1,0,1,1,2,4,0.16,3,0,0,1,0,0,2018
FRA-Ligue 1,2017,Metz,Farid Boulaya,ALG,"MF,FW",24,1993,2.0,4,2.01,2,1,0,1,0,0,1,0.50,0,1,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Florent Mollet,FRA,"MF,FW",25,1991,15.7,48,3.06,26,9,6,3,4,0,5,0.32,3,0,1,1,0,0,2018
FRA-Ligue 1,2017,Metz,Gauthier Hein,FRA,FW,20,1996,0.9,1,1.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Georges Mandjeck,CMR,"MF,DF",28,1988,10.8,12,1.12,7,0,0,1,1,3,1,0.09,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Gerónimo Poblete,ARG,MF,24,1993,18.4,23,1.25,19,0,1,1,1,1,1,0.05,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Habib Diallo,SEN,"FW,MF",22,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Ibrahima Niane,SEN,"FW,MF",18,1999,9.4,32,3.39,16,0,6,5,4,1,3,0.32,2,0,1,0,0,0,2018
FRA-Ligue 1,2017,Metz,Iván Balliu,ALB,DF,25,1992,21.7,38,1.75,30,3,2,0,3,0,3,0.14,3,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Jonathan Rivierez,MTQ,DF,28,1989,22.9,37,1.61,21,8,5,0,2,1,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Julian Palmieri,FRA,DF,30,1986,12.5,18,1.44,16,1,0,1,0,0,1,0.08,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Lemouya Goudiaby,SEN,DF,20,1997,0.9,2,2.14,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Lilian Fournier,FRA,FW,19,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Mathieu Dossevi,TOG,"FW,MF",29,1988,27.9,134,4.81,83,28,15,3,4,1,14,0.50,10,2,1,0,0,1,2018
FRA-Ligue 1,2017,Metz,Matthieu Udol,FRA,DF,21,1996,3.9,3,0.76,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Milan Biševac,SRB,DF,33,1983,7.9,8,1.01,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Moussa Niakhate,SEN,DF,21,1996,34.5,16,0.46,13,1,0,0,1,1,1,0.03,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Nicolas Basin,FRA,DF,19,1998,3.5,6,1.72,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Nolan Roux,FRA,"FW,MF",29,1988,31.5,57,1.81,39,0,3,9,4,2,5,0.16,4,0,0,0,0,1,2018
FRA-Ligue 1,2017,Metz,Opa Nguette,SEN,"FW,MF",23,1994,11.4,39,3.44,19,0,10,1,5,4,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Quentin Beunardeau,FRA,GK,23,1994,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Renaud Cohade,FRA,MF,32,1984,36.6,102,2.78,82,4,8,3,0,5,7,0.19,7,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Simon Falette,GUI,DF,25,1992,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Thomas Didillon,FRA,GK,21,1995,9.0,2,0.22,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Vahid Selimović,LUX,DF,20,1997,11.7,3,0.26,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Vincent Thill,LUX,MF,17,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Metz,Yann Jouffre,FRA,"FW,MF",33,1984,3.1,10,3.27,6,3,1,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Adama Diakhaby,FRA,FW,21,1996,9.4,16,1.69,9,0,2,0,4,1,4,0.42,3,0,0,0,1,0,2018
FRA-Ligue 1,2017,Monaco,Adama Traoré,MLI,"MF,FW",22,1995,2.1,9,4.29,7,0,1,0,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Allan Saint-Maximin,FRA,MF,20,1997,0.2,2,11.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Almamy Touré,MLI,DF,21,1996,13.9,32,2.31,27,2,3,0,0,0,9,0.65,7,0,2,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Andrea Raggi,ITA,DF,33,1984,17.9,6,0.34,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Danijel Subašić,CRO,GK,32,1984,32.7,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Diego Benaglio,SUI,GK,33,1983,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Djibril Sidibé,FRA,DF,25,1992,23.9,67,2.80,55,2,2,3,3,2,8,0.33,8,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Fabinho,BRA,MF,23,1993,34.0,92,2.71,67,0,10,1,9,5,18,0.53,11,0,4,0,2,1,2018
FRA-Ligue 1,2017,Monaco,Gabriel Boschilia,BRA,"FW,MF",21,1996,0.9,3,3.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Gil Bastião Dias,POR,MF,20,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Guido Carrillo,ARG,FW,26,1991,4.7,8,1.69,4,0,1,1,2,0,2,0.42,1,0,0,0,1,0,2018
FRA-Ligue 1,2017,Monaco,Jemerson,BRA,DF,24,1992,31.7,9,0.28,6,1,0,2,0,0,1,0.03,0,0,0,1,0,0,2018
FRA-Ligue 1,2017,Monaco,Jordi Mboula,ESP,MF,18,1999,0.3,1,2.90,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Jorge,BRA,DF,21,1996,21.3,33,1.55,20,3,1,0,6,3,4,0.19,1,0,0,0,3,0,2018
FRA-Ligue 1,2017,Monaco,João Moutinho,POR,MF,30,1986,31.1,101,3.24,68,29,1,1,2,0,13,0.42,7,6,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Julien Serrano,FRA,DF,19,1998,3.1,8,2.57,5,1,0,1,0,1,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Kamil Glik,POL,DF,29,1988,36.0,15,0.42,9,1,1,3,1,0,5,0.14,3,0,0,2,0,0,2018
FRA-Ligue 1,2017,Monaco,Keita Baldé,SEN,"FW,MF",22,1995,16.4,42,2.57,25,0,11,3,3,0,10,0.61,5,0,4,1,0,0,2018
FRA-Ligue 1,2017,Monaco,Kylian Mbappé,FRA,"FW,MF",18,1998,0.8,3,3.65,2,0,0,0,1,0,1,1.22,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Kévin N'Doram,FRA,"MF,DF",21,1996,8.0,6,0.75,6,0,0,0,0,0,1,0.12,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Moussa Sylla,FRA,FW,17,1999,3.4,8,2.37,5,0,1,1,1,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Pietro Pellegri,ITA,FW,16,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Rachid Ghezzal,ALG,"FW,MF",25,1992,11.2,47,4.20,26,5,8,3,5,0,9,0.81,7,0,1,1,0,0,2018
FRA-Ligue 1,2017,Monaco,Radamel Falcao,COL,FW,31,1986,23.7,46,1.94,28,0,5,7,6,0,9,0.38,4,0,2,3,0,0,2018
FRA-Ligue 1,2017,Monaco,Rony Lopes,POR,"FW,MF",21,1995,28.1,82,2.91,54,1,9,9,7,2,13,0.46,7,0,1,3,2,0,2018
FRA-Ligue 1,2017,Monaco,Seydou Sy,SEN,GK,21,1995,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Soualiho Meïté,FRA,MF,23,1994,1.1,1,0.94,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Stevan Jovetić,MNE,FW,27,1989,8.4,28,3.35,16,0,2,5,3,2,6,0.72,3,0,0,3,0,0,2018
FRA-Ligue 1,2017,Monaco,Terence Kongolo,NED,DF,23,1994,2.9,4,1.40,4,0,0,0,0,0,2,0.70,2,0,0,0,0,0,2018
FRA-Ligue 1,2017,Monaco,Thomas Lemar,FRA,"MF,FW",21,1995,26.4,107,4.05,56,30,10,4,7,0,16,0.61,7,3,4,0,2,0,2018
FRA-Ligue 1,2017,Monaco,Youri Tielemans,BEL,MF,20,1997,17.4,58,3.33,38,3,6,5,5,1,7,0.40,4,0,1,2,0,0,2018
FRA-Ligue 1,2017,Montpellier,Ambroise Oyongo,CMR,DF,26,1991,2.2,5,2.24,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Benjamin Lecomte,FRA,GK,26,1991,38.0,3,0.08,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Casimir Ninga,CHA,"FW,MF",24,1993,14.3,34,2.38,27,0,4,3,0,0,3,0.21,3,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Daniel Congré,FRA,DF,32,1985,29.3,19,0.65,16,1,0,1,0,1,1,0.03,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Ellyes Skhiri,TUN,MF,22,1995,33.9,86,2.54,72,1,4,4,2,3,3,0.09,3,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Facundo Píriz,URU,MF,27,1990,9.0,8,0.89,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Giovanni Sio,CIV,FW,28,1989,24.4,54,2.22,43,1,5,2,3,0,6,0.25,5,0,0,1,0,0,2018
FRA-Ligue 1,2017,Montpellier,Isaac Mbenza,BEL,"FW,MF",21,1996,23.3,69,2.96,38,16,4,7,2,2,3,0.13,1,0,1,1,0,0,2018
FRA-Ligue 1,2017,Montpellier,Jonathan Ikone,FRA,"MF,FW",19,1998,11.1,38,3.43,22,3,9,1,3,0,2,0.18,2,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Junior Sambia,FRA,MF,20,1996,17.1,79,4.61,36,23,6,6,7,1,7,0.41,5,1,1,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Jérémie Porsan-Clémenté,FRA,DF,19,1997,1.0,1,1.01,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Jérôme Roussillon,FRA,DF,24,1993,20.9,64,3.06,40,5,14,1,4,0,9,0.43,6,0,1,1,1,0,2018
FRA-Ligue 1,2017,Montpellier,Keagan Dolly,RSA,"MF,FW",24,1993,9.8,55,5.62,27,17,5,4,1,1,3,0.31,3,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Kévin Bérigaud,FRA,"FW,MF",29,1988,3.0,12,3.99,12,0,0,0,0,0,2,0.66,2,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Morgan Poaty,CGO,DF,20,1997,1.9,2,1.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Nicolas Cozza,FRA,"DF,MF",18,1999,6.4,13,2.02,8,1,1,0,2,1,1,0.16,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Nordi Mukiele,FRA,DF,19,1997,31.0,70,2.26,57,5,2,1,2,3,2,0.06,2,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Paul Lasne,FRA,MF,28,1989,34.0,89,2.62,72,2,3,1,10,1,6,0.18,5,0,1,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Pedro Mendes,POR,DF,26,1990,31.7,18,0.57,9,1,2,2,3,1,2,0.06,1,0,0,1,0,0,2018
FRA-Ligue 1,2017,Montpellier,Ruben Aguilar,FRA,DF,24,1993,27.3,72,2.64,55,5,5,2,5,0,7,0.26,6,0,0,1,0,0,2018
FRA-Ligue 1,2017,Montpellier,Souleymane Camara,SEN,FW,34,1982,10.4,23,2.22,17,0,0,3,3,0,3,0.29,3,0,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Stéphane Sessègnon,BEN,"MF,FW",33,1984,10.9,34,3.11,22,6,2,1,3,0,3,0.27,2,1,0,0,0,0,2018
FRA-Ligue 1,2017,Montpellier,Vitorino Hilton,BRA,DF,39,1977,27.0,22,0.81,18,2,0,2,0,0,2,0.07,2,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Abdoulaye Touré,FRA,MF,23,1994,31.2,80,2.56,55,0,7,4,13,1,8,0.26,7,0,0,0,1,0,2018
FRA-Ligue 1,2017,Nantes,Adrien Thomasson,FRA,"MF,FW",23,1993,28.6,89,3.11,70,1,4,8,6,0,8,0.28,4,0,0,3,1,0,2018
FRA-Ligue 1,2017,Nantes,Alexander Kačaniklić,SWE,"MF,FW",25,1991,3.5,8,2.28,7,0,0,1,0,0,1,0.28,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Andrei Girotto,BRA,MF,25,1992,16.9,41,2.43,28,0,4,3,4,2,4,0.24,1,0,1,1,1,0,2018
FRA-Ligue 1,2017,Nantes,Anthony Walongwa,COD,DF,23,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Chidozie Awaziem,NGA,DF,20,1997,16.8,13,0.77,10,0,1,1,1,0,1,0.06,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Ciprian Tătărușanu,ROU,GK,31,1986,37.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,David Alcibiade,FRA,DF,25,1991,2.3,3,1.30,3,0,0,0,0,0,1,0.43,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Diego Carlos,BRA,DF,24,1993,25.5,19,0.75,13,0,1,3,0,2,1,0.04,0,0,0,1,0,0,2018
FRA-Ligue 1,2017,Nantes,Emiliano Sala,ARG,FW,26,1990,33.7,79,2.35,55,0,2,11,9,2,4,0.12,3,0,0,1,0,0,2018
FRA-Ligue 1,2017,Nantes,Enock Kwateng,FRA,DF,20,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Guillaume Gillet,BEL,MF,33,1984,0.2,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Joris Kayembe,BEL,"FW,MF",22,1994,1.0,4,4.04,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Jules Iloki,FRA,"MF,FW",25,1992,15.8,47,2.98,41,3,0,1,1,1,2,0.13,2,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Kalifa Coulibaly,MLI,FW,25,1991,3.8,10,2.64,8,0,1,0,1,0,1,0.26,1,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Koffi Djidji,CIV,DF,24,1992,26.8,21,0.78,13,3,3,0,0,2,2,0.07,2,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Kolbeinn Sigþórsson,ISL,FW,27,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Leo Dubois,FRA,DF,22,1994,33.6,116,3.46,66,31,7,8,3,1,9,0.27,4,2,1,1,1,0,2018
FRA-Ligue 1,2017,Nantes,Lucas Lima,BRA,"DF,FW",25,1991,29.5,103,3.49,47,42,6,6,1,1,3,0.10,2,1,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Mariusz Stępiński,POL,FW,22,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Maxime Dupé,FRA,GK,24,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Najib Gandi,FRA,"FW,MF",23,1994,1.1,2,1.87,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
FRA-Ligue 1,2017,Nantes,Nicolas Pallois,FRA,DF,29,1987,27.0,13,0.48,9,1,2,1,0,0,3,0.11,2,0,0,1,0,0,2018
