league,season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
ENG-Premier League,2017,Brighton,Anthony Knockaert,FRA,"MF,FW",25,1991,26.9,84,3.12,58,8,12,2,4,0,8,0.30,8,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Beram Kayal,ISR,MF,29,1988,8.3,16,1.93,12,0,1,1,1,1,1,0.12,1,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Bruno,ESP,DF,36,1980,22.4,37,1.65,28,4,3,0,2,0,2,0.09,2,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Connor Goldson,ENG,DF,24,1992,2.2,1,0.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Dale Stephens,ENG,MF,28,1989,36.0,47,1.31,43,0,0,3,0,1,3,0.08,2,0,0,1,0,0,2018
ENG-Premier League,2017,Brighton,Davy Pröpper,NED,MF,25,1991,34.7,64,1.85,48,0,6,5,3,2,7,0.20,6,0,1,0,0,0,2018
ENG-Premier League,2017,Brighton,Ezequiel Schelotto,ITA,DF,28,1989,14.6,21,1.43,14,2,1,2,1,1,1,0.07,1,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Gaëtan Bong,CMR,DF,29,1988,24.8,20,0.80,17,3,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Glenn Murray,ENG,FW,33,1983,24.4,43,1.76,32,0,2,3,5,1,4,0.16,2,0,0,0,2,0,2018
ENG-Premier League,2017,Brighton,Izzy Brown,ENG,"MF,FW",20,1997,3.5,12,3.48,9,0,1,0,2,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Jamie Murphy,SCO,MF,27,1989,1.9,3,1.61,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,José Izquierdo,COL,"MF,FW",25,1992,22.0,67,3.04,47,0,12,6,2,0,9,0.41,3,0,3,2,1,0,2018
ENG-Premier League,2017,Brighton,Jürgen Locadia,NED,"FW,MF",23,1993,2.5,4,1.61,3,0,0,0,1,0,1,0.40,1,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Leonardo Ulloa,ARG,FW,31,1986,3.0,10,3.37,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Lewis Dunk,ENG,DF,25,1991,38.0,32,0.84,21,0,1,6,2,2,3,0.08,1,0,0,1,1,0,2018
ENG-Premier League,2017,Brighton,Liam Rosenior,ENG,DF,33,1984,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Markus Suttner,AUT,DF,30,1987,13.1,17,1.30,13,3,0,1,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Brighton,Mathew Ryan,AUS,GK,25,1992,38.0,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
