playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,nextSeason
Adam Ounas,/adam-ounas/profil/spieler/400485,20,RW,Algeria,7000000,12000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,SSC Napoli,/ssc-neapel/startseite/verein/6195,out,2017,-5000000,26.0,1.72,left,ITA-Serie A,Napoli,ALG,FW,20.0,1996.0,7,0,96,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,3.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.19,0.29,0.48,0.19,0.48,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,22,CF,France,1000000,4000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-3000000,28.0,1.83,right,FRA-Ligue 1,Angers,FRA,FW,22.0,1995.0,15,12,1022,11.4,1,1,2,1,0,0,6,1,2.1,2.1,0.7,2.8,6.0,19.0,56.0,0.09,0.09,0.18,0.09,0.18,0.19,0.06,0.25,0.19,0.25,2018
Enzo Crivelli,/enzo-crivelli/profil/spieler/291110,22,CF,France,1000000,4000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-3000000,28.0,1.83,right,FRA-Ligue 1,Caen,FRA,FW,22.0,1995.0,11,9,725,8.1,2,0,2,2,0,0,2,0,1.6,1.6,0.2,1.8,2.0,6.0,46.0,0.25,0.0,0.25,0.25,0.25,0.2,0.02,0.22,0.2,0.22,2018
Thomas Touré,/thomas-toure/profil/spieler/187392,23,LW,Cote d'Ivoire,200000,3000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-2800000,29.0,1.75,right,FRA-Ligue 1,Angers,CIV,MF,23.0,1993.0,7,0,128,1.4,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,4.0,5.0,19.0,0.0,0.7,0.7,0.0,0.7,0.2,0.5,0.7,0.2,0.7,2018
Thomas Touré,/thomas-toure/profil/spieler/187392,23,LW,Cote d'Ivoire,200000,3000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-2800000,29.0,1.75,right,FRA-Ligue 1,Bordeaux,CIV,FW,23.0,1993.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Mauro Arambarri,/mauro-arambarri/profil/spieler/290249,21,CM,Uruguay,9000000,1000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,CA Boston River,/ca-boston-river/startseite/verein/18074,out,2017,8000000,27.0,1.75,right,ESP-La Liga,Getafe,URU,MF,21.0,1995.0,27,26,2124,23.6,1,1,2,1,0,0,9,1,1.6,1.6,1.9,3.6,12.0,76.0,15.0,0.04,0.04,0.08,0.04,0.08,0.07,0.08,0.15,0.07,0.15,2018
Alexander Djiku,/alexander-djiku/profil/spieler/250844,22,CB,Ghana,8000000,2000000,SC Bastia,/sc-bastia/startseite/verein/595,SM Caen,/sm-caen/startseite/verein/1162,in,2017,6000000,28.0,1.82,right,FRA-Ligue 1,Caen,GHA,DF,22.0,1994.0,28,28,2520,28.0,0,0,0,0,0,0,10,0,1.6,1.6,0.1,1.7,21.0,123.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,2018
Stef Peeters,/stef-peeters/profil/spieler/208542,25,CM,Belgium,900000,1350000,Sint-Truidense VV,/vv-st-truiden/startseite/verein/475,SM Caen,/sm-caen/startseite/verein/1162,in,2017,-450000,31.0,1.88,left,FRA-Ligue 1,Caen,BEL,MF,25.0,1992.0,20,11,1109,12.3,0,2,2,0,0,1,4,0,2.5,1.7,2.9,4.7,20.0,73.0,43.0,0.0,0.16,0.16,0.0,0.16,0.21,0.24,0.44,0.14,0.38,2018
Jan Repas,/jan-repas/profil/spieler/245083,20,CM,Slovenia,700000,1000000,NK Domzale,/nk-domzale/startseite/verein/6248,SM Caen,/sm-caen/startseite/verein/1162,in,2017,-300000,26.0,1.71,right,FRA-Ligue 1,Caen,SVN,"MF,FW",20.0,1997.0,15,12,902,10.0,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,21.0,25.0,91.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,2018
Timo Stavitski,/timo-stavitski/profil/spieler/363717,18,RW,Finland,100000,600000,Rovaniemen Palloseura,/rovaniemen-palloseura/startseite/verein/3776,SM Caen,/sm-caen/startseite/verein/1162,in,2017,-500000,23.0,1.8,right,FRA-Ligue 1,Caen,FIN,"MF,FW",18.0,1999.0,9,3,401,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.4,12.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,2018
Benjamin Jeannot,/benjamin-jeannot/profil/spieler/111048,25,CF,France,300000,2000000,FC Lorient,/fc-lorient/startseite/verein/1158,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2017,-1700000,31.0,1.83,right,FRA-Ligue 1,Dijon,FRA,FW,25.0,1992.0,24,14,1407,15.6,4,1,5,4,0,0,4,0,3.4,3.4,1.5,4.9,11.0,34.0,81.0,0.26,0.06,0.32,0.26,0.32,0.22,0.1,0.31,0.22,0.31,2018
Wesley Lautoa,/wesley-lautoa/profil/spieler/154199,29,CB,Neukaledonien,0,1500000,FC Lorient,/fc-lorient/startseite/verein/1158,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2017,-1500000,35.0,1.84,left,FRA-Ligue 1,Dijon,NCL,"DF,MF",29.0,1987.0,10,8,622,6.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2018
Marcus Thuram,/marcus-thuram/profil/spieler/318528,19,CF,France,32000000,600000,FC Sochaux-Montbéliard,/fc-sochaux-montbeliard/startseite/verein/750,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2017,31400000,25.0,1.92,right,FRA-Ligue 1,Guingamp,FRA,FW,19.0,1997.0,32,20,1929,21.4,3,1,4,3,0,0,2,0,5.7,5.7,2.4,8.1,67.0,47.0,173.0,0.14,0.05,0.19,0.14,0.19,0.26,0.11,0.38,0.26,0.38,2018
Pedro Rebocho,/pedro-rebocho/profil/spieler/197860,22,LB,Portugal,700000,550000,SL Benfica,/benfica-lissabon/startseite/verein/294,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2017,150000,28.0,1.71,left,FRA-Ligue 1,Guingamp,POR,DF,22.0,1995.0,21,19,1721,19.1,0,2,2,0,0,0,4,0,0.1,0.1,1.0,1.2,39.0,79.0,76.0,0.0,0.1,0.1,0.0,0.1,0.01,0.05,0.06,0.01,0.06,2018
Lebogang Phiri,/lebogang-phiri/profil/spieler/253316,22,CM,South Africa,400000,225000,Bröndby IF,/brondby-if/startseite/verein/206,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2017,175000,28.0,1.73,right,FRA-Ligue 1,Guingamp,RSA,MF,22.0,1994.0,22,9,1032,11.5,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.5,9.0,60.0,4.0,0.0,0.09,0.09,0.0,0.09,0.02,0.03,0.05,0.02,0.05,2018
Alexandre Mendy,/alexandre-mendy/profil/spieler/290561,23,CF,Guinea-Bissau,2500000,600000,EA Guingamp,/ea-guingamp/startseite/verein/855,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,1900000,29.0,1.84,right,FRA-Ligue 1,Bordeaux,GNB,FW,23.0,1994.0,16,8,795,8.8,4,0,4,4,0,0,2,0,4.0,4.0,0.7,4.7,9.0,13.0,64.0,0.45,0.0,0.45,0.45,0.45,0.45,0.08,0.54,0.45,0.54,2018
Baissama Sankoh,/baissama-sankoh/profil/spieler/171557,25,DM,Guinea,0,500000,EA Guingamp,/ea-guingamp/startseite/verein/855,SM Caen,/sm-caen/startseite/verein/1162,out,2017,-500000,31.0,1.8,right,FRA-Ligue 1,Caen,GUI,"MF,DF",25.0,1992.0,26,15,1540,17.1,0,0,0,0,0,0,3,0,0.1,0.1,1.2,1.3,16.0,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,2018
Nicolas Pépé,/nicolas-pepe/profil/spieler/343052,22,RW,Cote d'Ivoire,18000000,18000000,Angers SCO,/sco-angers/startseite/verein/1420,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,0,28.0,1.83,left,FRA-Ligue 1,Lille,CIV,"FW,MF",22.0,1995.0,36,31,2841,31.6,13,4,17,12,1,1,5,0,8.2,7.4,3.9,11.3,97.0,90.0,285.0,0.41,0.13,0.54,0.38,0.51,0.26,0.12,0.38,0.23,0.36,2018
Thiago Maia,/thiago-maia/profil/spieler/294873,20,DM,Brazil,6000000,14000000,Santos FC,/fc-santos/startseite/verein/221,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-8000000,26.0,1.79,left,FRA-Ligue 1,Lille,BRA,"MF,DF",20.0,1997.0,34,28,2463,27.4,0,0,0,0,0,0,3,1,0.6,0.6,0.4,1.0,45.0,190.0,41.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,2018
Luiz Araújo,/luiz-araujo/profil/spieler/435485,21,RW,Brazil,6000000,10500000,São Paulo Futebol Clube,/fc-sao-paulo/startseite/verein/585,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4500000,27.0,1.75,left,FRA-Ligue 1,Lille,BRA,"FW,MF",21.0,1996.0,34,24,2018,22.4,5,3,8,5,0,0,5,0,5.2,5.2,1.5,6.6,94.0,75.0,152.0,0.22,0.13,0.36,0.22,0.36,0.23,0.07,0.29,0.23,0.29,2018
Thiago Mendes,/thiago-mendes/profil/spieler/135617,25,DM,Brazil,5000000,9000000,São Paulo Futebol Clube,/fc-sao-paulo/startseite/verein/585,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,31.0,1.77,right,FRA-Ligue 1,Lille,BRA,MF,25.0,1992.0,31,27,2294,25.5,3,4,7,3,0,0,4,1,2.5,2.5,2.8,5.2,57.0,164.0,126.0,0.12,0.16,0.27,0.12,0.27,0.1,0.11,0.21,0.1,0.21,2018
Xeka,/xeka/profil/spieler/290256,22,CM,Portugal,6000000,5000000,SC Braga,/sc-braga/startseite/verein/1075,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,1000000,28.0,1.85,both,FRA-Ligue 1,Dijon,POR,MF,22.0,1994.0,17,15,1393,15.5,2,3,5,2,0,0,4,0,2.4,2.4,2.2,4.6,18.0,61.0,41.0,0.13,0.19,0.32,0.13,0.32,0.15,0.14,0.29,0.15,0.29,2018
Xeka,/xeka/profil/spieler/290256,22,CM,Portugal,6000000,5000000,SC Braga,/sc-braga/startseite/verein/1075,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,1000000,28.0,1.85,both,FRA-Ligue 1,Lille,POR,MF,22.0,1994.0,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,4500000,KV Oostende,/kv-oostende/startseite/verein/2861,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,32.0,1.82,right,FRA-Ligue 1,Bordeaux,FRA,FW,26.0,1991.0,29,22,1935,21.5,4,4,8,4,0,1,6,0,4.4,3.6,3.4,7.0,79.0,47.0,166.0,0.19,0.19,0.37,0.19,0.37,0.2,0.16,0.36,0.17,0.33,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,4500000,KV Oostende,/kv-oostende/startseite/verein/2861,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,32.0,1.82,right,FRA-Ligue 1,Lille,FRA,"FW,MF",26.0,1991.0,4,3,285,3.2,2,0,2,1,1,1,0,0,1.8,1.0,0.2,1.2,9.0,7.0,20.0,0.63,0.0,0.63,0.32,0.32,0.58,0.06,0.64,0.33,0.39,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,8000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,-7500000,32.0,1.82,right,FRA-Ligue 1,Bordeaux,FRA,FW,26.0,1991.0,29,22,1935,21.5,4,4,8,4,0,1,6,0,4.4,3.6,3.4,7.0,79.0,47.0,166.0,0.19,0.19,0.37,0.19,0.37,0.2,0.16,0.36,0.17,0.33,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,8000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,-7500000,32.0,1.82,right,FRA-Ligue 1,Lille,FRA,"FW,MF",26.0,1991.0,4,3,285,3.2,2,0,2,1,1,1,0,0,1.8,1.0,0.2,1.2,9.0,7.0,20.0,0.63,0.0,0.63,0.32,0.32,0.58,0.06,0.64,0.33,0.39,2018
Edgar Ié,/edgar-ie/profil/spieler/191987,23,CB,Guinea-Bissau,2400000,3500000,CF Os Belenenses,/cf-os-belenenses/startseite/verein/68608,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-1100000,29.0,1.82,right,FRA-Ligue 1,Lille,GNB,DF,23.0,1994.0,35,35,3146,35.0,1,0,1,1,0,0,6,0,0.9,0.9,0.5,1.3,55.0,131.0,53.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.04,0.02,0.04,2018
Naïm Sliti,/naim-sliti/profil/spieler/184491,24,LW,Tunisia,4500000,2000000,Red Star FC,/red-star-fc/startseite/verein/1154,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,2500000,30.0,1.73,right,FRA-Ligue 1,Dijon,TUN,"FW,MF",25.0,1992.0,31,26,2290,25.4,7,6,13,5,2,2,2,0,5.8,4.2,5.2,9.5,111.0,117.0,168.0,0.28,0.24,0.51,0.2,0.43,0.23,0.21,0.43,0.17,0.37,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,5100000,LOSC Lille,/losc-lille/startseite/verein/1082,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,out,2017,-1600000,29.0,1.87,right,FRA-Ligue 1,Bordeaux,FRA,MF,23.0,1994.0,18,15,1335,14.8,1,2,3,1,0,0,0,0,1.4,1.4,1.2,2.7,36.0,60.0,46.0,0.07,0.13,0.2,0.07,0.2,0.1,0.08,0.18,0.1,0.18,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,5100000,LOSC Lille,/losc-lille/startseite/verein/1082,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,out,2017,-1600000,29.0,1.87,right,FRA-Ligue 1,Monaco,FRA,MF,23.0,1994.0,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,8000000,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,AS Monaco,/as-monaco/startseite/verein/162,in,2017,-4500000,29.0,1.87,right,FRA-Ligue 1,Bordeaux,FRA,MF,23.0,1994.0,18,15,1335,14.8,1,2,3,1,0,0,0,0,1.4,1.4,1.2,2.7,36.0,60.0,46.0,0.07,0.13,0.2,0.07,0.2,0.1,0.08,0.18,0.1,0.18,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,8000000,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,AS Monaco,/as-monaco/startseite/verein/162,in,2017,-4500000,29.0,1.87,right,FRA-Ligue 1,Monaco,FRA,MF,23.0,1994.0,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,2018
Sébastien Corchia,/sebastien-corchia/profil/spieler/102744,26,RB,France,1000000,5000000,LOSC Lille,/losc-lille/startseite/verein/1082,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2017,-4000000,32.0,1.76,right,ESP-La Liga,Sevilla,FRA,DF,26.0,1990.0,12,9,821,9.1,0,1,1,0,0,0,4,0,0.3,0.3,0.5,0.8,20.0,25.0,47.0,0.0,0.11,0.11,0.0,0.11,0.03,0.06,0.09,0.03,0.09,2018
Baptiste Guillaume,/baptiste-guillaume/profil/spieler/264567,22,CF,Belgium,1200000,2000000,LOSC Lille,/losc-lille/startseite/verein/1082,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-800000,28.0,1.89,right,FRA-Ligue 1,Angers,BEL,"FW,MF",22.0,1995.0,16,3,458,5.1,1,2,3,1,0,0,3,0,1.7,1.7,0.9,2.6,9.0,9.0,36.0,0.2,0.39,0.59,0.2,0.59,0.33,0.17,0.51,0.33,0.51,2018
Martin Terrier,/martin-terrier/profil/spieler/442891,20,LW,France,30000000,11000000,LOSC Lille,/losc-lille/startseite/verein/1082,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,19000000,26.0,1.84,right,FRA-Ligue 1,Strasbourg,FRA,"FW,MF",20.0,1997.0,25,19,1672,18.6,3,3,6,3,0,0,3,0,4.9,4.9,3.4,8.3,46.0,36.0,107.0,0.16,0.16,0.32,0.16,0.32,0.26,0.18,0.45,0.26,0.45,2018
Bertrand Traoré,/bertrand-traore/profil/spieler/131996,21,RW,Burkina Faso,12000000,10000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,2000000,27.0,1.81,left,FRA-Ligue 1,Lyon,BFA,FW,21.0,1995.0,31,27,2284,25.4,13,4,17,13,0,0,3,0,8.9,8.9,2.7,11.6,108.0,82.0,270.0,0.51,0.16,0.67,0.51,0.67,0.35,0.11,0.46,0.35,0.46,2018
Marcelo,/marcelo/profil/spieler/52920,30,CB,Brazil,800000,7500000,Besiktas JK,/besiktas-istanbul/startseite/verein/114,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,-6700000,36.0,1.91,right,ESP-La Liga,Real Madrid,BRA,DF,29.0,1988.0,28,26,2260,25.1,2,6,8,2,0,0,3,1,1.3,1.3,6.5,7.8,98.0,254.0,268.0,0.08,0.24,0.32,0.08,0.32,0.05,0.26,0.31,0.05,0.31,2018
Marcelo,/marcelo/profil/spieler/52920,30,CB,Brazil,800000,7500000,Besiktas JK,/besiktas-istanbul/startseite/verein/114,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,-6700000,36.0,1.91,right,FRA-Ligue 1,Lyon,BRA,DF,30.0,1987.0,35,35,3105,34.5,3,1,4,3,0,0,5,1,2.5,2.5,1.6,4.1,21.0,152.0,4.0,0.09,0.03,0.12,0.09,0.12,0.07,0.05,0.12,0.07,0.12,2018
Ferland Mendy,/ferland-mendy/profil/spieler/291417,22,LB,France,25000000,5000000,Le Havre AC,/ac-le-havre/startseite/verein/738,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,20000000,28.0,1.8,left,FRA-Ligue 1,Lyon,FRA,DF,22.0,1995.0,27,24,2122,23.6,0,5,5,0,0,0,4,0,0.8,0.8,2.4,3.2,97.0,131.0,138.0,0.0,0.21,0.21,0.0,0.21,0.03,0.1,0.14,0.03,0.14,2018
Kenny Tete,/kenny-tete/profil/spieler/206746,21,RB,Netherlands,15000000,4000000,Ajax Amsterdam,/ajax-amsterdam/startseite/verein/610,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,11000000,27.0,1.8,right,FRA-Ligue 1,Lyon,NED,DF,21.0,1995.0,22,16,1608,17.9,1,4,5,1,0,0,3,0,0.7,0.7,2.7,3.4,45.0,74.0,86.0,0.06,0.22,0.28,0.06,0.28,0.04,0.15,0.19,0.04,0.19,2018
Alexandre Lacazette,/alexandre-lacazette/profil/spieler/93720,26,CF,France,14000000,53000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2017,-39000000,32.0,1.75,right,ENG-Premier League,Arsenal,FRA,FW,26.0,1991.0,32,26,2202,24.5,14,4,18,12,2,2,1,0,13.7,12.1,4.4,16.5,39.0,59.0,233.0,0.57,0.16,0.74,0.49,0.65,0.56,0.18,0.74,0.49,0.67,2018
