playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,nextSeason
Björn Engels,/bjorn-engels/profil/spieler/193469,24,CB,Belgium,1000000,8000000,Stade Reims,/stade-reims/startseite/verein/1421,Aston Villa,/aston-villa/startseite/verein/405,out,2019,-7000000,28.0,1.95,right,FRA-Ligue 1,Reims,Björn Engels,BEL,DF,23.0,1994.0,33.0,4,0,0.0,20,17.0,2.0,4.0,44.0,8.0,0.0,0.0,1.0,138.0,99.0,49.0,66.9,2019
Thomas Fontaine,/thomas-fontaine/profil/spieler/80036,28,CB,Madagascar,250000,1000000,Stade Reims,/stade-reims/startseite/verein/1421,FC Lorient,/fc-lorient/startseite/verein/1158,out,2019,-750000,32.0,1.85,left,FRA-Ligue 1,Reims,Thomas Fontaine,MAD,"DF,MF",27.0,1991.0,4.7,1,0,0.0,6,3.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,20.0,10.0,9.0,52.6,2019
M'Baye Niang,/mbaye-niang/profil/spieler/157501,24,CF,Senegal,2500000,15000000,Torino FC,/fc-turin/startseite/verein/416,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2019,-12500000,28.0,1.88,both,FRA-Ligue 1,Rennes,M'Baye Niang,SEN,"FW,MF",23.0,1994.0,19.9,5,0,0.0,44,46.0,11.0,24.0,8.0,10.0,2.0,0.0,0.0,80.0,53.0,44.0,54.6,2019
Flavien Tait,/flavien-tait/profil/spieler/202278,26,CM,France,6000000,9000000,Angers SCO,/sco-angers/startseite/verein/1420,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2019,-3000000,30.0,1.76,right,FRA-Ligue 1,Angers,Flavien Tait,FRA,"MF,FW",25.0,1993.0,33.2,2,0,0.0,34,69.0,4.0,199.0,28.0,35.0,2.0,0.0,0.0,189.0,12.0,18.0,40.0,2019
Edouard Mendy,/edouard-mendy/profil/spieler/442531,27,GK,Senegal,12000000,7600000,Stade Reims,/stade-reims/startseite/verein/1421,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2019,4400000,31.0,1.94,right,FRA-Ligue 1,Reims,Edouard Mendy,SEN,GK,26.0,1992.0,38.0,3,0,0.0,2,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,15.0,0.0,100.0,2019
Metehan Güçlü,/metehan-guclu/profil/spieler/395519,20,CF,Turkey,300000,1500000,Paris Saint-Germain B,/fc-paris-saint-germain-b/startseite/verein/8512,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,in,2019,-1200000,24.0,1.82,left,FRA-Ligue 1,Paris S-G,Metehan Güçlü,TUR,MF,19.0,1999.0,0.2,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019
Ramy Bensebaini,/ramy-bensebaini/profil/spieler/284732,24,LB,Algeria,20000000,8000000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,out,2019,12000000,28.0,1.87,left,FRA-Ligue 1,Rennes,Ramy Bensebaini,ALG,DF,23.0,1995.0,23.9,9,0,0.0,32,33.0,1.0,33.0,41.0,48.0,0.0,1.0,1.0,132.0,51.0,32.0,61.4,2019
Benjamin André,/benjamin-andre/profil/spieler/84301,28,DM,France,9000000,7000000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,LOSC Lille,/losc-lille/startseite/verein/1082,out,2019,2000000,32.0,1.8,right,FRA-Ligue 1,Rennes,Benjamin André,FRA,MF,27.0,1990.0,27.7,8,1,1.0,59,48.0,5.0,13.0,54.0,60.0,1.0,0.0,0.0,218.0,141.0,98.0,59.0,2019
Denis Bouanga,/denis-bouanga/profil/spieler/236045,24,LW,Gabon,6000000,4500000,Nîmes Olympique,/nimes-olympique/startseite/verein/1160,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618,in,2019,1500000,28.0,1.8,right,FRA-Ligue 1,Nîmes,Denis Bouanga,GAB,"MF,FW",23.0,1994.0,29.3,5,0,0.0,41,27.0,5.0,46.0,20.0,32.0,0.0,0.0,0.0,147.0,27.0,74.0,26.7,2019
Ryad Boudebouz,/ryad-boudebouz/profil/spieler/77826,29,AM,Algeria,1300000,3500000,Real Betis Balompié,/real-betis-sevilla/startseite/verein/150,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618,in,2019,-2200000,33.0,1.77,left,ESP-La Liga,Betis,Ryad Boudebouz,ALG,"MF,FW",28.0,1990.0,6.0,1,0,0.0,5,8.0,1.0,24.0,5.0,4.0,0.0,0.0,0.0,19.0,4.0,15.0,21.1,2019
