playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,nextSeason
Benjamin Henrichs,/benjamin-henrichs/profil/spieler/202591,21,RB,Germany,15000000,20000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-5000000,26.0,1.85,right,GER-Bundesliga,Leverkusen,Benjamin Henrichs,GER,DF,20.0,1997.0,23,1268.0,55.0,41.4,14.1,11,,9.0,12,,9,1.61,27.0,22.0,5.0,0.35,-0.1,27.1,18.8,8.3,0.59,0.07,2018
Nacer Chadli,/nacer-chadli/profil/spieler/59631,29,LW,Belgium,2000000,12000000,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-10000000,33.0,1.87,right,ENG-Premier League,West Brom,Nacer Chadli,BEL,"FW,MF",27.0,1989.0,5,260.0,52.0,7.6,2.9,2,,0.0,3,,6,0.8,3.0,3.0,0.0,0.0,0.71,2.4,4.9,-2.5,-1.04,-0.79,2018
Fodé Ballo-Touré,/fode-ballo-toure/profil/spieler/296422,22,LB,Senegal,3500000,11000000,LOSC Lille,/losc-lille/startseite/verein/1082,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-7500000,26.0,1.82,left,FRA-Ligue 1,Lille,Fodé Ballo-Touré,SEN,DF,20.0,1997.0,27,2055.0,76.0,60.1,22.8,25,80.0,18.0,2,29.0,7,1.07,19.0,37.0,-18.0,-0.79,-0.26,17.7,34.4,-16.6,-0.73,-0.4,2018
Antonio Barreca,/antonio-barreca/profil/spieler/241889,23,LB,Italy,800000,10000000,Torino FC,/fc-turin/startseite/verein/416,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-9200000,28.0,1.8,left,ITA-Serie A,Torino,Antonio Barreca,ITA,DF,22.0,1995.0,9,468.0,52.0,13.7,5.2,3,,2.0,6,,17,1.0,8.0,11.0,-3.0,-0.58,-0.91,4.6,6.5,-1.9,-0.37,-0.39,2018
Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806,31,CM,Spain,0,9000000,Chelsea FC,/fc-chelsea/startseite/verein/631,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-9000000,36.0,1.79,right,ENG-Premier League,Chelsea,Cesc Fàbregas,ESP,MF,30.0,1987.0,32,2307.0,72.0,67.5,25.6,25,,15.0,7,,4,1.72,40.0,26.0,14.0,0.55,-0.26,37.9,22.8,15.1,0.59,0.15,2018
Samuel Grandsir,/samuel-grandsir/profil/spieler/432772,21,RW,France,2000000,3000000,ESTAC Troyes,/es-troyes-ac/startseite/verein/1095,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-1000000,26.0,1.7,right,FRA-Ligue 1,Troyes,Samuel Grandsir,FRA,"FW,MF",20.0,1996.0,36,2603.0,72.0,76.1,28.9,29,82.0,17.0,7,31.0,0,0.92,22.0,39.0,-17.0,-0.59,0.51,28.1,38.6,-10.5,-0.36,0.02,2018
Naldo,/naldo/profil/spieler/32213,36,CB,Brazil,0,2000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-2000000,40.0,1.98,right,ESP-La Liga,Espanyol,Naldo,BRA,DF,28.0,1988.0,11,921.0,84.0,26.9,10.2,10,88.0,9.0,1,45.0,18,1.45,13.0,9.0,4.0,0.39,0.75,12.2,14.5,-2.3,-0.22,0.09,2018
Naldo,/naldo/profil/spieler/32213,36,CB,Brazil,0,2000000,FC Schalke 04,/fc-schalke-04/startseite/verein/33,AS Monaco,/as-monaco/startseite/verein/162,in,2018,-2000000,40.0,1.98,right,GER-Bundesliga,Schalke 04,Naldo,BRA,DF,34.0,1982.0,34,3060.0,90.0,100.0,34.0,34,,34.0,0,,0,1.85,53.0,37.0,16.0,0.47,,46.7,40.2,6.6,0.19,,2018
Thomas Lemar,/thomas-lemar/profil/spieler/205562,22,AM,France,22000000,72000000,AS Monaco,/as-monaco/startseite/verein/162,Atlético de Madrid,/atletico-madrid/startseite/verein/13,out,2018,-50000000,27.0,1.71,left,FRA-Ligue 1,Monaco,Thomas Lemar,FRA,"MF,FW",21.0,1995.0,30,2378.0,79.0,69.5,26.4,27,86.0,19.0,3,21.0,0,2.2,59.0,32.0,27.0,1.02,-0.1,46.8,32.2,14.6,0.55,0.62,2018
Fabinho,/fabinho/profil/spieler/225693,24,DM,Brazil,42000000,45000000,AS Monaco,/as-monaco/startseite/verein/162,Liverpool FC,/fc-liverpool/startseite/verein/31,out,2018,-3000000,29.0,1.88,right,FRA-Ligue 1,Monaco,Fabinho,BRA,MF,23.0,1993.0,34,3060.0,90.0,89.5,34.0,34,90.0,34.0,0,,0,2.15,77.0,38.0,39.0,1.15,0.9,56.0,43.3,12.7,0.37,0.09,2018
Terence Kongolo,/terence-kongolo/profil/spieler/152651,24,CB,Netherlands,900000,20000000,AS Monaco,/as-monaco/startseite/verein/162,Huddersfield Town,/huddersfield-town/startseite/verein/1110,out,2018,-19100000,29.0,1.88,left,ENG-Premier League,Huddersfield,Terence Kongolo,NED,DF,23.0,1994.0,13,1049.0,81.0,30.7,11.7,11,,11.0,2,,1,0.92,7.0,14.0,-7.0,-0.6,0.27,8.9,15.6,-6.7,-0.57,-0.17,2018
