playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,nextSeason
Thomas Touré,/thomas-toure/profil/spieler/187392,23,LW,Cote d'Ivoire,200000,3000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-2800000,29.0,1.75,right,FRA-Ligue 1,Bordeaux,CIV,FW,23.0,1993.0,0.1,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018
Mauro Arambarri,/mauro-arambarri/profil/spieler/290249,21,CM,Uruguay,9000000,1000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,CA Boston River,/ca-boston-river/startseite/verein/18074,out,2017,8000000,27.0,1.75,right,ESP-La Liga,Getafe,URU,MF,21.0,1995.0,23.6,629.0,618.0,5.0,4.0,3.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,435.0,6.0,18.0,2018
Alexander Djiku,/alexander-djiku/profil/spieler/250844,22,CB,Ghana,8000000,2000000,SC Bastia,/sc-bastia/startseite/verein/595,SM Caen,/sm-caen/startseite/verein/1162,in,2017,6000000,28.0,1.82,right,FRA-Ligue 1,Caen,GHA,DF,22.0,1994.0,28.0,1297.0,1240.0,52.0,43.0,0.0,10.0,5.0,9.0,0.0,0.0,0.0,0.0,1042.0,5.0,2.0,2018
Stef Peeters,/stef-peeters/profil/spieler/208542,25,CM,Belgium,900000,1350000,Sint-Truidense VV,/vv-st-truiden/startseite/verein/475,SM Caen,/sm-caen/startseite/verein/1162,in,2017,-450000,31.0,1.88,left,FRA-Ligue 1,Caen,BEL,MF,25.0,1992.0,12.3,555.0,447.0,102.0,40.0,3.0,9.0,96.0,1.0,58.0,22.0,30.0,3.0,348.0,6.0,22.0,2018
Jan Repas,/jan-repas/profil/spieler/245083,20,CM,Slovenia,700000,1000000,NK Domzale,/nk-domzale/startseite/verein/6248,SM Caen,/sm-caen/startseite/verein/1162,in,2017,-300000,26.0,1.71,right,FRA-Ligue 1,Caen,SVN,"MF,FW",20.0,1997.0,10.0,237.0,223.0,13.0,0.0,0.0,3.0,16.0,5.0,0.0,0.0,0.0,0.0,166.0,1.0,9.0,2018
Timo Stavitski,/timo-stavitski/profil/spieler/363717,18,RW,Finland,100000,600000,Rovaniemen Palloseura,/rovaniemen-palloseura/startseite/verein/3776,SM Caen,/sm-caen/startseite/verein/1162,in,2017,-500000,23.0,1.8,right,FRA-Ligue 1,Caen,FIN,"MF,FW",18.0,1999.0,4.5,128.0,128.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,7.0,2018
Benjamin Jeannot,/benjamin-jeannot/profil/spieler/111048,25,CF,France,300000,2000000,FC Lorient,/fc-lorient/startseite/verein/1158,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2017,-1700000,31.0,1.83,right,FRA-Ligue 1,Dijon,FRA,FW,25.0,1992.0,15.6,354.0,314.0,40.0,1.0,3.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,250.0,0.0,7.0,2018
Wesley Lautoa,/wesley-lautoa/profil/spieler/154199,29,CB,Neukaledonien,0,1500000,FC Lorient,/fc-lorient/startseite/verein/1158,Dijon FCO,/dijon-fco/startseite/verein/2969,in,2017,-1500000,35.0,1.84,left,FRA-Ligue 1,Dijon,NCL,"DF,MF",29.0,1987.0,6.9,285.0,277.0,8.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,235.0,0.0,5.0,2018
Marcus Thuram,/marcus-thuram/profil/spieler/318528,19,CF,France,32000000,600000,FC Sochaux-Montbéliard,/fc-sochaux-montbeliard/startseite/verein/750,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2017,31400000,25.0,1.92,right,FRA-Ligue 1,Guingamp,FRA,FW,19.0,1997.0,21.4,520.0,474.0,39.0,1.0,2.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,348.0,7.0,15.0,2018
Pedro Rebocho,/pedro-rebocho/profil/spieler/197860,22,LB,Portugal,700000,550000,SL Benfica,/benfica-lissabon/startseite/verein/294,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2017,150000,28.0,1.71,left,FRA-Ligue 1,Guingamp,POR,DF,22.0,1995.0,19.1,1031.0,802.0,220.0,22.0,0.0,4.0,59.0,195.0,3.0,0.0,3.0,0.0,784.0,9.0,35.0,2018
Lebogang Phiri,/lebogang-phiri/profil/spieler/253316,22,CM,South Africa,400000,225000,Bröndby IF,/brondby-if/startseite/verein/206,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2017,175000,28.0,1.73,right,FRA-Ligue 1,Guingamp,RSA,MF,22.0,1994.0,11.5,672.0,642.0,27.0,17.0,1.0,9.0,8.0,2.0,8.0,7.0,0.0,0.0,590.0,3.0,8.0,2018
Alexandre Mendy,/alexandre-mendy/profil/spieler/290561,23,CF,Guinea-Bissau,2500000,600000,EA Guingamp,/ea-guingamp/startseite/verein/855,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,1900000,29.0,1.84,right,FRA-Ligue 1,Bordeaux,GNB,FW,23.0,1994.0,8.8,178.0,162.0,16.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,4.0,2018
Baissama Sankoh,/baissama-sankoh/profil/spieler/171557,25,DM,Guinea,0,500000,EA Guingamp,/ea-guingamp/startseite/verein/855,SM Caen,/sm-caen/startseite/verein/1162,out,2017,-500000,31.0,1.8,right,FRA-Ligue 1,Caen,GUI,"MF,DF",25.0,1992.0,17.1,541.0,532.0,8.0,5.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,423.0,1.0,7.0,2018
Nicolas Pépé,/nicolas-pepe/profil/spieler/343052,22,RW,Cote d'Ivoire,18000000,18000000,Angers SCO,/sco-angers/startseite/verein/1420,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,0,28.0,1.83,left,FRA-Ligue 1,Lille,CIV,"FW,MF",22.0,1995.0,31.6,1051.0,974.0,74.0,21.0,6.0,11.0,58.0,19.0,11.0,4.0,4.0,1.0,824.0,3.0,31.0,2018
Thiago Maia,/thiago-maia/profil/spieler/294873,20,DM,Brazil,6000000,14000000,Santos FC,/fc-santos/startseite/verein/221,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-8000000,26.0,1.79,left,FRA-Ligue 1,Lille,BRA,"MF,DF",20.0,1997.0,27.4,1759.0,1684.0,69.0,36.0,3.0,8.0,8.0,33.0,0.0,0.0,0.0,0.0,1482.0,6.0,23.0,2018
Luiz Araújo,/luiz-araujo/profil/spieler/435485,21,RW,Brazil,6000000,10500000,São Paulo Futebol Clube,/fc-sao-paulo/startseite/verein/585,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4500000,27.0,1.75,left,FRA-Ligue 1,Lille,BRA,"FW,MF",21.0,1996.0,22.4,755.0,711.0,40.0,10.0,9.0,15.0,69.0,8.0,22.0,12.0,7.0,0.0,535.0,4.0,27.0,2018
Thiago Mendes,/thiago-mendes/profil/spieler/135617,25,DM,Brazil,5000000,9000000,São Paulo Futebol Clube,/fc-sao-paulo/startseite/verein/585,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,31.0,1.77,right,FRA-Ligue 1,Lille,BRA,MF,25.0,1992.0,25.5,1392.0,1300.0,78.0,28.0,4.0,12.0,31.0,28.0,21.0,10.0,9.0,0.0,1175.0,14.0,16.0,2018
Xeka,/xeka/profil/spieler/290256,22,CM,Portugal,6000000,5000000,SC Braga,/sc-braga/startseite/verein/1075,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,1000000,28.0,1.85,both,FRA-Ligue 1,Dijon,POR,MF,22.0,1994.0,15.5,709.0,653.0,54.0,25.0,10.0,15.0,35.0,3.0,24.0,13.0,6.0,0.0,565.0,2.0,10.0,2018
Xeka,/xeka/profil/spieler/290256,22,CM,Portugal,6000000,5000000,SC Braga,/sc-braga/startseite/verein/1075,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,1000000,28.0,1.85,both,FRA-Ligue 1,Lille,POR,MF,22.0,1994.0,0.2,12.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,4500000,KV Oostende,/kv-oostende/startseite/verein/2861,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,32.0,1.82,right,FRA-Ligue 1,Bordeaux,FRA,FW,26.0,1991.0,21.5,719.0,645.0,70.0,10.0,8.0,10.0,61.0,11.0,25.0,13.0,9.0,0.0,497.0,4.0,27.0,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,4500000,KV Oostende,/kv-oostende/startseite/verein/2861,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-4000000,32.0,1.82,right,FRA-Ligue 1,Lille,FRA,"FW,MF",26.0,1991.0,3.2,70.0,63.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,4.0,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,8000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,-7500000,32.0,1.82,right,FRA-Ligue 1,Bordeaux,FRA,FW,26.0,1991.0,21.5,719.0,645.0,70.0,10.0,8.0,10.0,61.0,11.0,25.0,13.0,9.0,0.0,497.0,4.0,27.0,2018
Nicolas de Préville,/nicolas-de-preville/profil/spieler/122116,26,CF,France,500000,8000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,out,2017,-7500000,32.0,1.82,right,FRA-Ligue 1,Lille,FRA,"FW,MF",26.0,1991.0,3.2,70.0,63.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,4.0,2018
Edgar Ié,/edgar-ie/profil/spieler/191987,23,CB,Guinea-Bissau,2400000,3500000,CF Os Belenenses,/cf-os-belenenses/startseite/verein/68608,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,-1100000,29.0,1.82,right,FRA-Ligue 1,Lille,GNB,DF,23.0,1994.0,35.0,1897.0,1719.0,172.0,49.0,0.0,4.0,35.0,123.0,0.0,0.0,0.0,0.0,1570.0,6.0,35.0,2018
Naïm Sliti,/naim-sliti/profil/spieler/184491,24,LW,Tunisia,4500000,2000000,Red Star FC,/red-star-fc/startseite/verein/1154,LOSC Lille,/losc-lille/startseite/verein/1082,in,2017,2500000,30.0,1.73,right,FRA-Ligue 1,Dijon,TUN,"FW,MF",25.0,1992.0,25.4,930.0,764.0,153.0,61.0,17.0,6.0,112.0,10.0,72.0,23.0,29.0,1.0,625.0,13.0,32.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,5100000,LOSC Lille,/losc-lille/startseite/verein/1082,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,out,2017,-1600000,29.0,1.87,right,FRA-Ligue 1,Bordeaux,FRA,MF,23.0,1994.0,14.8,711.0,689.0,19.0,18.0,6.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,593.0,3.0,14.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,5100000,LOSC Lille,/losc-lille/startseite/verein/1082,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,out,2017,-1600000,29.0,1.87,right,FRA-Ligue 1,Monaco,FRA,MF,23.0,1994.0,1.1,44.0,43.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,8000000,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,AS Monaco,/as-monaco/startseite/verein/162,in,2017,-4500000,29.0,1.87,right,FRA-Ligue 1,Bordeaux,FRA,MF,23.0,1994.0,14.8,711.0,689.0,19.0,18.0,6.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,593.0,3.0,14.0,2018
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,23,CM,France,3500000,8000000,SV Zulte Waregem,/sv-zulte-waregem/startseite/verein/3508,AS Monaco,/as-monaco/startseite/verein/162,in,2017,-4500000,29.0,1.87,right,FRA-Ligue 1,Monaco,FRA,MF,23.0,1994.0,1.1,44.0,43.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,2018
Sébastien Corchia,/sebastien-corchia/profil/spieler/102744,26,RB,France,1000000,5000000,LOSC Lille,/losc-lille/startseite/verein/1082,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2017,-4000000,32.0,1.76,right,ESP-La Liga,Sevilla,FRA,DF,26.0,1990.0,9.1,397.0,315.0,81.0,6.0,0.0,2.0,23.0,75.0,0.0,0.0,0.0,0.0,305.0,1.0,6.0,2018
Baptiste Guillaume,/baptiste-guillaume/profil/spieler/264567,22,CF,Belgium,1200000,2000000,LOSC Lille,/losc-lille/startseite/verein/1082,Angers SCO,/sco-angers/startseite/verein/1420,out,2017,-800000,28.0,1.89,right,FRA-Ligue 1,Angers,BEL,"FW,MF",22.0,1995.0,5.1,89.0,86.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,2018
Martin Terrier,/martin-terrier/profil/spieler/442891,20,LW,France,30000000,11000000,LOSC Lille,/losc-lille/startseite/verein/1082,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,19000000,26.0,1.84,right,FRA-Ligue 1,Strasbourg,FRA,"FW,MF",20.0,1997.0,18.6,500.0,480.0,16.0,1.0,5.0,8.0,21.0,4.0,3.0,3.0,0.0,0.0,367.0,4.0,14.0,2018
Bertrand Traoré,/bertrand-traore/profil/spieler/131996,21,RW,Burkina Faso,12000000,10000000,Chelsea FC,/fc-chelsea/startseite/verein/631,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,2000000,27.0,1.81,left,FRA-Ligue 1,Lyon,BFA,FW,21.0,1995.0,25.4,1039.0,1017.0,17.0,4.0,10.0,9.0,28.0,10.0,1.0,1.0,0.0,0.0,838.0,5.0,17.0,2018
Marcelo,/marcelo/profil/spieler/52920,30,CB,Brazil,800000,7500000,Besiktas JK,/besiktas-istanbul/startseite/verein/114,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,-6700000,36.0,1.91,right,ESP-La Liga,Real Madrid,BRA,DF,29.0,1988.0,25.1,1969.0,1721.0,239.0,31.0,4.0,36.0,155.0,197.0,11.0,0.0,1.0,0.0,1569.0,9.0,44.0,2018
Marcelo,/marcelo/profil/spieler/52920,30,CB,Brazil,800000,7500000,Besiktas JK,/besiktas-istanbul/startseite/verein/114,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,-6700000,36.0,1.91,right,FRA-Ligue 1,Lyon,BRA,DF,30.0,1987.0,34.5,2252.0,2145.0,97.0,87.0,4.0,26.0,2.0,10.0,0.0,0.0,0.0,0.0,1964.0,10.0,17.0,2018
Ferland Mendy,/ferland-mendy/profil/spieler/291417,22,LB,France,25000000,5000000,Le Havre AC,/ac-le-havre/startseite/verein/738,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,20000000,28.0,1.8,left,FRA-Ligue 1,Lyon,FRA,DF,22.0,1995.0,23.6,1575.0,1339.0,230.0,21.0,0.0,4.0,58.0,209.0,0.0,0.0,0.0,0.0,1341.0,6.0,37.0,2018
Kenny Tete,/kenny-tete/profil/spieler/206746,21,RB,Netherlands,15000000,4000000,Ajax Amsterdam,/ajax-amsterdam/startseite/verein/610,Olympique Lyon,/olympique-lyon/startseite/verein/1041,in,2017,11000000,27.0,1.8,right,FRA-Ligue 1,Lyon,NED,DF,21.0,1995.0,17.9,1073.0,879.0,193.0,14.0,3.0,7.0,57.0,179.0,0.0,0.0,0.0,0.0,854.0,1.0,30.0,2018
Alexandre Lacazette,/alexandre-lacazette/profil/spieler/93720,26,CF,France,14000000,53000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2017,-39000000,32.0,1.75,right,ENG-Premier League,Arsenal,FRA,FW,26.0,1991.0,24.5,744.0,691.0,48.0,0.0,9.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,558.0,5.0,21.0,2018
Corentin Tolisso,/corentin-tolisso/profil/spieler/190393,22,CM,France,14000000,41500000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,Bayern Munich,/fc-bayern-munchen/startseite/verein/27,out,2017,-27500000,28.0,1.81,right,GER-Bundesliga,Bayern Munich,FRA,MF,22.0,1994.0,17.5,1281.0,1256.0,22.0,13.0,3.0,17.0,12.0,6.0,0.0,0.0,0.0,0.0,1148.0,3.0,24.0,2018
Maxime Gonalons,/maxime-gonalons/profil/spieler/60542,28,DM,France,900000,5000000,Olympique Lyon,/olympique-lyon/startseite/verein/1041,AS Roma,/as-rom/startseite/verein/12,out,2017,-4100000,34.0,1.87,right,ITA-Serie A,Roma,FRA,MF,28.0,1989.0,12.2,796.0,777.0,18.0,17.0,2.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,690.0,1.0,7.0,2018
Florian Thauvin,/florian-thauvin/profil/spieler/184892,24,RW,France,3500000,11000000,Newcastle United,/newcastle-united/startseite/verein/762,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-7500000,30.0,1.81,left,FRA-Ligue 1,Marseille,FRA,FW,24.0,1993.0,32.8,1838.0,1669.0,156.0,38.0,29.0,18.0,203.0,19.0,75.0,52.0,8.0,2.0,1314.0,13.0,65.0,2018
Luiz Gustavo,/luiz-gustavo/profil/spieler/10471,29,DM,Brazil,800000,10000000,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-9200000,35.0,1.87,left,FRA-Ligue 1,Marseille,BRA,"MF,DF",30.0,1987.0,33.5,1965.0,1908.0,51.0,48.0,4.0,24.0,15.0,3.0,0.0,0.0,0.0,0.0,1753.0,6.0,13.0,2018
Clinton N'Jie,/clinton-njie/profil/spieler/241119,23,RW,Cameroon,1200000,7000000,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-5800000,29.0,1.75,right,FRA-Ligue 1,Marseille,CMR,FW,23.0,1993.0,9.7,217.0,194.0,21.0,0.0,3.0,0.0,13.0,8.0,4.0,0.0,3.0,0.0,173.0,2.0,4.0,2018
Adil Rami,/adil-rami/profil/spieler/51118,31,CB,France,250000,6000000,Sevilla FC,/fc-sevilla/startseite/verein/368,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-5750000,37.0,1.91,right,FRA-Ligue 1,Marseille,FRA,DF,31.0,1985.0,32.8,1875.0,1799.0,72.0,69.0,2.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,1618.0,4.0,14.0,2018
Steve Mandanda,/steve-mandanda/profil/spieler/23951,32,GK,France,1000000,3000000,Crystal Palace,/crystal-palace/startseite/verein/873,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2017,-2000000,38.0,1.87,right,FRA-Ligue 1,Marseille,FRA,GK,32.0,1985.0,30.0,892.0,627.0,261.0,75.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,4.0,3.0,2018
Karim Rekik,/karim-rekik/profil/spieler/182579,22,CB,Netherlands,4000000,2500000,Olympique Marseille,/olympique-marseille/startseite/verein/244,Hertha BSC,/hertha-bsc/startseite/verein/44,out,2017,1500000,28.0,1.86,left,GER-Bundesliga,Hertha BSC,NED,DF,22.0,1994.0,25.6,1349.0,1307.0,37.0,36.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1129.0,5.0,10.0,2018
Emmanuel Rivière,/emmanuel-riviere/profil/spieler/61637,27,CF,Martinique,0,1100000,Newcastle United,/newcastle-united/startseite/verein/762,FC Metz,/fc-metz/startseite/verein/347,in,2017,-1100000,33.0,1.82,right,FRA-Ligue 1,Metz,FRA,FW,27.0,1990.0,22.3,632.0,584.0,47.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,425.0,1.0,18.0,2018
