playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,nextSeason
Ivan Santini,/ivan-santini/profil/spieler/45832,29,CF,Croatia,200000,3000000,SM Caen,/sm-caen/startseite/verein/1162,RSC Anderlecht,/rsc-anderlecht/startseite/verein/58,out,2018,-2800000,34.0,1.9,right,FRA-Ligue 1,Caen,Ivan Santini,CRO,FW,28.0,1989.0,30.9,1035.0,37.0,75.0,477.0,487.0,133.0,1029.0,18.0,13.0,72.2,5.0,27.8,481.0,1954.0,520.0,10.0,8.0,3.0,99.0,59.0,858.0,203.0,2018
Guessouma Fofana,/guessouma-fofana/profil/spieler/419999,25,DM,Mauritania,200000,1000000,Amiens SC,/amiens-sc/startseite/verein/1416,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2018,-800000,30.0,1.84,right,FRA-Ligue 1,Amiens,Guessouma Fofana,MTN,MF,24.0,1992.0,8.3,331.0,13.0,70.0,217.0,53.0,7.0,331.0,16.0,13.0,81.3,3.0,18.8,173.0,1172.0,632.0,15.0,8.0,1.0,12.0,16.0,203.0,19.0,2018
Loïc Rémy,/loic-remy/profil/spieler/45121,31,CF,France,150000,1400000,UD Las Palmas,/ud-las-palmas/startseite/verein/472,LOSC Lille,/losc-lille/startseite/verein/1082,in,2018,-1250000,36.0,1.85,right,ESP-La Liga,Getafe,Loïc Rémy,FRA,"FW,MF",30.0,1987.0,5.1,161.0,2.0,10.0,77.0,75.0,10.0,160.0,9.0,8.0,88.9,1.0,11.1,86.0,418.0,217.0,8.0,4.0,2.0,10.0,4.0,126.0,27.0,2018
Loïc Rémy,/loic-remy/profil/spieler/45121,31,CF,France,150000,1400000,UD Las Palmas,/ud-las-palmas/startseite/verein/472,LOSC Lille,/losc-lille/startseite/verein/1082,in,2018,-1250000,36.0,1.85,right,ESP-La Liga,Las Palmas,Loïc Rémy,FRA,FW,30.0,1987.0,8.5,331.0,1.0,29.0,155.0,152.0,46.0,331.0,30.0,19.0,63.3,11.0,36.7,265.0,1884.0,999.0,35.0,21.0,20.0,14.0,16.0,286.0,76.0,2018
Yves Bissouma,/yves-bissouma/profil/spieler/410425,21,CM,Mali,18000000,16800000,LOSC Lille,/losc-lille/startseite/verein/1082,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2018,1200000,26.0,1.82,right,FRA-Ligue 1,Lille,Yves Bissouma,MLI,"MF,DF",20.0,1996.0,17.3,1271.0,32.0,260.0,774.0,265.0,22.0,1271.0,75.0,55.0,73.3,20.0,26.7,748.0,5407.0,2943.0,64.0,43.0,7.0,28.0,18.0,854.0,51.0,2018
Ibrahim Amadou,/ibrahim-amadou/profil/spieler/205503,25,DM,France,1500000,14400000,LOSC Lille,/losc-lille/startseite/verein/1082,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2018,-12900000,30.0,1.83,right,FRA-Ligue 1,Lille,Ibrahim Amadou,FRA,"MF,DF",24.0,1993.0,26.7,1803.0,105.0,648.0,1091.0,81.0,16.0,1803.0,13.0,11.0,84.6,2.0,15.4,1034.0,5131.0,2883.0,18.0,13.0,1.0,18.0,11.0,1305.0,19.0,2018
Kévin Malcuit,/kevin-malcuit/profil/spieler/126711,27,RB,France,700000,12000000,LOSC Lille,/losc-lille/startseite/verein/1082,SSC Napoli,/ssc-neapel/startseite/verein/6195,out,2018,-11300000,31.0,1.78,right,FRA-Ligue 1,Lille,Kévin Malcuit,MAR,DF,26.0,1991.0,20.2,1462.0,52.0,415.0,706.0,371.0,30.0,1462.0,96.0,57.0,59.4,39.0,40.6,866.0,6079.0,3721.0,104.0,70.0,14.0,38.0,31.0,933.0,114.0,2018
Hamza Mendyl,/hamza-mendyl/profil/spieler/447221,20,LB,Morocco,1000000,6000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Schalke 04,/fc-schalke-04/startseite/verein/33,out,2018,-5000000,25.0,1.79,left,FRA-Ligue 1,Lille,Hamza Mendyl,MAR,"DF,MF",19.0,1997.0,9.5,520.0,18.0,162.0,235.0,133.0,6.0,520.0,24.0,12.0,50.0,12.0,50.0,261.0,1698.0,848.0,23.0,27.0,1.0,14.0,2.0,299.0,41.0,2018
Naïm Sliti,/naim-sliti/profil/spieler/184491,25,LW,Tunisia,4500000,2000000,LOSC Lille,/losc-lille/startseite/verein/1082,Dijon FCO,/dijon-fco/startseite/verein/2969,out,2018,2500000,30.0,1.73,right,FRA-Ligue 1,Dijon,Naïm Sliti,TUN,"FW,MF",25.0,1992.0,25.4,1209.0,11.0,107.0,500.0,636.0,58.0,1207.0,130.0,104.0,80.0,26.0,20.0,822.0,6108.0,3276.0,111.0,90.0,32.0,73.0,72.0,860.0,168.0,2018
Éder,/eder/profil/spieler/84481,30,CF,Portugal,0,500000,LOSC Lille,/losc-lille/startseite/verein/1082,Lokomotiv Moscow,/lokomotiv-moskau/startseite/verein/932,out,2018,-500000,35.0,1.9,both,ITA-Serie A,Inter,Éder,ITA,"FW,MF",30.0,1986.0,8.9,349.0,2.0,28.0,123.0,200.0,41.0,349.0,14.0,5.0,35.7,9.0,64.3,228.0,1109.0,517.0,19.0,12.0,7.0,20.0,12.0,269.0,64.0,2018
