playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,nextSeason
Ivan Santini,/ivan-santini/profil/spieler/45832,29,CF,Croatia,200000,3000000,SM Caen,/sm-caen/startseite/verein/1162,RSC Anderlecht,/rsc-anderlecht/startseite/verein/58,out,2018,-2800000,34.0,1.9,right,FRA-Ligue 1,Caen,Ivan Santini,CRO,FW,28.0,1989.0,30.9,452.0,717.0,63.0,5861.0,897.0,269.0,400.0,67.3,124.0,189.0,65.6,17.0,27.0,63.0,1,1.4,1.2,-0.4,24.0,29.0,4.0,0.0,45.0,2018
Guessouma Fofana,/guessouma-fofana/profil/spieler/419999,25,DM,Mauritania,200000,1000000,Amiens SC,/amiens-sc/startseite/verein/1416,EA Guingamp,/ea-guingamp/startseite/verein/855,in,2018,-800000,30.0,1.84,right,FRA-Ligue 1,Amiens,Guessouma Fofana,MTN,MF,24.0,1992.0,8.3,177.0,246.0,72.0,2895.0,885.0,91.0,113.0,80.5,58.0,78.0,74.4,19.0,36.0,52.8,0,0.1,0.1,-0.1,3.0,22.0,0.0,0.0,30.0,2018
Loïc Rémy,/loic-remy/profil/spieler/45121,31,CF,France,150000,1400000,UD Las Palmas,/ud-las-palmas/startseite/verein/472,LOSC Lille,/losc-lille/startseite/verein/1082,in,2018,-1250000,36.0,1.85,right,ESP-La Liga,Getafe,Loïc Rémy,FRA,"FW,MF",30.0,1987.0,5.1,85.0,124.0,68.5,1227.0,156.0,53.0,69.0,76.8,23.0,34.0,67.6,6.0,10.0,60.0,0,0.0,0.2,0.0,0.0,2.0,3.0,1.0,6.0,2018
Loïc Rémy,/loic-remy/profil/spieler/45121,31,CF,France,150000,1400000,UD Las Palmas,/ud-las-palmas/startseite/verein/472,LOSC Lille,/losc-lille/startseite/verein/1082,in,2018,-1250000,36.0,1.85,right,ESP-La Liga,Las Palmas,Loïc Rémy,FRA,FW,30.0,1987.0,8.5,189.0,243.0,77.8,2863.0,607.0,109.0,133.0,82.0,52.0,67.0,77.6,18.0,27.0,66.7,0,0.2,0.3,-0.2,5.0,7.0,3.0,1.0,14.0,2018
Yves Bissouma,/yves-bissouma/profil/spieler/410425,21,CM,Mali,18000000,16800000,LOSC Lille,/losc-lille/startseite/verein/1082,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237,out,2018,1200000,26.0,1.82,right,FRA-Ligue 1,Lille,Yves Bissouma,MLI,"MF,DF",20.0,1996.0,17.3,876.0,1042.0,84.1,14330.0,4194.0,410.0,459.0,89.3,333.0,385.0,86.5,81.0,110.0,73.6,1,0.7,1.1,0.3,11.0,91.0,7.0,0.0,113.0,2018
Ibrahim Amadou,/ibrahim-amadou/profil/spieler/205503,25,DM,France,1500000,14400000,LOSC Lille,/losc-lille/startseite/verein/1082,Sevilla FC,/fc-sevilla/startseite/verein/368,out,2018,-12900000,30.0,1.83,right,FRA-Ligue 1,Lille,Ibrahim Amadou,FRA,"MF,DF",24.0,1993.0,26.7,1378.0,1581.0,87.2,26996.0,9158.0,483.0,522.0,92.5,688.0,748.0,92.0,187.0,260.0,71.9,0,0.4,0.5,-0.4,10.0,96.0,4.0,1.0,114.0,2018
Kévin Malcuit,/kevin-malcuit/profil/spieler/126711,27,RB,France,700000,12000000,LOSC Lille,/losc-lille/startseite/verein/1082,SSC Napoli,/ssc-neapel/startseite/verein/6195,out,2018,-11300000,31.0,1.78,right,FRA-Ligue 1,Lille,Kévin Malcuit,MAR,DF,26.0,1991.0,20.2,944.0,1200.0,78.7,14167.0,5915.0,540.0,609.0,88.7,301.0,376.0,80.1,60.0,128.0,46.9,6,3.5,3.4,2.5,25.0,71.0,20.0,12.0,110.0,2018
Hamza Mendyl,/hamza-mendyl/profil/spieler/447221,20,LB,Morocco,1000000,6000000,LOSC Lille,/losc-lille/startseite/verein/1082,FC Schalke 04,/fc-schalke-04/startseite/verein/33,out,2018,-5000000,25.0,1.79,left,FRA-Ligue 1,Lille,Hamza Mendyl,MAR,"DF,MF",19.0,1997.0,9.5,318.0,413.0,77.0,4864.0,1666.0,162.0,182.0,89.0,116.0,138.0,84.1,21.0,51.0,41.2,0,0.9,0.8,-0.9,3.0,13.0,6.0,1.0,20.0,2018
Naïm Sliti,/naim-sliti/profil/spieler/184491,25,LW,Tunisia,4500000,2000000,LOSC Lille,/losc-lille/startseite/verein/1082,Dijon FCO,/dijon-fco/startseite/verein/2969,out,2018,2500000,30.0,1.73,right,FRA-Ligue 1,Dijon,Naïm Sliti,TUN,"FW,MF",25.0,1992.0,25.4,625.0,930.0,67.2,10640.0,4029.0,313.0,392.0,79.8,198.0,280.0,70.7,81.0,168.0,48.2,6,5.2,4.7,0.8,59.0,57.0,49.0,10.0,117.0,2018
Éder,/eder/profil/spieler/84481,30,CF,Portugal,0,500000,LOSC Lille,/losc-lille/startseite/verein/1082,Lokomotiv Moscow,/lokomotiv-moskau/startseite/verein/932,out,2018,-500000,35.0,1.9,both,ITA-Serie A,Inter,Éder,ITA,"FW,MF",30.0,1986.0,8.9,207.0,255.0,81.2,2661.0,528.0,121.0,134.0,90.3,45.0,64.0,70.3,11.0,15.0,73.3,0,1.3,1.3,-1.3,14.0,9.0,8.0,4.0,17.0,2018
