playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,nextSeason
Baptiste Reynet,/baptiste-reynet/profil/spieler/190786,29,GK,France,600000,350000,FC Toulouse,/fc-toulouse/startseite/verein/415,Nîmes Olympique,/nimes-olympique/startseite/verein/1160,in,2020,250000,32.0,1.85,right,FRA-Ligue 1,Nîmes,FRA,GK,29,1990,38,38,3420.0,38.0,71.0,1.87,196.0,122.0,66.8,9.0,8.0,21.0,8.0,21.1,10.0,6.0,3.0,1.0,33.3,2021
Illan Meslier,/illan-meslier/profil/spieler/542586,20,GK,France,20000000,6500000,FC Lorient,/fc-lorient/startseite/verein/1158,Leeds United,/leeds-united/startseite/verein/399,out,2020,13500000,23.0,1.97,left,ENG-Premier League,Leeds United,FRA,GK,20,2000,35,35,3150.0,35.0,52.0,1.49,188.0,137.0,76.6,16.0,5.0,14.0,11.0,31.4,9.0,8.0,1.0,0.0,11.1,2021
Mike Maignan,/mike-maignan/profil/spieler/182906,25,GK,France,45000000,15400000,LOSC Lille,/losc-lille/startseite/verein/1082,AC Milan,/ac-mailand/startseite/verein/5,out,2021,29600000,27.0,1.91,right,ITA-Serie A,Milan,FRA,GK,26,1995,32,32,2880.0,32.0,21.0,0.66,101.0,81.0,81.2,22.0,7.0,3.0,17.0,53.1,2.0,2.0,0.0,0.0,0.0,2022
Marco Bizot,/marco-bizot/profil/spieler/124884,30,GK,Netherlands,3500000,5000000,AZ Alkmaar,/az-alkmaar/startseite/verein/1090,Stade Brestois 29,/stade-brest-29/startseite/verein/3911,in,2021,-1500000,32.0,1.93,right,FRA-Ligue 1,Brest,NED,GK,30,1991,38,38,3420.0,38.0,57.0,1.5,170.0,115.0,68.8,13.0,9.0,16.0,7.0,18.4,4.0,4.0,0.0,0.0,0.0,2022
Alban Lafont,/alban-lafont/profil/spieler/357117,22,GK,France,16000000,7500000,ACF Fiorentina,/ac-florenz/startseite/verein/430,FC Nantes,/fc-nantes/startseite/verein/995,in,2021,8500000,24.0,1.96,right,FRA-Ligue 1,Nantes,FRA,GK,22,1999,38,38,3420.0,38.0,48.0,1.26,155.0,105.0,71.6,15.0,10.0,13.0,8.0,21.1,7.0,4.0,3.0,0.0,42.9,2022
Alphonse Areola,/alphonse-areola/profil/spieler/120629,29,GK,France,8000000,9300000,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583,West Ham United,/west-ham-united/startseite/verein/379,out,2022,-1300000,30.0,1.95,right,ENG-Premier League,West Ham,FRA,GK,29,1993,5,2,309.0,3.4,7.0,2.04,16.0,9.0,68.8,0.0,1.0,1.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0,2023
Pau López,/pau-lopez/profil/spieler/286415,27,GK,Spain,14000000,12000000,AS Roma,/as-rom/startseite/verein/12,Olympique Marseille,/olympique-marseille/startseite/verein/244,in,2022,2000000,28.0,1.89,left,FRA-Ligue 1,Marseille,ESP,GK,27,1994,33,32,2925.0,32.5,34.0,1.05,123.0,90.0,76.4,21.0,4.0,7.0,10.0,31.3,5.0,5.0,0.0,0.0,0.0,2023
Kasper Schmeichel,/kasper-schmeichel/profil/spieler/16911,35,GK,Denmark,2000000,1000000,Leicester City,/leicester-city/startseite/verein/1003,OGC Nice,/ogc-nizza/startseite/verein/417,in,2022,1000000,36.0,1.89,right,FRA-Ligue 1,Nice,DEN,GK,35,1986,36,36,3240.0,36.0,35.0,0.97,141.0,105.0,77.3,15.0,12.0,9.0,11.0,30.6,5.0,3.0,1.0,1.0,25.0,2023
Brice Samba,/brice-samba/profil/spieler/191056,28,GK,France,13000000,5000000,Nottingham Forest,/nottingham-forest/startseite/verein/703,RC Lens,/rc-lens/startseite/verein/826,in,2022,8000000,29.0,1.87,left,FRA-Ligue 1,Lens,FRA,GK,28,1994,37,37,3330.0,37.0,28.0,0.76,125.0,98.0,80.0,24.0,9.0,4.0,15.0,40.5,3.0,3.0,0.0,0.0,0.0,2023
Benjamin Lecomte,/benjamin-lecomte/profil/spieler/127181,31,GK,France,4000000,2000000,AS Monaco,/as-monaco/startseite/verein/162,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2022,2000000,32.0,1.86,left,ESP-La Liga,Espanyol,FRA,GK,31,1991,10,10,899.0,10.0,14.0,1.4,40.0,27.0,65.0,1.0,5.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,,2023
Benjamin Lecomte,/benjamin-lecomte/profil/spieler/127181,31,GK,France,4000000,2000000,AS Monaco,/as-monaco/startseite/verein/162,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2022,2000000,32.0,1.86,left,FRA-Ligue 1,Montpellier,FRA,GK,31,1991,19,19,1710.0,19.0,22.0,1.16,96.0,72.0,79.2,10.0,3.0,6.0,8.0,42.1,4.0,2.0,2.0,0.0,50.0,2023
Jonas Omlin,/jonas-omlin/profil/spieler/247915,29,GK,Switzerland,9000000,9000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,out,2022,0,29.0,1.9,right,FRA-Ligue 1,Montpellier,SUI,GK,28,1994,14,14,1166.0,13.0,26.0,2.01,73.0,48.0,68.5,5.0,1.0,8.0,2.0,14.3,4.0,3.0,1.0,0.0,25.0,2023
Jonas Omlin,/jonas-omlin/profil/spieler/247915,29,GK,Switzerland,9000000,9000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,out,2022,0,29.0,1.9,right,GER-Bundesliga,M'Gladbach,SUI,GK,28,1994,15,15,1290.0,14.3,18.0,1.26,56.0,38.0,71.4,5.0,4.0,6.0,5.0,33.3,2.0,2.0,0.0,0.0,0.0,2023
