playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,nextSeason
Axel Disasi,/axel-disasi/profil/spieler/386047,22,CB,France,30000000,13000000,Stade Reims,/stade-reims/startseite/verein/1421,AS Monaco,/as-monaco/startseite/verein/162,in,2020,17000000,25.0,1.9,right,FRA-Ligue 1,Monaco,FRA,DF,22.0,1998.0,22.3,29.0,20.0,17.0,12.0,0.0,20.0,35.0,57.1,15.0,18.0,11.0,7.0,26.0,55.0,66.0,1.0,2021
Kevin Volland,/kevin-volland/profil/spieler/82009,28,CF,Germany,8000000,11000000,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,AS Monaco,/as-monaco/startseite/verein/162,in,2020,-3000000,30.0,1.79,left,FRA-Ligue 1,Monaco,GER,"FW,MF",28.0,1992.0,30.8,33.0,16.0,11.0,19.0,3.0,8.0,34.0,23.5,26.0,23.0,0.0,23.0,4.0,37.0,4.0,0.0,2021
Kamil Glik,/kamil-glik/profil/spieler/46552,32,CB,Poland,500000,3000000,AS Monaco,/as-monaco/startseite/verein/162,Benevento Calcio,/benevento-calcio/startseite/verein/4171,out,2020,-2500000,35.0,1.9,right,ITA-Serie A,Benevento,POL,DF,32.0,1988.0,35.6,44.0,24.0,33.0,10.0,1.0,25.0,53.0,47.2,28.0,37.0,31.0,6.0,62.0,106.0,153.0,0.0,2021
Souleyman Doumbia,/souleyman-doumbia/profil/spieler/296356,23,LB,Cote d'Ivoire,2500000,3000000,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273,Angers SCO,/sco-angers/startseite/verein/1420,in,2020,-500000,26.0,1.83,left,FRA-Ligue 1,Angers,CIV,DF,23.0,1996.0,24.7,48.0,33.0,25.0,19.0,4.0,22.0,36.0,61.1,14.0,18.0,4.0,14.0,42.0,90.0,50.0,0.0,2021
Enzo Ebosse,/enzo-ebosse/profil/spieler/342877,21,CB,Cameroon,4500000,500000,Le Mans FC,/le-mans-fc/startseite/verein/1164,Angers SCO,/sco-angers/startseite/verein/1420,in,2020,4000000,24.0,1.85,left,FRA-Ligue 1,Angers,CMR,DF,21.0,1999.0,2.9,5.0,3.0,5.0,0.0,0.0,3.0,4.0,75.0,1.0,1.0,1.0,0.0,2.0,7.0,13.0,0.0,2021
Baptiste Santamaria,/baptiste-santamaria/profil/spieler/285323,25,DM,France,14000000,10000000,Angers SCO,/sco-angers/startseite/verein/1420,SC Freiburg,/sc-freiburg/startseite/verein/60,out,2020,4000000,28.0,1.83,right,FRA-Ligue 1,Angers,FRA,MF,25.0,1995.0,3.0,9.0,6.0,3.0,5.0,1.0,2.0,7.0,28.6,5.0,4.0,0.0,4.0,7.0,16.0,8.0,0.0,2021
Baptiste Santamaria,/baptiste-santamaria/profil/spieler/285323,25,DM,France,14000000,10000000,Angers SCO,/sco-angers/startseite/verein/1420,SC Freiburg,/sc-freiburg/startseite/verein/60,out,2020,4000000,28.0,1.83,right,GER-Bundesliga,Freiburg,FRA,MF,25.0,1995.0,24.5,51.0,38.0,19.0,24.0,8.0,20.0,54.0,37.0,34.0,36.0,7.0,29.0,52.0,103.0,34.0,1.0,2021
Paul Bernardoni,/paul-bernardoni/profil/spieler/318507,23,GK,France,2500000,7500000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Angers SCO,/sco-angers/startseite/verein/1420,out,2020,-5000000,26.0,1.9,left,FRA-Ligue 1,Angers,FRA,GK,23.0,1997.0,38.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2.0,3.0,23.0,1.0,2021
Pablo,/pablo/profil/spieler/149577,29,CB,Brazil,3000000,2500000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Lokomotiv Moscow,/lokomotiv-moskau/startseite/verein/932,out,2020,500000,32.0,1.88,right,FRA-Ligue 1,Bordeaux,BRA,DF,29.0,1991.0,12.0,17.0,11.0,13.0,4.0,0.0,8.0,14.0,57.1,6.0,17.0,12.0,5.0,25.0,42.0,46.0,1.0,2021
Moses Simon,/moses-simon/profil/spieler/274862,24,LW,Nigeria,8000000,5000000,Levante UD,/ud-levante/startseite/verein/3368,FC Nantes,/fc-nantes/startseite/verein/995,in,2020,3000000,27.0,1.68,right,FRA-Ligue 1,Nantes,NGA,"FW,MF",25.0,1995.0,25.8,27.0,14.0,11.0,9.0,7.0,17.0,36.0,47.2,19.0,24.0,1.0,23.0,15.0,42.0,15.0,1.0,2021
