league,season,team,players_used,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,url,nextSeason
GER-Bundesliga,2020,Mainz 05,31,25.8,34,3060,90,100,34.0,374,83.0,223.0,150,18,152,1.15,39,56,-17,-0.5,49.9,52.1,-2.2,-0.06,/en/squads/a224b06a/2020-2021/Mainz-05-Stats,2021
GER-Bundesliga,2020,RB Leipzig,25,25.0,34,3060,90,100,34.0,374,81.0,222.0,154,22,143,1.91,60,32,28,0.82,64.4,29.4,35.0,1.03,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats,2021
GER-Bundesliga,2020,Schalke 04,42,25.9,34,3060,90,100,34.0,374,83.0,257.0,117,23,181,0.47,25,86,-61,-1.79,28.7,69.2,-40.5,-1.19,/en/squads/c539e393/2020-2021/Schalke-04-Stats,2021
GER-Bundesliga,2020,Stuttgart,29,24.1,34,3060,90,100,34.0,374,81.0,217.0,156,21,150,1.32,56,55,1,0.03,51.4,52.1,-0.8,-0.02,/en/squads/598bc722/2020-2021/Stuttgart-Stats,2021
GER-Bundesliga,2020,Union Berlin,27,27.3,34,3060,90,100,34.0,374,82.0,227.0,146,19,150,1.47,50,43,7,0.21,46.9,42.8,4.1,0.12,/en/squads/7a41008f/2020-2021/Union-Berlin-Stats,2021
GER-Bundesliga,2020,Werder Bremen,27,26.3,34,3060,90,100,34.0,374,82.0,231.0,144,20,162,0.91,36,57,-21,-0.62,32.9,53.2,-20.3,-0.6,/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats,2021
GER-Bundesliga,2020,Wolfsburg,26,25.6,34,3060,90,100,34.0,374,85.0,243.0,128,15,173,1.79,61,37,24,0.71,49.0,42.1,6.9,0.2,/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats,2021
GER-Bundesliga,2021,Arminia,26,25.8,34,3060,90,100,34.0,374,82.0,224.0,150,21,148,0.82,27,53,-26,-0.76,26.3,62.8,-36.6,-1.08,/en/squads/247c4b67/2021-2022/Arminia-Stats,2022
GER-Bundesliga,2021,Augsburg,26,26.6,34,3060,90,100,34.0,374,80.0,205.0,169,23,136,1.12,39,56,-17,-0.5,36.7,57.9,-21.2,-0.62,/en/squads/0cdc4311/2021-2022/Augsburg-Stats,2022
GER-Bundesliga,2021,Bayern Munich,30,26.8,34,3060,90,100,34.0,374,82.0,224.0,149,21,153,2.26,97,37,60,1.76,89.0,36.3,52.7,1.55,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats,2022
GER-Bundesliga,2021,Bochum,28,28.0,34,3060,90,100,34.0,374,82.0,232.0,140,20,155,1.24,38,52,-14,-0.41,40.6,55.8,-15.1,-0.44,/en/squads/b42c6323/2021-2022/Bochum-Stats,2022
GER-Bundesliga,2021,Dortmund,33,25.9,34,3060,90,100,34.0,374,83.0,231.0,142,19,148,2.03,85,52,33,0.97,64.0,46.3,17.7,0.52,/en/squads/add600ae/2021-2022/Dortmund-Stats,2022
GER-Bundesliga,2021,Eint Frankfurt,27,26.2,34,3060,90,100,34.0,374,82.0,232.0,144,21,160,1.24,45,49,-4,-0.12,41.6,47.0,-5.4,-0.16,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats,2022
GER-Bundesliga,2021,Freiburg,26,26.5,34,3060,90,100,34.0,374,83.0,219.0,157,17,145,1.62,58,46,12,0.35,50.4,44.0,6.4,0.19,/en/squads/a486e511/2021-2022/Freiburg-Stats,2022
GER-Bundesliga,2021,Greuther Fürth,29,25.9,34,3060,90,100,34.0,374,83.0,236.0,139,19,151,0.53,28,82,-54,-1.59,30.0,60.2,-30.2,-0.89,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats,2022
GER-Bundesliga,2021,Hertha BSC,36,26.7,34,3060,90,100,34.0,374,80.0,222.0,152,24,151,0.97,37,71,-34,-1.0,33.3,54.3,-21.0,-0.62,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats,2022
GER-Bundesliga,2021,Hoffenheim,32,26.1,34,3060,90,100,34.0,374,81.0,219.0,155,22,141,1.35,58,60,-2,-0.06,58.3,54.6,3.7,0.11,/en/squads/033ea6b8/2021-2022/Hoffenheim-Stats,2022
GER-Bundesliga,2021,Köln,26,27.0,34,3060,90,100,34.0,374,82.0,216.0,158,19,148,1.53,52,49,3,0.09,50.1,50.6,-0.6,-0.02,/en/squads/bc357bf7/2021-2022/Koln-Stats,2022
GER-Bundesliga,2021,Leverkusen,29,24.4,34,3060,90,100,34.0,374,83.0,219.0,154,17,136,1.88,80,47,33,0.97,62.6,44.0,18.6,0.55,/en/squads/c7a9f859/2021-2022/Bayer-Leverkusen-Stats,2022
GER-Bundesliga,2021,M'Gladbach,26,26.0,34,3060,90,100,34.0,374,84.0,256.0,118,20,181,1.32,54,61,-7,-0.21,56.2,55.0,1.2,0.04,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats,2022
GER-Bundesliga,2021,Mainz 05,28,26.2,34,3060,90,100,34.0,374,82.0,221.0,150,18,148,1.35,50,45,5,0.15,50.4,43.9,6.5,0.19,/en/squads/a224b06a/2021-2022/Mainz-05-Stats,2022
GER-Bundesliga,2021,RB Leipzig,29,25.3,34,3060,90,100,34.0,374,81.0,220.0,154,22,148,1.71,72,37,35,1.03,64.5,40.1,24.5,0.72,/en/squads/acbb6a5b/2021-2022/RB-Leipzig-Stats,2022
GER-Bundesliga,2021,Stuttgart,34,24.0,34,3060,90,100,34.0,374,83.0,240.0,135,20,170,0.97,41,59,-18,-0.53,43.7,54.0,-10.2,-0.3,/en/squads/598bc722/2021-2022/Stuttgart-Stats,2022
GER-Bundesliga,2021,Union Berlin,28,28.3,34,3060,90,100,34.0,374,83.0,220.0,154,18,151,1.68,50,44,6,0.18,47.0,38.5,8.5,0.25,/en/squads/7a41008f/2021-2022/Union-Berlin-Stats,2022
GER-Bundesliga,2021,Wolfsburg,30,26.0,34,3060,90,100,34.0,374,82.0,232.0,139,21,161,1.24,43,54,-11,-0.32,47.7,47.3,0.4,0.01,/en/squads/4eaa11d7/2021-2022/Wolfsburg-Stats,2022
GER-Bundesliga,2022,Augsburg,34,25.9,34,3060,90,100,34.0,374,80.0,223.0,150,22,153,1.0,42,63,-21,-0.62,34.7,58.8,-24.0,-0.71,/en/squads/0cdc4311/Augsburg-Stats,2023
GER-Bundesliga,2022,Bayern Munich,28,26.6,34,3060,90,100,34.0,374,80.0,218.0,155,22,138,2.09,92,38,54,1.59,75.0,37.1,37.8,1.11,/en/squads/054efa67/Bayern-Munich-Stats,2023
GER-Bundesliga,2022,Bochum,26,29.4,34,3060,90,100,34.0,374,81.0,216.0,157,21,144,1.03,40,72,-32,-0.94,40.0,65.7,-25.7,-0.76,/en/squads/b42c6323/Bochum-Stats,2023
GER-Bundesliga,2022,Dortmund,30,25.8,34,3060,90,100,34.0,374,81.0,224.0,151,23,152,2.09,83,44,39,1.15,71.1,43.2,27.9,0.82,/en/squads/add600ae/Dortmund-Stats,2023
GER-Bundesliga,2022,Eint Frankfurt,28,26.4,34,3060,90,100,34.0,374,82.0,227.0,148,19,158,1.47,58,52,6,0.18,52.1,43.5,8.6,0.25,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats,2023
GER-Bundesliga,2022,Freiburg,27,27.4,34,3060,90,100,34.0,374,83.0,215.0,157,16,148,1.74,51,44,7,0.21,48.0,48.8,-0.8,-0.02,/en/squads/a486e511/Freiburg-Stats,2023
GER-Bundesliga,2022,Hertha BSC,32,26.0,34,3060,90,100,34.0,374,80.0,220.0,153,24,153,0.85,42,69,-27,-0.79,39.4,60.0,-20.5,-0.6,/en/squads/2818f8bc/Hertha-BSC-Stats,2023
GER-Bundesliga,2022,Hoffenheim,31,26.8,34,3060,90,100,34.0,374,80.0,214.0,157,23,148,1.06,48,57,-9,-0.26,48.0,51.1,-3.1,-0.09,/en/squads/033ea6b8/Hoffenheim-Stats,2023
GER-Bundesliga,2022,Köln,27,26.0,34,3060,90,100,34.0,374,80.0,213.0,160,22,143,1.24,49,54,-5,-0.15,47.9,42.6,5.3,0.16,/en/squads/bc357bf7/Koln-Stats,2023
GER-Bundesliga,2022,Leverkusen,27,24.7,34,3060,90,100,34.0,374,82.0,218.0,150,20,155,1.47,57,49,8,0.24,51.4,42.8,8.6,0.25,/en/squads/c7a9f859/Bayer-Leverkusen-Stats,2023
