league,season,team,players_used,Poss,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,url,nextSeason
ESP-La Liga,2018,Huesca,30,44.5,38.0,19270,2109,6288,8630,4582,723,19263,592,314,53.0,278,47.0,9347,55988,28071,653,484,127,557,356,10474,1201,/en/squads/c6c493e6/2018-2019/Huesca-Stats,2019
ESP-La Liga,2018,Leganés,29,43.1,38.0,19164,1976,6160,8726,4496,632,19159,469,253,53.9,216,46.1,9754,50091,24360,447,367,98,476,304,10646,1141,/en/squads/7c6f2c78/2018-2019/Leganes-Stats,2019
ESP-La Liga,2018,Levante,26,45.7,38.0,18925,2262,6322,8319,4541,688,18917,738,402,54.5,336,45.5,9156,58480,32056,709,451,175,535,429,10747,1284,/en/squads/9800b6a1/2018-2019/Levante-Stats,2019
ESP-La Liga,2018,Rayo Vallecano,29,48.7,38.0,20761,2337,7145,9307,4597,620,20756,848,534,63.0,314,37.0,11826,71546,37033,831,551,150,644,495,12385,1316,/en/squads/98e8af82/2018-2019/Rayo-Vallecano-Stats,2019
ESP-La Liga,2018,Real Madrid,27,60.1,38.0,28079,2035,7389,13413,7527,1076,28070,756,460,60.8,295,39.0,17576,94175,47867,1009,748,301,493,356,20515,2081,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats,2019
ESP-La Liga,2018,Real Sociedad,30,51.7,38.0,22714,2466,7645,10663,4646,660,22704,679,411,60.5,267,39.3,12418,74688,39771,695,523,134,571,466,14458,1367,/en/squads/e31d1cd9/2018-2019/Real-Sociedad-Stats,2019
ESP-La Liga,2018,Sevilla,27,52.3,38.0,22828,2154,7148,9945,5989,953,22823,606,357,58.9,249,41.1,12731,68655,38134,828,590,199,486,391,14442,1792,/en/squads/ad2be733/2018-2019/Sevilla-Stats,2019
ESP-La Liga,2018,Valencia,25,47.1,38.0,21680,2095,6684,9870,5366,835,21673,589,343,58.2,246,41.8,11323,65473,34907,751,498,177,501,337,13565,1547,/en/squads/dcc91a7b/2018-2019/Valencia-Stats,2019
ESP-La Liga,2018,Valladolid,28,46.8,38.0,20386,2292,6916,9021,4660,592,20379,477,294,61.6,183,38.4,10474,60429,32563,662,473,149,507,347,11933,1294,/en/squads/17859612/2018-2019/Valladolid-Stats,2019
ESP-La Liga,2018,Villarreal,26,48.3,38.0,21795,2184,6753,10048,5230,804,21789,603,348,57.7,255,42.3,11752,64587,34419,715,478,209,503,340,13666,1643,/en/squads/2a8183b3/2018-2019/Villarreal-Stats,2019
ESP-La Liga,2019,Alavés,32,41.5,38.0,17865,2032,6060,8359,3622,508,17859,497,251,50.5,246,49.5,9373,44654,20855,403,307,100,535,309,9525,936,/en/squads/8d6fd021/2019-2020/Alaves-Stats,2020
ESP-La Liga,2019,Athletic Club,26,48.7,38.0,20857,2064,6212,9835,5031,594,20847,587,337,57.4,250,42.6,10354,58313,30842,604,493,110,576,299,12422,1273,/en/squads/2b390eca/2019-2020/Athletic-Club-Stats,2020
ESP-La Liga,2019,Atlético Madrid,30,48.6,38.0,21860,1918,6182,10585,5274,807,21852,543,348,64.1,195,35.9,11872,58628,30072,598,516,156,586,377,13506,1323,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats,2020
ESP-La Liga,2019,Barcelona,28,66.4,38.0,31713,2419,7683,15606,8628,1066,31707,793,524,66.1,269,33.9,20416,102227,57254,923,864,243,444,354,24606,2036,/en/squads/206d90db/2019-2020/Barcelona-Stats,2020
ESP-La Liga,2019,Betis,27,56.7,38.0,23715,2485,7853,10431,5665,845,23707,713,445,62.4,268,37.6,14024,78775,41021,834,634,200,548,355,16065,1463,/en/squads/fc536746/2019-2020/Real-Betis-Stats,2020
ESP-La Liga,2019,Celta Vigo,30,51.7,38.0,22576,2291,7505,10374,4906,585,22567,610,370,60.7,240,39.3,12921,68433,33492,670,521,133,541,375,14460,1358,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats,2020
ESP-La Liga,2019,Eibar,26,46.3,38.0,19501,1777,5164,9086,5479,633,19491,458,260,56.8,198,43.2,9587,48746,21965,424,409,110,564,355,10333,1246,/en/squads/bea5c710/2019-2020/Eibar-Stats,2020
ESP-La Liga,2019,Espanyol,31,47.4,38.0,20282,2092,6860,9234,4417,604,20278,489,281,57.5,208,42.5,10645,59325,29721,561,405,103,576,331,11782,1222,/en/squads/a8661628/2019-2020/Espanyol-Stats,2020
ESP-La Liga,2019,Getafe,30,45.0,38.0,17737,1484,4842,7903,5206,650,17730,476,274,57.6,202,42.4,7551,40426,18906,416,330,82,635,318,8211,1179,/en/squads/7848bd64/2019-2020/Getafe-Stats,2020
ESP-La Liga,2019,Granada,27,43.8,38.0,18071,2226,6282,7633,4377,585,18066,553,300,54.2,253,45.8,9792,52441,25249,511,381,111,486,290,9720,994,/en/squads/a0435291/2019-2020/Granada-Stats,2020
ESP-La Liga,2019,Leganés,29,43.9,38.0,18841,1764,5798,8465,4791,636,18836,581,342,58.9,239,41.1,9273,49830,24609,498,412,122,544,291,10246,1145,/en/squads/7c6f2c78/2019-2020/Leganes-Stats,2020
ESP-La Liga,2019,Levante,29,48.3,38.0,20210,2479,7642,8291,4454,632,20205,637,386,60.6,251,39.4,10797,61650,32153,711,417,157,537,302,12313,1350,/en/squads/9800b6a1/2019-2020/Levante-Stats,2020
ESP-La Liga,2019,Mallorca,32,45.0,38.0,19626,2340,6588,8406,4870,686,19616,709,392,55.3,317,44.7,11405,65851,34539,740,527,201,625,353,11691,1201,/en/squads/2aa12281/2019-2020/Mallorca-Stats,2020
ESP-La Liga,2019,Osasuna,31,47.4,38.0,20122,2002,6073,9400,4869,661,20114,525,315,60.0,210,40.0,9935,51175,25607,562,428,124,611,306,10840,1346,/en/squads/03c57e2b/2019-2020/Osasuna-Stats,2020
ESP-La Liga,2019,Real Madrid,26,58.8,38.0,27693,2234,7711,12551,7671,1038,27682,769,484,62.9,285,37.1,17146,92265,47544,951,727,302,518,315,19981,1951,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats,2020
ESP-La Liga,2019,Real Sociedad,27,56.2,38.0,24037,2340,7553,11352,5327,778,24032,591,355,60.1,234,39.6,14006,75872,40635,737,523,149,552,357,15827,1573,/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats,2020
ESP-La Liga,2019,Sevilla,26,57.9,38.0,25650,2229,7794,11678,6387,920,25643,667,413,61.9,254,38.1,14440,74929,39085,803,571,211,541,352,17430,1804,/en/squads/ad2be733/2019-2020/Sevilla-Stats,2020
ESP-La Liga,2019,Valencia,28,49.0,38.0,21847,2592,7697,9694,4654,638,21839,549,345,62.8,203,37.0,12893,70910,36309,671,491,114,521,283,14386,1367,/en/squads/dcc91a7b/2019-2020/Valencia-Stats,2020
ESP-La Liga,2019,Valladolid,30,44.7,38.0,19410,2162,6607,9057,3980,480,19404,569,338,59.4,231,40.6,9985,55513,27378,510,403,110,537,324,11102,1096,/en/squads/17859612/2019-2020/Valladolid-Stats,2020
ESP-La Liga,2019,Villarreal,25,52.9,38.0,24137,2532,7874,11259,5231,772,24126,690,431,62.5,259,37.5,13188,71102,37620,694,518,209,601,310,16111,1472,/en/squads/2a8183b3/2019-2020/Villarreal-Stats,2020
ESP-La Liga,2020,Alavés,30,42.8,38.0,18193,2104,6503,8084,3788,575,18185,467,254,54.4,214,45.8,8988,44447,20940,404,315,104,557,256,10112,925,/en/squads/8d6fd021/2020-2021/Alaves-Stats,2021
ESP-La Liga,2020,Athletic Club,27,49.9,38.0,21410,1921,5863,10255,5481,675,21405,501,304,60.7,197,39.3,11152,64941,35151,685,510,147,496,335,13475,1477,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats,2021
ESP-La Liga,2020,Atlético Madrid,25,52.3,38.0,24561,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,67513,36112,694,483,190,503,342,16649,1598,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats,2021
ESP-La Liga,2020,Barcelona,25,65.5,38.0,31975,2240,7299,14908,9965,1217,31967,770,513,66.6,257,33.4,21041,104783,56158,972,930,276,477,341,25052,2144,/en/squads/206d90db/2020-2021/Barcelona-Stats,2021
ESP-La Liga,2020,Betis,25,53.6,38.0,23649,2104,6950,11175,5734,790,23638,638,420,65.8,218,34.2,13277,66819,34529,694,547,172,592,367,15683,1427,/en/squads/fc536746/2020-2021/Real-Betis-Stats,2021
ESP-La Liga,2020,Celta Vigo,30,53.3,38.0,23271,2443,7999,10717,4742,593,23264,465,276,59.4,189,40.6,13162,62213,31151,514,431,109,533,279,15059,1299,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats,2021
ESP-La Liga,2020,Cádiz,34,34.8,38.0,15979,2120,5874,6716,3599,438,15975,513,321,62.6,192,37.4,7256,41528,20734,455,358,79,561,294,7858,838,/en/squads/ee7c297c/2020-2021/Cadiz-Stats,2021
ESP-La Liga,2020,Eibar,30,49.3,38.0,20828,1764,5553,9562,5924,671,20818,519,320,61.7,199,38.3,10427,53688,24394,507,374,102,657,320,11685,1282,/en/squads/bea5c710/2020-2021/Eibar-Stats,2021
ESP-La Liga,2020,Elche,30,47.5,38.0,20849,2572,8347,9141,3558,417,20846,618,365,59.1,253,40.9,11786,58689,28516,500,366,73,614,345,13378,920,/en/squads/6c8b07df/2020-2021/Elche-Stats,2021
ESP-La Liga,2020,Getafe,31,43.3,38.0,17678,1589,4689,7849,5367,669,17673,483,263,54.5,220,45.5,8137,43690,21035,443,390,116,607,354,8882,1076,/en/squads/7848bd64/2020-2021/Getafe-Stats,2021
ESP-La Liga,2020,Granada,34,41.4,38.0,17155,2133,6002,7387,3948,532,17149,516,312,60.5,204,39.5,8122,43889,21461,411,288,105,526,346,8979,961,/en/squads/a0435291/2020-2021/Granada-Stats,2021
ESP-La Liga,2020,Huesca,27,48.3,38.0,21269,2396,7957,9101,4468,594,21265,654,426,65.1,228,34.9,11728,65206,34026,618,452,113,540,305,13392,1173,/en/squads/c6c493e6/2020-2021/Huesca-Stats,2021
ESP-La Liga,2020,Levante,29,52.2,38.0,21884,2410,7654,9503,4932,679,21878,615,366,59.5,248,40.3,12443,63705,33401,619,446,136,547,326,14070,1526,/en/squads/9800b6a1/2020-2021/Levante-Stats,2021
ESP-La Liga,2020,Osasuna,28,43.2,38.0,18965,2103,6010,8686,4447,623,18959,441,245,55.6,195,44.2,8688,42982,19734,345,315,64,588,310,10118,1200,/en/squads/03c57e2b/2020-2021/Osasuna-Stats,2021
ESP-La Liga,2020,Real Madrid,30,59.3,38.0,27856,2279,7913,12359,7814,1021,27853,646,429,66.4,216,33.4,17126,95094,49939,963,739,242,546,315,20538,1909,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats,2021
ESP-La Liga,2020,Real Sociedad,30,54.9,38.0,22622,2089,6527,10724,5580,823,22610,550,330,60.0,220,40.0,12816,70621,37154,626,492,125,518,311,14729,1530,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats,2021
ESP-La Liga,2020,Sevilla,26,60.9,38.0,26484,2495,8190,12249,6227,784,26477,599,392,65.4,207,34.6,15793,78270,38924,691,552,151,516,309,19128,1606,/en/squads/ad2be733/2020-2021/Sevilla-Stats,2021
ESP-La Liga,2020,Valencia,30,46.9,38.0,20238,2575,7196,8735,4521,560,20228,553,341,61.7,212,38.3,11494,62746,32765,575,468,102,498,268,12659,1168,/en/squads/dcc91a7b/2020-2021/Valencia-Stats,2021
ESP-La Liga,2020,Valladolid,32,45.2,38.0,19403,2227,6559,8418,4627,558,19395,504,291,57.7,214,42.5,9720,52059,25666,564,423,112,524,328,11055,1089,/en/squads/17859612/2020-2021/Valladolid-Stats,2021
ESP-La Liga,2020,Villarreal,29,55.2,38.0,24816,2442,7838,11470,5730,819,24803,692,437,63.2,255,36.8,14443,77491,41859,737,558,185,545,336,17313,1608,/en/squads/2a8183b3/2020-2021/Villarreal-Stats,2021
ESP-La Liga,2021,Alavés,33,42.0,38.0,18371,2222,6215,8104,4235,605,18364,504,271,53.8,233,46.2,8699,42737,20539,420,310,102,616,278,9576,969,/en/squads/8d6fd021/2021-2022/Alaves-Stats,2022
ESP-La Liga,2021,Athletic Club,26,48.1,38.0,21254,2066,6214,9532,5722,799,21247,530,297,56.0,232,43.8,10777,57778,30509,653,461,146,569,341,12839,1559,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats,2022
ESP-La Liga,2021,Atlético Madrid,26,50.6,38.0,23038,2006,6787,10729,5702,868,23033,600,383,63.8,217,36.2,12629,65613,34800,705,531,164,555,353,14978,1456,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats,2022
ESP-La Liga,2021,Barcelona,38,64.2,38.0,28778,2236,7093,14319,7567,1055,28771,747,474,63.5,273,36.5,18228,93372,52508,961,704,280,623,358,21334,2059,/en/squads/206d90db/2021-2022/Barcelona-Stats,2022
ESP-La Liga,2021,Betis,31,53.7,38.0,23691,2299,7311,10969,5603,826,23685,655,372,56.8,283,43.2,13042,66497,33876,666,482,187,588,364,15573,1501,/en/squads/fc536746/2021-2022/Real-Betis-Stats,2022
ESP-La Liga,2021,Celta Vigo,25,55.2,38.0,24789,2272,7479,11772,5737,719,24783,591,346,58.5,244,41.3,13606,72693,38568,665,544,125,572,310,15869,1434,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats,2022
ESP-La Liga,2021,Cádiz,33,41.3,38.0,18574,2215,6501,7898,4374,646,18568,519,281,54.1,238,45.9,9062,51953,26751,571,382,106,576,291,10039,1063,/en/squads/ee7c297c/2021-2022/Cadiz-Stats,2022
ESP-La Liga,2021,Elche,28,48.4,38.0,20889,2493,7657,9086,4313,498,20888,597,339,56.8,258,43.2,11059,55476,26247,531,403,89,650,330,12844,1087,/en/squads/6c8b07df/2021-2022/Elche-Stats,2022
ESP-La Liga,2021,Espanyol,34,46.9,38.0,20970,2604,7525,9167,4471,581,20965,616,373,60.6,243,39.4,11191,60124,30222,610,468,119,563,331,13239,1196,/en/squads/a8661628/2021-2022/Espanyol-Stats,2022
ESP-La Liga,2021,Getafe,31,41.5,38.0,18658,2003,5988,8734,4125,551,18653,452,242,53.5,210,46.5,9326,44746,20748,399,328,92,603,301,10197,910,/en/squads/7848bd64/2021-2022/Getafe-Stats,2022
ESP-La Liga,2021,Granada,32,44.7,38.0,19055,2401,6704,8239,4287,600,19050,495,270,54.5,225,45.5,9255,49523,24761,435,354,96,588,321,10466,1036,/en/squads/a0435291/2021-2022/Granada-Stats,2022
ESP-La Liga,2021,Levante,31,47.2,38.0,20500,2377,7382,8840,4535,719,20487,683,348,51.0,335,49.0,10842,56754,29187,569,405,154,614,302,12487,1334,/en/squads/9800b6a1/2021-2022/Levante-Stats,2022
ESP-La Liga,2021,Mallorca,33,45.3,38.0,19305,2231,6593,8320,4619,647,19298,612,368,60.1,244,39.9,10034,55423,27611,575,449,112,613,404,10923,1110,/en/squads/2aa12281/2021-2022/Mallorca-Stats,2022
ESP-La Liga,2021,Osasuna,29,46.9,38.0,20565,2013,6066,9272,5397,697,20557,467,261,55.9,206,44.1,10211,50361,23279,417,358,76,597,309,11775,1313,/en/squads/03c57e2b/2021-2022/Osasuna-Stats,2022
ESP-La Liga,2021,Rayo Vallecano,28,49.9,38.0,21279,2161,6591,9702,5241,734,21275,639,357,55.9,282,44.1,10829,61444,32089,697,497,151,696,371,12632,1299,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats,2022
ESP-La Liga,2021,Real Madrid,31,59.9,38.0,28389,2399,8154,12038,8430,1198,28377,780,456,58.5,324,41.5,18562,96303,51714,1029,757,330,495,277,21234,2061,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats,2022
ESP-La Liga,2021,Real Sociedad,32,54.3,38.0,23452,2574,7504,10671,5504,851,23442,670,360,53.7,310,46.3,13289,69380,36038,667,546,178,626,391,15188,1447,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats,2022
ESP-La Liga,2021,Sevilla,33,59.4,38.0,25980,2692,8904,11372,5872,742,25977,588,305,51.9,283,48.1,15097,68309,34977,625,517,139,589,326,18197,1580,/en/squads/ad2be733/2021-2022/Sevilla-Stats,2022
ESP-La Liga,2021,Valencia,34,43.6,38.0,17905,1994,5790,7525,4822,630,17896,642,360,56.1,282,43.9,9186,52453,27482,554,449,109,656,294,9503,1187,/en/squads/dcc91a7b/2021-2022/Valencia-Stats,2022
