league,season,team,players_used,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,url,nextSeason
GER-Bundesliga,2017,Stuttgart,26,34.0,696,496,332,299,65,328,560,58.6,232,439,107,332,414,1110,814,17,/en/squads/598bc722/2017-2018/Stuttgart-Stats,2018
GER-Bundesliga,2017,Werder Bremen,25,34.0,600,435,288,264,48,294,528,55.7,234,353,77,276,421,1021,738,18,/en/squads/62add3bf/2017-2018/Werder-Bremen-Stats,2018
GER-Bundesliga,2017,Wolfsburg,29,34.0,589,430,329,213,47,306,546,56.0,240,420,119,301,403,992,730,12,/en/squads/4eaa11d7/2017-2018/Wolfsburg-Stats,2018
GER-Bundesliga,2018,Augsburg,30,34.0,591,376,280,262,49,238,515,46.2,277,404,130,274,467,1058,754,15,/en/squads/0cdc4311/2018-2019/Augsburg-Stats,2019
GER-Bundesliga,2018,Bayern Munich,24,34.0,465,294,172,210,83,165,410,40.2,245,313,61,252,336,801,368,10,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats,2019
GER-Bundesliga,2018,Dortmund,23,34.0,497,319,242,194,61,181,402,45.0,221,334,79,255,384,881,659,17,/en/squads/add600ae/2018-2019/Dortmund-Stats,2019
GER-Bundesliga,2018,Düsseldorf,24,34.0,625,384,345,233,47,250,621,40.3,371,374,107,267,419,1044,760,14,/en/squads/b1278397/2018-2019/Dusseldorf-Stats,2019
GER-Bundesliga,2018,Eint Frankfurt,30,34.0,598,371,291,246,61,233,539,43.2,306,465,102,363,360,958,708,4,/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats,2019
GER-Bundesliga,2018,Freiburg,28,34.0,570,357,301,211,58,213,503,42.3,290,401,121,280,374,944,882,12,/en/squads/a486e511/2018-2019/Freiburg-Stats,2019
GER-Bundesliga,2018,Hannover 96,32,34.0,583,342,305,228,50,262,628,41.7,366,434,124,310,459,1042,797,10,/en/squads/60b5e41f/2018-2019/Hannover-96-Stats,2019
GER-Bundesliga,2018,Hertha BSC,26,34.0,538,352,251,235,52,178,451,39.5,273,423,117,306,381,919,823,7,/en/squads/2818f8bc/2018-2019/Hertha-BSC-Stats,2019
GER-Bundesliga,2018,Hoffenheim,29,34.0,571,363,260,237,74,206,528,39.0,322,419,104,315,399,970,638,13,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats,2019
GER-Bundesliga,2018,Leverkusen,21,34.0,583,368,298,217,68,230,543,42.4,313,416,96,320,358,941,687,7,/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats,2019
GER-Bundesliga,2018,M'Gladbach,22,34.0,498,292,258,192,48,198,466,42.5,268,382,102,280,310,808,648,18,/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats,2019
GER-Bundesliga,2018,Mainz 05,28,34.0,528,309,256,219,53,220,467,47.1,247,455,123,332,395,923,728,12,/en/squads/a224b06a/2018-2019/Mainz-05-Stats,2019
GER-Bundesliga,2018,Nürnberg,27,34.0,551,350,335,175,41,253,560,45.2,307,382,119,263,354,905,840,12,/en/squads/6f2c108c/2018-2019/Nurnberg-Stats,2019
GER-Bundesliga,2018,RB Leipzig,23,34.0,657,398,300,279,78,282,580,48.6,298,455,70,385,416,1073,717,1,/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats,2019
GER-Bundesliga,2018,Schalke 04,32,34.0,631,381,279,286,66,251,594,42.3,343,464,119,345,419,1050,657,16,/en/squads/c539e393/2018-2019/Schalke-04-Stats,2019
GER-Bundesliga,2018,Stuttgart,26,34.0,576,362,299,217,60,204,476,42.9,272,422,116,306,399,975,898,12,/en/squads/598bc722/2018-2019/Stuttgart-Stats,2019
GER-Bundesliga,2018,Werder Bremen,24,34.0,549,344,256,230,63,216,553,39.1,337,426,109,317,407,956,817,10,/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats,2019
GER-Bundesliga,2018,Wolfsburg,25,34.0,542,343,272,209,61,219,505,43.4,286,399,95,304,426,968,791,18,/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats,2019
GER-Bundesliga,2019,Augsburg,28,34.0,534,314,271,215,48,220,563,39.1,343,362,123,239,434,968,778,8,/en/squads/0cdc4311/2019-2020/Augsburg-Stats,2020
GER-Bundesliga,2019,Bayern Munich,29,34.0,500,293,180,222,98,211,503,41.9,292,290,79,211,342,842,382,9,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats,2020
GER-Bundesliga,2019,Dortmund,27,34.0,529,329,249,214,66,226,509,44.4,283,353,88,265,375,904,463,10,/en/squads/add600ae/2019-2020/Dortmund-Stats,2020
GER-Bundesliga,2019,Düsseldorf,28,34.0,496,307,244,199,53,200,540,37.0,340,350,105,245,376,872,610,9,/en/squads/b1278397/2019-2020/Dusseldorf-Stats,2020
GER-Bundesliga,2019,Eint Frankfurt,27,34.0,596,377,278,246,72,232,617,37.6,385,403,97,306,376,972,520,5,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats,2020
GER-Bundesliga,2019,Freiburg,26,34.0,431,252,226,162,43,175,497,35.2,322,401,157,244,354,785,810,18,/en/squads/a486e511/2019-2020/Freiburg-Stats,2020
GER-Bundesliga,2019,Hertha BSC,32,34.0,555,340,282,221,52,208,521,39.9,313,434,130,304,410,965,794,12,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats,2020
GER-Bundesliga,2019,Hoffenheim,31,34.0,529,309,283,196,50,239,578,41.3,339,384,121,263,349,878,719,9,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats,2020
GER-Bundesliga,2019,Köln,29,34.0,610,414,293,258,59,249,622,40.0,373,397,97,300,435,1045,681,5,/en/squads/bc357bf7/2019-2020/Koln-Stats,2020
GER-Bundesliga,2019,Leverkusen,24,34.0,557,353,239,244,74,263,600,43.8,337,365,71,294,333,890,496,11,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats,2020
GER-Bundesliga,2019,M'Gladbach,25,34.0,552,322,254,215,83,228,586,38.9,358,398,106,292,381,933,596,11,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats,2020
GER-Bundesliga,2019,Mainz 05,25,34.0,576,331,280,233,63,225,542,41.5,317,403,110,293,363,939,724,13,/en/squads/a224b06a/2019-2020/Mainz-05-Stats,2020
GER-Bundesliga,2019,Paderborn 07,27,34.0,632,400,354,221,57,301,722,41.7,421,435,111,324,364,996,747,9,/en/squads/d9f93f02/2019-2020/Paderborn-07-Stats,2020
GER-Bundesliga,2019,RB Leipzig,29,34.0,616,361,280,251,85,258,624,41.3,366,397,86,311,364,980,610,16,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats,2020
GER-Bundesliga,2019,Schalke 04,29,34.0,589,361,268,242,79,255,625,40.8,370,474,118,356,407,996,656,15,/en/squads/c539e393/2019-2020/Schalke-04-Stats,2020
GER-Bundesliga,2019,Union Berlin,26,34.0,550,322,265,220,65,213,565,37.7,352,396,124,272,421,971,775,8,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats,2020
GER-Bundesliga,2019,Werder Bremen,30,34.0,550,345,285,199,66,216,573,37.7,357,369,123,246,423,973,775,11,/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats,2020
